player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Jeff Xavier,Guard,72,183,  Schools: Manhattan and Providence,2008,3,124.0,28.0,11.5,3.8,1.8,1.8,0.2,1.9,40.8,34.2,78.8,51.5,,9.5
Ioannis Xenakis,Center,84,213,Delaware,2003,2,24.0,,2.6,0.9,0.0,0.0,0.2,,44.4,,43.8,44.4,,0.1
Aaron Xia,Forward,80,203,Citadel,2006,3,73.0,,2.6,2.1,0.1,0.2,0.4,,45.7,30.8,69.2,47.0,,1.4
Ji Xiang,Forward,82,208,Hawaii,2010,2,28.0,4.6,1.4,1.2,0.1,0.0,0.2,0.2,40.9,0.0,55.6,40.9,,0.3
Oliver Xu,Guard,74,170,Rice,2016,1,11.0,2.6,0.5,0.2,0.1,0.0,0.0,0.5,33.3,33.3,50.0,41.7,-7.1,-0.1
Tao Xu,Center,83,277,San Francisco,2014,2,36.0,11.9,2.6,1.1,0.2,0.2,0.1,1.1,42.5,,66.7,42.5,2.1,-0.2
