player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Carlton Wade,Guard,71.0,180.0,Marist,1986,1,30.0,,7.9,1.2,2.4,1.0,0.1,,43.0,,70.8,,,
Chuck Wade,Guard,76.0,193.0,Mississippi State,1969,3,71.0,,8.4,3.0,,,,,41.5,,71.5,,,
Clyde Wade,Guard,72.0,183.0,Memphis,2006,3,54.0,,1.3,0.4,0.7,0.4,0.0,,42.9,36.8,66.7,49.1,,0.8
Collin Wade,Forward,77.0,196.0,Stephen F. Austin,1989,2,54.0,,8.6,4.4,1.6,0.7,0.1,,41.2,41.5,83.0,44.0,,
David Wade,Forward,77.0,196.0,Marshall,1983,3,111.0,26.0,10.7,5.9,2.1,1.7,0.3,2.3,45.8,,63.5,,,
Dean Wade,Forward,80.0,225.0,Kansas State,2017,2,68.0,27.2,9.6,4.8,1.5,0.7,0.6,1.0,46.3,34.9,65.8,52.9,17.2,6.8
Desmond Wade,Guard,68.0,150.0,  Schools: Houston and Fairfield,2012,3,131.0,27.6,5.8,2.2,3.7,1.1,0.2,1.8,34.9,32.9,70.1,41.5,,6.4
Dick Wade,Guard,72.0,183.0,Utah State,1970,3,49.0,,2.1,0.6,,,,,38.6,,77.8,,,
Dion Wade,Guard,78.0,185.0,  Schools: Auburn and Miami (OH),2017,3,87.0,17.7,3.5,3.0,0.6,0.9,0.4,0.6,32.8,29.4,67.6,43.6,11.5,2.8
Donta Wade,Guard,74.0,188.0,Providence,2000,1,29.0,20.5,8.2,2.4,1.1,0.6,0.1,,34.9,35.5,70.6,45.3,,1.0
Dwyane Wade,Guard,76.0,212.0,Marquette,2002,1,65.0,7.3,19.7,6.5,3.9,1.2,3.1,2.4,49.4,33.3,74.5,51.1,,13.3
