player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Damon Vance,Center,82.0,208.0,New Orleans,1987,1,26.0,11.7,2.8,2.3,0.2,0.3,0.4,0.7,39.2,,57.1,39.2,,
Damon Vance,School: LSU,,,,1985,2,,7.8,,,,0.2,0.4,0.4,,,,,,
Dave Vance,Forward,78.0,198.0,Eastern Illinois,1988,3,112.0,23.7,5.1,3.1,1.7,0.3,0.0,1.6,44.9,,74.5,,,
Deak Vance,Forward,79.0,201.0,Nebraska,1986,1,6.0,4.3,2.5,1.0,0.2,0.2,0.0,0.3,42.9,,42.9,,,
Dreshawn Vance,Forward,80.0,203.0,  Schools: Portland and Cal Poly,2007,3,116.0,,5.8,4.4,0.4,0.6,1.0,0.7,53.9,25.0,50.0,54.0,,6.6
Marquis Vance,Forward,79.0,225.0,Alcorn State,2016,3,124.0,29.5,10.5,6.5,1.7,0.6,0.6,1.9,37.8,30.8,60.8,42.5,14.5,6.7
Phil Vance,Guard,70.0,178.0,Mississippi State,1966,2,17.0,,0.6,0.3,,,,,41.7,,,,,
Quincy Vance,Forward,79.0,201.0,Middle Tennessee,1991,3,115.0,27.2,8.1,5.8,0.9,0.5,0.4,1.9,56.9,,63.6,56.9,,
Robert Buddy Vance,Center,78.0,198.0,Kansas,1964,3,41.0,,2.5,2.4,,,,,41.1,,46.9,,,
Ruben Vance,Guard,74.0,188.0,Kent State,1972,2,48.0,,20.1,4.5,,,,,44.8,,75.1,,,
Sal Vance,Forward,80.0,203.0,  Schools: Oregon State and Cal State Northridge,2005,2,30.0,,2.0,1.4,0.1,0.0,0.1,,46.2,,39.4,46.2,,0.2
Tony Vance,Guard,72.0,183.0,Morehead State,1985,2,32.0,11.2,2.0,0.9,0.6,0.3,0.0,0.6,40.6,,68.8,,,
Tre Vance,Forward,81.0,220.0,Oral Roberts,2016,1,10.0,4.1,0.8,0.5,0.2,0.0,0.4,0.1,28.6,,57.1,28.6,7.3,0.0
Zane Vance,Forward,77.0,196.0,Robert Morris,1989,1,3.0,4.3,,0.7,,0.0,0.0,0.3,,,,,,
Carl VanCleave,Guard,75.0,190.0,Iowa State,1954,3,59.0,,8.9,,,,,,33.8,,54.9,,,
Michael Vandahl,Guard,71.0,180.0,Denver,2009,1,2.0,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,0.0
Dave Vandal,Guard,74.0,200.0,UConn,2013,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Bart Vande Mark,Guard,,,,1961,3,27.0,,0.9,1.5,,,,,22.9,,50.0,,,
Jason Vandebrake,Guard,77.0,196.0,Drake,2001,2,8.0,,0.2,0.2,0.0,0.0,0.0,,0.0,0.0,100.0,0.0,,0.0
