player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Bob Zajac,6-2 (188cm) ,,,,1962,2,24.0,,1.8,1.1,,,,,32.5,,59.3,,,
Craig Zajac,School: St. Bonaventure,,,,1993,1,3.0,,0.0,,0.0,0.0,0.0,,,,,,,
Ed Zajac,Center,82.0,208.0,Quinnipiac,2009,2,43.0,,3.0,3.5,0.1,0.3,0.4,0.8,46.3,,58.8,46.3,,1.3
Jon Zajac,Forward,,,,1997,3,117.0,,6.2,4.7,1.0,0.8,0.4,,45.3,21.3,53.7,46.1,,
Richie Zajac,Forward,76.0,193.0,Lehigh,1977,4,,,,,,,,,,,,,,
Bob Zak,Forward,78.0,198.0,Maine,1975,1,14.0,,3.8,1.6,,,,,55.8,,62.5,,,
Dave Zak,Forward,74.0,188.0,Kent State,1962,2,19.0,,1.1,1.6,,,,,22.7,,42.9,,,
Jim Zak,Forward,76.0,193.0,Bowling Green State,1961,2,41.0,,2.0,2.0,,,,,33.3,,59.5,,,
Mike Zak,Guard,,,,1998,1,27.0,,5.7,1.4,0.8,0.3,0.0,,34.0,29.3,63.3,41.5,,0.2
Ted Zak,School: Kent State,,,,1966,1,19.0,,3.5,5.0,,,,,46.9,,51.3,,,
_ Zak,School: Kent State,,,,1965,1,,,,,,,,,,,,,,
_ Zak,School: Kent State,,,,1964,1,,,,,,,,,,,,,,
John Zakariassen,School: Oklahoma State,,,,1976,1,1.0,0.0,,1.0,,0.0,0.0,3.0,,,,,,
Mike Zaklan,Guard,,,,1964,3,59.0,,4.1,1.9,,,,,42.1,,73.0,,,
Casey Zakowski,School: Green Bay,,,,1982,1,11.0,11.4,3.5,1.4,0.5,,0.0,,39.5,,55.6,,,
Steve Zakula,Forward,74.0,188.0,Harvard,1970,2,17.0,,1.6,0.9,,,,,36.8,,66.7,,,
Matt Zalauskas,Center,81.0,206.0,Maine,1983,1,22.0,,2.0,1.4,0.2,0.2,0.1,0.9,39.0,,41.4,,,
Jim Zalenka,Forward,79.0,201.0,Ohio,1980,3,97.0,16.6,5.5,3.1,0.6,0.5,0.2,1.1,41.8,,66.2,,,
Matt Zaleski,Guard,73.0,185.0,Rider,1990,3,94.0,11.2,6.9,1.7,1.3,1.1,0.1,0.9,39.6,34.6,63.2,48.0,,
Bob Zaletal,6-1 (185cm) ,,,,1961,1,3.0,,1.3,0.3,,,,,100.0,,,,,
Bob Zaletel,Guard,74.0,188.0,Kent State,1962,1,13.0,,1.7,1.0,,,,,38.1,,60.0,,,
Joe Zaletel,Forward,79.0,201.0,Arizona State,1996,2,48.0,4.7,3.9,2.6,0.6,0.4,0.2,0.4,44.7,14.3,56.9,45.0,,
Tom Zaliagiris,Guard,77.0,196.0,UNC,1978,4,100.0,0.2,4.7,1.3,0.9,0.8,0.1,,48.7,,58.7,,,
George Zalucki,Center,78.0,198.0,Providence,1962,2,44.0,,4.6,6.0,,,,,47.2,,51.6,,,
Paulius Zalys,Forward,79.0,200.0,Lafayette,2017,2,60.0,23.2,8.3,3.9,1.4,0.4,0.3,2.2,47.0,33.1,66.1,53.9,11.9,1.1
Mark Zamat,Forward,75.0,190.0,Colgate,1966,2,38.0,,10.3,3.2,,,,,44.7,,76.0,,,
_ Zamat,School: Colgate,,,,1964,1,,,,,,,,,,,,,,
George Zambetti,Forward,77.0,196.0,Fordham,1972,2,52.0,,8.9,4.7,1.2,,,,45.5,,60.6,,,
Steve Zambo,Forward,,,,1976,3,,,,,,,,,,,,,,
Joe Zamborsky,Guard,73.0,185.0,Manhattan,1962,1,3.0,,1.3,0.3,,,,,14.3,,100.0,,,
Rod Zamor,Guard,77.0,196.0,Iona,1996,2,55.0,,7.4,2.7,1.7,1.3,0.3,,47.4,18.4,64.5,48.8,,
Adrian Zamora,Center,81.0,206.0,Montana State,2008,2,60.0,,2.9,3.2,0.7,0.5,1.0,0.6,42.4,30.8,57.6,43.7,,1.7
JoJo Zamora,Guard,74.0,170.0,Utah,2017,1,32.0,20.0,6.9,1.4,1.1,0.6,0.3,1.2,45.5,36.0,81.1,54.5,12.5,1.8
Robert Zamora,Forward,75.0,190.0,Baylor,1963,1,5.0,,1.8,1.0,,,,,60.0,,60.0,,,
Paolo Zamorano,Forward,75.0,190.0,San Francisco,2008,2,14.0,,0.6,0.0,0.1,0.1,0.0,0.0,33.3,37.5,,50.0,,0.0
Brian Zamore,Forward,80.0,203.0,Florida A&M,2004,3,103.0,,1.2,2.0,0.2,0.3,0.2,,33.3,0.0,50.5,33.3,,0.7
Alex Zampier,Guard,75.0,190.0,Yale,2009,3,108.0,30.9,10.6,2.3,1.8,1.5,0.2,2.4,39.7,32.0,81.6,47.0,,7.0
Davide Zanbon,Forward,,,,1999,1,27.0,,2.7,2.2,0.3,0.1,0.1,,33.8,16.1,62.5,36.9,,0.1
Allyn Zanchi,Forward,81.0,206.0,Maine,1986,1,12.0,5.2,0.9,1.0,0.1,0.2,0.2,0.3,66.7,,42.9,,,
Dan Zanderson,Forward,76.0,193.0,Northern Illinois,1997,1,3.0,,0.0,0.3,0.7,0.0,0.0,,,,,,,0.0
Len Zandy,Forward,78.0,198.0,Fordham,1966,3,72.0,,13.2,6.8,,,,,42.0,,77.8,,,
Stewart Zane,School: Clemson,,,,1979,2,12.0,0.2,,1.3,,0.0,0.1,0.2,,,,,,
Stewart Zane,School: Charlotte,,,,1975,1,3.0,,1.3,1.0,,,,,40.0,,,,,
Matt Zaney,Forward,78.0,198.0,Texas-Rio Grande Valley,2009,1,8.0,,0.4,0.6,0.0,0.1,0.0,0.4,50.0,,25.0,50.0,,0.0
Michael Zangari,Forward,81.0,230.0,East Carolina,2015,3,123.0,16.6,4.7,3.4,0.4,0.2,0.3,0.8,45.4,21.1,67.5,47.0,12.0,4.0
George Zaninovich,Guard,75.0,190.0,Penn,1995,1,17.0,,1.8,0.6,0.4,0.1,0.0,,35.5,31.6,50.0,45.2,,
George Zaninovich,Guard,74.0,188.0,Stanford,1953,3,56.0,,4.6,3.4,,,,,33.7,,57.0,,,
Nura Zanna,Forward,79.0,240.0,LIU-Brooklyn,2017,3,93.0,23.4,8.1,6.9,0.4,0.6,0.4,2.3,54.2,0.0,50.7,54.2,14.1,4.3
Talib Zanna,Forward,81.0,230.0,Pitt,2012,3,135.0,21.7,8.3,6.0,0.4,0.5,0.5,1.0,55.3,0.0,65.0,55.3,21.7,13.5
Rudy Zannini,Guard,67.0,170.0,San Francisco,1955,3,57.0,,,0.4,,,,,,,,,,
Craig Zanon,Guard,78.0,198.0,Montana,1980,3,97.0,32.2,11.0,3.1,,0.9,0.1,2.4,53.2,,79.8,,,
Rick Zanon,Guard,72.0,183.0,Montana,1979,2,38.0,0.0,2.1,0.7,,0.3,0.0,1.1,43.8,,57.8,,,
Scott Zanon,Guard,72.0,183.0,Montana,1986,3,103.0,35.0,10.5,1.7,4.0,1.4,0.1,3.5,45.3,,80.1,,,
Pete van Zant,School: Oklahoma State,,,,1964,1,,,,,,,,,,,,,,
John Zanzalari,Center,78.0,198.0,Fordham,1970,3,67.0,,7.3,4.7,,,,,49.1,,62.2,,,
Tony Zanze,Forward,79.0,201.0,Dartmouth,1982,2,28.0,,2.6,2.1,0.3,0.0,0.0,0.9,34.3,,70.6,,,
Tommy Zapata,Guard,75.0,190.0,Nevada,1999,3,105.0,,4.0,1.7,1.5,0.7,0.1,,34.7,30.8,74.2,42.5,,1.7
Ron Zappia,Forward,80.0,203.0,Bowling Green State,1986,1,4.0,,1.5,1.2,0.5,0.0,0.0,1.0,33.3,,50.0,,,
Zack Zaragoza,Guard,76.0,193.0,Northern Arizona,2009,1,7.0,,2.0,1.0,0.7,0.3,0.0,0.3,27.8,26.7,,38.9,,-0.1
Joe Zaranka,Guard,75.0,190.0,Rhode Island,1969,3,75.0,,5.6,2.9,,,,,38.6,,68.3,,,
Stan Zardozny,Center,79.0,201.0,Drexel,1972,1,24.0,,8.0,,,,,,43.4,,56.0,,,
Andrew Zarechnak,Forward,76.0,193.0,Virginia Tech,1993,1,2.0,,0.0,1.0,0.5,0.0,0.0,,,,,,,
Nemanja Zarkovic,Guard,75.0,185.0,Fordham,2017,3,69.0,16.6,3.1,1.2,1.2,0.5,0.0,0.8,33.5,31.5,60.6,44.0,6.1,1.3
Bob Zarr,6-8 (203cm) ,,,,1965,2,33.0,,4.0,2.5,,,,,40.3,,50.8,,,
Max Zaslofsky,Guard,74.0,170.0,St. John's (NY),1946,1,18.0,,7.8,,,,,,,,57.9,,,
Eric Zastoupil,Forward,79.0,201.0,Army,2009,3,59.0,16.3,2.5,1.7,0.3,0.2,0.1,0.7,44.2,7.7,76.5,44.6,,1.4
Ed Zastrow,Guard,,,,1967,1,25.0,,5.2,1.3,,,,,38.1,,64.9,,,
Nate Zastrow,Guard,72.0,175.0,North Dakota State,2012,3,106.0,12.1,3.5,1.1,1.4,0.2,0.0,1.0,29.9,35.1,82.3,40.8,10.4,2.2
Butch Zatezalo,Guard,71.0,180.0,Clemson,1970,3,75.0,,23.5,2.8,,,,,41.0,,82.1,,,
Rudy Zatezalo,Guard,74.0,188.0,West Virginia,1963,1,2.0,,1.0,,,,,,33.3,,,,,
Jeff Zatkoff,Forward,81.0,206.0,Eastern Michigan,1982,3,81.0,32.7,16.1,7.1,0.8,0.9,,,50.4,,73.0,,,
John Zatorski,6-3 (190cm) ,,,,1955,1,25.0,,2.4,3.2,,,,,36.5,,51.9,,,
Ed Zausch,Center,80.0,203.0,Evansville,1964,1,29.0,,7.6,9.6,,,,,39.3,,54.4,,,
Ed Zausch,School: Murray State,,,,1987,1,1.0,,,1.0,,0.0,0.0,1.0,,,,,,
Donatas Zavackas,Forward,80.0,203.0,Pitt,2002,3,118.0,,9.3,4.4,1.6,0.4,0.2,,44.7,40.5,80.7,54.8,,12.4
Jeff Zavada,Center,81.0,206.0,Green Bay,1994,2,58.0,,6.8,3.0,0.8,0.3,0.2,,53.0,28.6,70.6,53.3,,
Jeff Zavada,Forward,81.0,206.0,Marquette,1991,2,18.0,,0.7,0.8,,0.1,0.0,,54.5,,,,,
Javier Zavala,Guard,72.0,183.0,San Jose State,1994,2,51.0,,5.9,2.6,2.5,0.9,0.2,,37.3,35.9,72.2,43.2,,
Bob Zavorskas,School: Bucknell,,,,1966,2,25.0,,2.6,,,,,,30.6,,54.1,,,
Tom Zavorskas,Guard,70.0,178.0,Boston University,1966,3,54.0,,5.5,2.9,,,,,28.8,,62.4,,,
Ron Zawacki,Guard,71.0,180.0,LIU-Brooklyn,1971,1,10.0,,4.6,3.0,,,,,51.5,,80.0,,,
Ted Zawacki,Forward,76.0,193.0,Wake Forest,1963,3,39.0,,1.4,1.0,,,,,37.8,,59.1,,,
Ray Zawackzki,Forward,76.0,193.0,Dayton,1959,1,10.0,,1.4,0.5,,,,,42.9,,100.0,,,
Ray Zawadski,Forward,,,,1961,1,16.0,,1.6,0.9,,,,,36.4,,55.6,,,
Ray Zawadzki,6-4 (193cm) ,,,,1960,1,8.0,,1.5,1.1,,,,,27.3,,66.7,,,
Joe Zawawacki,6-1 (185cm) ,,,,1960,1,10.0,,0.2,0.7,,,,,9.1,,,,,
Bob Zawoluk,Center,78.0,198.0,St. John's (NY),1952,3,90.0,3.5,20.2,,,,,3.1,43.7,,73.2,,,
Steve Zazuri,Guard,74.0,195.0,Sacred Heart,2011,3,70.0,12.9,0.6,1.1,1.3,0.5,0.1,1.0,30.4,,53.8,30.4,,-0.1
Frank Zazzaro,Forward,76.0,193.0,Seton Hall,1977,4,62.0,0.0,3.1,,,0.0,0.0,0.4,46.1,,,,,
John Zazzaro,Guard,75.0,190.0,USC,1965,3,45.0,,5.3,1.5,,,,,40.2,,50.7,,,
Bill Zban,School: Marshall,,,,1956,1,1.0,,,,,,,,,,,,,
Larry Zebrack,Guard,72.0,183.0,George Washington,1968,1,4.0,,1.8,0.8,,,,,33.3,,60.0,,,
Stefan Zecevic,Guard,78.0,200.0,Bradley,2014,1,22.0,3.5,0.5,0.6,0.1,0.0,0.2,0.4,41.7,0.0,20.0,41.7,1.7,-0.1
Patrick Zeck,Forward,79.0,225.0,Gardner-Webb,2017,1,19.0,5.7,1.4,1.3,0.2,0.3,0.2,0.2,66.7,,75.0,66.7,15.5,0.5
Tyler Zegarzewski,Forward,78.0,205.0,Campbell,2013,2,6.0,2.0,1.3,0.2,0.2,0.2,0.0,0.0,75.0,66.7,,100.0,41.9,0.1
