player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Gerald Geister,School: Michigan State,,,,1968,1,12.0,,0.5,1.3,,,,,15.8,,,,,
Dale Geistler,Forward,80.0,203.0,Toledo,1970,2,23.0,,2.8,2.3,,,,,27.6,,63.9,,,
Gerald Geistler,School: Michigan State,,,,1967,2,,,,,,,,,,,,,,
Rob Geistwhite,Forward,78.0,198.0,Wright State,1990,3,46.0,,3.8,1.5,1.0,0.4,0.1,,45.5,,80.6,47.0,,
Clem Geitner,Forward,78.0,198.0,Lafayette,1985,1,7.0,5.1,1.4,1.9,0.0,,,0.4,37.5,,57.1,,,
Charles Gelatt,Center,80.0,203.0,  Schools: Syracuse and DePaul,1997,3,47.0,,6.1,3.6,0.9,1.6,0.7,,36.1,26.7,73.6,38.2,,
Coltin Gelb,Guard,75.0,170.0,San Francisco,2013,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Alex Gelbard,Guard,75.0,190.0,Stanford,2000,3,30.0,,0.9,0.3,0.1,0.0,0.1,,33.3,33.3,30.0,37.9,,0.0
Marv Gelber,Guard,73.0,185.0,Stanford,1950,2,39.0,,4.8,,,,,,31.7,,61.4,,,
Jay Geldmacher,Forward,80.0,203.0,Arizona,1974,1,9.0,,0.8,0.2,,,,,100.0,,33.3,,,
Russ Geldmacher,Guard,74.0,188.0,Marquette,1951,3,56.0,,4.1,,,,,,,,62.1,,,
Jordi Geli,Forward,82.0,208.0,University of California,2004,2,6.0,,0.3,0.3,0.2,0.0,0.0,,50.0,0.0,,50.0,,0.0
Pau Geli,Forward,81.0,206.0,Delaware,2008,3,47.0,,0.4,0.7,0.1,0.1,0.0,0.4,29.4,0.0,42.1,29.4,,0.0
Harris Gelin,Guard,75.0,190.0,Florida Gulf Coast,2009,2,31.0,,0.9,0.4,0.2,0.2,0.0,,37.0,0.0,75.0,37.0,,
Michael Gelineau,Guard,74.0,175.0,UMass-Lowell,2014,1,1.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,100.0,33.3,21.5,0.0
Bob Gelle,6-3 (190cm) ,,,,1953,3,45.0,,14.4,,,,,,38.9,,65.6,,,
Dylan Geller,Guard,76.0,193.0,Creighton,1993,1,3.0,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,
Andrew Gellert,Guard,75.0,190.0,Harvard,2001,3,105.0,,6.1,3.7,3.0,2.3,0.1,,42.7,32.1,57.6,47.6,,6.5
Darryl Gellert,School: Gonzaga,,,,1967,2,,,,,,,,,,,,,,
Bryan Gellineau,Center,83.0,280.0,Norfolk State,2017,1,23.0,10.3,3.1,2.8,0.0,0.2,0.4,1.0,64.4,,53.8,64.4,12.0,0.6
Grant Gelon,Guard,77.0,195.0,Indiana,2017,1,12.0,3.3,1.8,0.4,0.0,0.1,0.0,0.1,77.8,60.0,62.5,94.4,26.9,0.2
Michael Gely,Center,84.0,213.0,Boise State,2000,1,26.0,,2.0,1.2,0.1,0.1,0.3,,44.9,,75.0,44.9,,0.5
Brian Gemberling,Forward,77.0,196.0,Georgia Tech,1991,1,4.0,2.0,1.5,1.2,,0.0,0.0,0.3,42.9,,,,,
Mike Gemei,School: UMass,,,,1967,1,5.0,,3.6,1.6,0.8,,,,30.0,,66.7,,,
Doug Gemmell,Forward,75.0,190.0,Notre Dame,1971,2,43.0,,3.8,3.4,,,,,41.0,,52.4,,,
Shawn Genal,Forward,78.0,198.0,Army,1987,2,30.0,7.9,3.0,1.8,0.6,0.2,0.1,0.5,34.4,,83.3,,,
Andy Genao,Guard,76.0,193.0,  Schools: Prairie View and Eastern Washington,2009,2,60.0,,7.8,4.1,1.2,0.6,0.2,1.7,38.2,28.7,65.3,43.4,,1.5
Joe Genaro,5-11 (180cm) ,,,,1951,3,45.0,,7.3,,,,,,39.2,,68.8,,,
Dave Genaway,Forward,81.0,206.0,Buffalo,1993,2,55.0,23.8,3.9,3.3,0.6,0.5,0.2,2.2,45.5,0.0,55.0,45.5,,
Alex Gendelman,Guard,69.0,175.0,Vanderbilt,2013,1,3.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-23.8,0.0
Jonnie Gendron,Guard,75.0,190.0,Tulsa,1998,3,93.0,,6.2,2.2,1.2,0.8,0.1,,38.0,36.2,78.6,48.0,,4.7
Joey Gene,School: Louisiana-Monroe,,,,1985,1,3.0,1.0,0.7,,,0.0,0.0,0.0,50.0,,,,,
Brian Generalovich,Forward,76.0,193.0,Pitt,1964,3,72.0,,15.5,8.6,,,,,42.7,,76.1,,,
Brock Generalovich,Guard,73.0,185.0,Pitt,1992,3,34.0,2.5,,0.4,,0.1,0.1,0.1,,,,,,
Nick Generalovich,6-2 (188cm) ,,,,1966,2,29.0,,1.3,1.2,,,,,25.0,,60.0,,,
Kofi Genfi,Forward,76.0,193.0,Rutgers,2008,1,6.0,,0.0,0.3,0.0,0.0,0.0,0.0,0.0,,,0.0,,-0.1
Zach Gengler,Guard,74.0,180.0,Portland State,2016,3,114.0,19.6,6.2,2.0,1.8,1.1,0.1,0.8,46.7,36.2,83.1,54.3,14.6,5.8
Bob Genirs,6-1 (185cm) ,,,,1959,1,7.0,,2.1,1.3,,,,,42.9,,75.0,,,
Dave Genis,Guard,76.0,193.0,UMass,1982,2,25.0,9.6,3.4,2.2,,,,,,,71.4,,,
Tony Gennari,6-3 (190cm) ,,,,1964,3,63.0,,14.3,5.7,,,,,39.2,,72.9,,,
Donte Gennie,Guard,74.0,188.0,Georgia Southern,2006,3,119.0,,10.8,2.6,2.2,1.3,0.0,,46.6,40.6,68.9,54.5,,9.9
Kenny Paul Geno,Forward,78.0,200.0,Georgia,2016,3,105.0,11.8,1.8,1.7,0.7,0.3,0.2,0.3,40.5,30.9,61.9,47.7,9.3,2.7
Anthony Genovese,School: Virginia,,,,1955,1,7.0,,0.7,,,,,,,,50.0,,,
Jay Genseal,School: Eastern Illinois,,,,1985,1,3.0,1.0,,,,0.0,0.0,0.3,,,,,,
Cory Gensler,Guard,76.0,190.0,Campbell,2017,1,37.0,30.5,7.2,4.1,1.1,1.1,0.4,0.6,45.2,40.2,72.2,56.9,13.0,3.0
David Genslinger,Center,82.0,208.0,Western Illinois,2005,3,37.0,,1.4,1.5,0.2,0.0,0.3,,43.5,,65.0,43.5,,-0.2
Pete Gent,Forward,77.0,196.0,Michigan State,1964,3,66.0,,17.4,8.3,,,,,40.3,,69.5,,,
Tiit Gentalen,School: Columbia,,,,1961,2,13.0,,1.2,0.7,,,,,,,,,,
Angie Gentile,School: Bucknell,,,,1963,2,22.0,,6.2,,,,,,38.0,,,,,
Dan Gentile,Forward,77.0,196.0,Colgate,2006,3,78.0,,3.1,1.7,0.6,0.4,0.1,,34.0,29.1,64.7,43.6,,0.9
_ Gentile,School: Detroit,,,,1961,1,6.0,,0.3,1.3,,,,,50.0,,,,,
Al Gentry,Guard,75.0,190.0,Appalachian State,1977,4,,,,,,,,,,,,,,
Bob Gentry,Forward,75.0,190.0,Tennessee,1957,2,28.0,,1.6,2.7,,,,,21.6,,36.8,,,
Charles Gentry,Forward,80.0,203.0,Colorado,1991,1,2.0,12.5,6.0,4.0,2.0,1.5,0.0,1.0,45.5,,33.3,45.5,,
Chris Gentry,Forward,80.0,203.0,Georgia State,1997,2,32.0,,2.0,2.5,0.2,0.2,0.2,,52.6,,30.8,52.6,,0.6
Chuck Gentry,Center,80.0,203.0,Rice,1987,1,10.0,3.3,1.2,0.9,,0.1,0.0,0.3,37.5,,,,,
Cole Gentry,Guard,70.0,165.0,South Dakota State,2017,1,10.0,16.6,3.3,1.9,1.9,0.4,0.0,1.0,30.3,26.1,70.0,39.4,7.2,0.1
Curt Gentry,5-11 (180cm) ,,,,1957,1,20.0,,1.8,0.7,,,,,28.8,,37.5,,,
Dwight Gentry,Guard,73.0,185.0,Texas-Arlington,2010,2,48.0,21.6,5.0,2.0,1.4,0.7,0.0,1.0,42.4,31.1,75.3,49.1,,2.1
Fred Gentry,Forward,80.0,203.0,McNeese State,2001,3,116.0,,9.7,6.9,0.8,1.2,1.2,,52.7,0.0,56.0,52.7,,10.6
Jack Gentry,Forward,,,,1948,1,29.0,,12.5,,,,,,,,67.3,,,
Josh Gentry,Guard,76.0,170.0,North Dakota,2012,1,16.0,5.0,0.7,0.6,0.2,0.2,0.0,0.3,11.1,0.0,87.5,11.1,0.8,-0.1
Josh Gentry,Guard,76.0,180.0,Cal State Fullerton,2015,2,62.0,23.3,6.9,2.3,1.2,0.4,0.2,1.3,44.0,29.9,79.6,49.1,11.8,2.6
Marvin Gentry,Guard,75.0,190.0,Cincinnati,2008,2,55.0,,6.7,2.6,1.1,0.8,0.2,1.0,37.7,34.3,76.9,46.4,,2.4
Nolden Gentry,Forward,79.0,201.0,Iowa,1960,3,68.0,,10.3,10.3,,,,,38.5,,67.0,,,
Paul Gentry,Forward,,,,1951,1,20.0,,6.7,,,,,,29.3,,70.0,,,
Randy Gentry,Forward,80.0,203.0,Oklahoma,1976,2,23.0,,4.5,3.8,,,,,35.5,,23.5,,,
Roman Gentry,Guard,76.0,193.0,  Schools: Milwaukee and South Dakota,2010,3,68.0,29.4,8.4,3.0,1.3,1.1,0.3,1.9,40.9,32.0,82.0,47.2,,
Stephen Gentry,Guard,74.0,188.0,Gonzaga,2006,3,19.0,,0.4,0.3,0.1,0.0,0.0,,40.0,50.0,100.0,50.0,,0.1
Steve Gentry,Guard,71.0,180.0,Xavier,1994,3,86.0,,6.9,2.5,4.5,1.0,0.2,,36.9,30.9,67.8,42.9,,
Todd Gentry,Guard,77.0,196.0,BYU,1990,1,26.0,5.9,0.7,0.6,0.4,0.2,0.0,0.4,31.8,0.0,50.0,31.8,,
Todd Gentry,Guard,77.0,196.0,Utah State,1993,2,53.0,,4.7,2.2,0.9,0.5,0.1,,41.0,34.0,60.5,44.8,,
Walt Geoghan,Center,,,,1948,1,,,,,,,,,,,,,,
Mike Geoghegan,Forward,76.0,193.0,Georgetown,1972,1,13.0,,2.2,1.2,,,,,30.0,,62.5,,,
_ Geoly,School: Lehigh,,,,1948,1,,,,,,,,,,,,,,
Jeff Georgatos,Forward,79.0,210.0,Harvard,2012,3,44.0,6.0,0.9,0.7,0.0,0.1,0.1,0.2,40.5,25.0,50.0,41.7,4.5,0.2
Bob George,Center,,,,1956,3,,,,,,,,,,,,,,
Bobby George,Guard,72.0,183.0,Lehigh,1999,2,33.0,,1.0,0.6,0.8,0.3,0.0,,40.7,16.7,75.0,44.4,,0.2
