player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
LeRoi O'Brien,Forward,79.0,201.0,Pepperdine,1995,3,83.0,,3.7,2.4,0.3,0.4,0.3,,49.2,,64.9,49.2,,
LeRoi O'Brien,Forward,78.0,198.0,Pepperdine,1992,1,16.0,5.6,1.4,1.0,0.1,0.3,0.2,0.4,47.4,,50.0,47.4,,
Lucas O'Brien,Center,82.0,230.0,UTSA,2016,3,95.0,15.9,5.4,3.2,0.4,0.2,0.3,0.6,44.2,31.7,72.8,50.4,13.6,3.2
Matt O'Brien,Guard,74.0,188.0,Georgia State,1991,2,57.0,17.6,12.1,2.0,2.9,0.7,0.1,1.7,38.2,32.3,81.3,45.5,,
Mike O'Brien,School: Illinois,,,,1983,1,,,,,,,,,,,,,,
Mike O'Brien,School: Illinois,,,,1982,1,5.0,1.2,0.8,0.4,,0.0,0.0,0.2,66.7,,,,,
Mike O'Brien,Guard,74.0,188.0,Seattle,1969,1,20.0,,0.6,0.9,,,,,21.4,,41.7,,,
Mike O'Brien,Forward,75.0,190.0,Rider,1969,1,11.0,,0.7,0.5,,,,,28.6,,80.0,,,
MIke O'Brien,Guard,74.0,188.0,Seattle,1968,1,24.0,,2.4,1.5,,,,,41.2,,69.6,,,
Ralph O'Brien,Guard,68.0,173.0,Butler,1949,1,23.0,,15.8,,,,,,41.0,,78.5,,,
ROBERT O'BRIEN,School: UConn,,,,1954,2,,,,,,,,,,,,,,
Sean O'Brien,Forward-Guard,78.0,210.0,Southern Illinois,2016,3,131.0,28.7,9.5,6.1,1.9,0.8,0.5,1.9,48.2,24.7,58.3,50.0,15.8,9.4
Sean O'Brien,Guard,74.0,188.0,Colgate,2017,3,94.0,24.0,7.3,1.8,2.3,0.8,0.0,1.1,44.3,39.4,84.2,55.6,14.1,5.9
Steve O'Brien,Forward-Guard,76.0,193.0,Bucknell,1980,4,77.0,,2.4,0.9,0.6,,,,42.0,,60.0,,,
T O'Brien,School: Boston College,,,,1975,1,4.0,,0.5,0.2,,,,,100.0,,,,,
Terry O'Brien,Guard,74.0,188.0,Santa Clara,1970,3,64.0,,6.0,2.8,,,,,43.8,,71.5,,,
Tim O'Brien,Forward,76.0,193.0,West Chester,1976,3,51.0,,12.0,10.1,,,,,45.4,,69.5,,,
Todd O'Brien,Center,84.0,250.0,  Schools: Bucknell and St. Joseph's,2011,3,85.0,16.1,3.9,4.2,0.4,0.6,0.6,1.0,44.7,,58.5,44.7,,2.2
Tom O'Brien,Guard,73.0,185.0,Boston College,1950,3,53.0,,10.0,,,,,,,,,,,
W.E. O'Brien,Guard,72.0,183.0,Butler,1949,1,3.0,,0.7,,,,,,,,100.0,,,
W.W. O'Brien,Guard,72.0,183.0,Butler,1949,1,11.0,,0.8,,,,,,28.6,,33.3,,,
_ O'Brien,School: Butler,,,,1948,1,,,,,,,,,,,,,,
_ O'Brien,6-0 (183cm) ,,,,1950,1,18.0,,0.9,,,,,,20.0,,71.4,,,
_ O'Brien,School: Siena,,,,1948,1,,,,,,,,,,,,,,
Derek O'Bryan,Forward,80.0,203.0,East Carolina,2009,1,9.0,,0.2,0.4,0.0,0.0,0.2,0.1,50.0,,,50.0,,0.0
Lee O'Bryan,School: Richmond,,,,1961,2,47.0,,10.0,9.7,,,,2.0,37.7,,71.0,,,
Michael O'Bryan,6-4 (193cm) ,,,,1958,3,15.0,,,,,,,,,,,,,
Robbie O'Bryan,Guard,73.0,185.0,Morehead State,1993,1,3.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,
Darrin O'Bryant,Guard,74.0,188.0,Eastern Kentucky,1989,2,56.0,27.4,12.9,4.0,1.7,0.6,0.3,1.1,44.6,29.6,73.7,46.4,,
Eathan O'Bryant,Guard,71.0,180.0,Nevada,1995,2,57.0,,11.2,3.7,7.8,2.5,0.0,,40.8,29.4,69.8,44.2,,
Johnny O'Bryant,Forward,81.0,256.0,LSU,2014,3,91.0,27.1,12.7,7.7,1.3,0.5,0.8,2.9,46.7,22.2,61.9,47.0,17.7,5.8
Orin O'Bryant,Forward,82.0,215.0,Hampton,2012,1,30.0,9.1,1.4,1.6,0.3,0.2,0.6,0.7,50.0,,33.3,50.0,6.9,0.2
Patrick O'Bryant,Center,84.0,260.0,Bradley,2006,2,52.0,24.3,11.6,7.8,0.7,0.9,2.8,,55.4,,68.7,55.4,,8.6
Andrew O'Connell,6-2 (188cm) ,,,,1963,3,61.0,,12.6,,,,,,,,,,,
Andy O'Connell,Forward,,,,1989,1,3.0,,1.3,1.0,0.3,,,,25.0,,100.0,25.0,,
Bob O'Connell,School: Loyola Marymount,,,,1954,1,,,,,,,,,,,,,,
Brian O'Connell,Guard,,,,1990,2,,1.3,,,,0.0,0.0,0.3,,,,,,
Buzz O'Connell,Guard,69.0,175.0,Stetson,1977,4,102.0,,7.9,1.7,,,,,47.9,,80.0,,,
Dave O'Connell,Forward,76.0,193.0,Duke,1976,3,64.0,,2.9,1.2,0.4,,,,43.8,,52.2,,,
Dermott O'Connell,Forward,,,,1948,1,30.0,,7.5,,,,,,,,40.4,,,
Dick O'Connell,Forward,76.0,193.0,Boston University,1961,3,71.0,,10.9,6.7,,,,,39.2,,,,,
Gene O'Connell,Forward,75.0,190.0,St. Peter's,1970,3,53.0,,2.7,2.3,,,,,48.2,,52.9,,,
Jamie O'Connell,Guard,74.0,188.0,Central Connecticut,1992,1,22.0,3.8,1.0,0.6,1.2,0.5,0.1,0.9,26.3,0.0,85.7,26.3,,
Jim O'Connell,School: Citadel,,,,1975,1,,,,,,,,,,,,,,
Jim O'Connell,Guard,73.0,185.0,Xavier,1967,1,20.0,,13.2,1.9,2.4,,,,50.0,,74.8,,,
Jim O'Connell,Guard,74.0,188.0,Xavier,1956,1,16.0,,1.2,0.3,0.2,,,,33.3,,87.5,,,
Jim O'Connell,Forward,,,,1948,1,23.0,,3.3,,,,,,,,45.5,,,
John O'Connell,School: Rutgers,,,,1982,2,,,,,,,,,,,,,,
John O'Connell,Center,80.0,203.0,Columbia,1975,1,17.0,,2.0,1.5,0.4,,,,44.4,,66.7,,,
John O'Connell,Forward,79.0,201.0,Loyola Marymount,1991,3,110.0,12.8,4.6,3.3,0.4,0.5,0.1,0.8,50.6,25.5,66.4,52.3,,
Keith O'Connell,Center,79.0,201.0,Furman,1993,1,17.0,,0.8,0.5,0.1,0.0,0.0,,29.4,30.0,33.3,38.2,,
Keith O'Connell,Forward,79.0,201.0,Navy,1990,1,17.0,,2.9,1.9,0.6,0.1,0.0,,34.6,34.5,80.0,44.2,,
Lee O'Connell,Guard,74.0,188.0,Bradley,1954,3,56.0,,4.1,2.8,,,,,32.5,,61.8,,,
Michael O'Connell,Guard,73.0,185.0,Notre Dame,1970,3,72.0,,6.1,2.7,,,,,39.4,,72.8,,,
Mike O'Connell,Forward,78.0,198.0,Drexel,1980,4,66.0,,3.8,2.2,,,,,43.6,,73.2,,,
Mike O'Connell,Guard,73.0,185.0,Dartmouth,1964,2,36.0,,2.7,1.1,,,,,38.8,,52.6,,,
Ned O'Connell,Guard,,,,1970,3,61.0,,7.1,4.0,,,,,53.0,,61.8,,,
Robert O'Connell,School: Providence,,,,1954,2,,,,,,,,,,,,,,
Shawn O'Connell,Forward,80.0,190.0,Georgia Southern,2017,2,60.0,13.4,3.4,3.0,0.2,0.3,0.5,0.4,56.1,30.0,66.7,57.2,13.8,2.5
Tim O'Connell,Guard,74.0,188.0,New Hampshire,1991,1,5.0,,4.0,1.0,0.4,,,,87.5,,66.7,87.5,,
Tim O'Connell,Guard,73.0,185.0,Xavier,1968,2,49.0,,11.0,2.6,,,,,45.7,,79.2,,,
Tim O'Connell,6-2 (188cm) ,,,,1952,3,71.0,,10.0,,,,,,,,,,,
_ O'Connell,School: Furman,,,,1992,1,,,,,,,,,,,,,,
Bill O'Conner,6-5 (196cm) ,,,,1963,1,26.0,,23.8,10.2,,,,,49.8,,66.2,,,
John O'Conner,Forward,75.0,190.0,Manhattan,1962,3,52.0,,5.3,5.1,,,,,48.4,,67.4,,,
Patrick O'Conner,Forward,78.0,198.0,Florida,1999,1,6.0,,0.7,1.0,0.0,0.0,0.0,,0.0,0.0,100.0,0.0,,0.0
_ O'Connir,School: St. Francis (NY),,,,1948,1,,,,,,,,,,,,,,
Bill O'Connor,Forward,77.0,196.0,Canisius,1962,2,44.0,,23.0,10.7,,,,,46.4,,69.0,,,
Bob O'Connor,School: Iona,,,,1970,1,3.0,,1.3,1.7,,,,,66.7,,,,,
Chris O'Connor,Guard,75.0,190.0,New Hampshire,1993,3,,,,,,0.6,0.0,,,,,,,
Dominique O'Connor,Guard,70.0,165.0,San Francisco,2012,2,26.0,19.7,5.8,1.3,2.0,1.2,0.0,1.9,40.6,22.2,75.4,42.2,10.8,0.6
Ed O'Connor,6-6 (198cm) ,,,,1955,3,,,,,,,,,,,,,,
Greg O'Connor,Forward,77.0,196.0,Western Carolina,1989,1,25.0,9.1,1.7,1.4,0.2,0.2,0.1,0.9,39.1,,50.0,39.1,,
Jeff O'Connor,Guard,,,,1997,3,113.0,,7.8,2.1,1.7,0.8,0.0,,38.8,36.1,73.4,53.1,,
Jim O'Connor,School: Iowa,,,,1992,1,4.0,2.3,,0.2,,0.0,0.0,0.0,,,,,,
Jim O'Connor,Guard,72.0,183.0,Georgia Southern,1975,1,20.0,,4.5,0.8,,,,,37.8,,66.7,,,
Jim O'CONNOR,6-1 (185cm) ,,,,1958,3,74.0,,9.4,,,,,,,,,,,
Joey O'Connor,Guard,76.0,193.0,Marist,1990,3,82.0,27.0,8.1,2.1,4.0,1.7,0.0,2.4,42.2,42.7,68.2,54.9,,
Joey O'Connor,Guard,75.0,190.0,Nevada,1986,1,23.0,,2.3,1.1,2.5,1.6,0.0,,34.0,,55.6,,,
John O'Connor,Center,80.0,203.0,Holy Cross,1979,4,97.0,,6.9,12.6,,,,,51.4,,55.8,,,
John O'Connor,School: Manhattan,,,,1957,3,,,,,,,,,,,,,,
John O'Connor,6-0 (183cm) ,,,,1956,1,4.0,,1.0,0.8,,,,,25.0,,100.0,,,
Lane O'Connor,Forward,79.0,201.0,Hawaii,2001,2,41.0,,2.7,1.1,0.4,0.1,0.1,,42.4,30.0,67.9,48.9,,0.5
Martin O'Connor,Forward,,,,1951,3,53.0,,3.4,,,,,,29.6,,72.2,,,
Marvin O'Connor,Guard,76.0,193.0,  Schools: Villanova and St. Joseph's,2001,3,110.0,,16.1,3.6,2.3,1.0,0.0,,43.0,33.1,69.2,51.5,,9.7
Matt O'Connor,Forward,80.0,203.0,Wofford,2007,2,58.0,,5.1,3.0,0.7,0.5,0.3,,44.5,34.3,57.1,54.5,,2.1
Matt O'Connor,6-6 (198cm) ,,,,1986,1,19.0,8.8,1.4,1.7,0.2,0.1,0.1,0.5,36.4,,52.4,,,
Matt O'Connor,Guard,72.0,183.0,Holy Cross,1965,3,,,,,,,,,,,,,,
