player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Paul Lacity,,,,,Rutgers,1955,3,46.0,6.2,1.8,,35.2,,58.2,,,
Craig Lack,Forward,79.0,201,,Long Beach State,1983,4,85.0,4.8,3.5,1.6,44.2,,,,,
John Lackaff,Guard,,,,Miami (OH),1998,1,25.0,1.9,0.8,0.4,30.8,27.5,57.1,41.3,,0.1
Sam Lackaye,Forward,74.0,188,,Seton Hall,1951,3,69.0,7.4,,,37.1,,55.5,,,
Anthony Lackey,Forward,77.0,196,,Portland State,2002,4,110.0,11.9,5.4,1.6,47.1,40.5,72.2,55.9,,8.0
Bob Lackey,Forward,78.0,198,,Marquette,1972,2,58.0,14.1,8.5,2.0,44.8,,65.4,,,
Greg Lackey,Guard,77.0,196,,Southern Miss,1980,2,54.0,8.1,2.5,2.7,39.6,,77.4,,,
James Lackey,Guard,72.0,183,,Oklahoma City,1973,3,62.0,4.8,1.9,,46.7,,82.5,,,
Jamin Lackey,Forward,80.0,200,Inglewood,North Carolina A&T,2016,1,18.0,1.9,2.2,0.4,54.8,,0.0,54.8,6.9,0.0
Travis Lackey,Center,79.0,201,,Colorado State,1972,3,71.0,7.6,7.2,,44.4,,67.7,,,
Vince Lackner,,,,,Harvard,1971,1,6.0,0.7,0.3,,100.0,,,,,
Jim LaCorte,Center,78.0,198,,Seton Hall,1973,3,69.0,8.3,4.7,,46.0,,63.4,,,
Pete LaCorte,Forward,78.0,198,,Seton Hall,1975,3,77.0,10.8,6.6,2.2,44.8,,60.7,,,
Fred LaCour,Forward,77.0,196,,San Francisco,1959,2,39.0,13.9,6.6,,40.4,,78.4,,,
JIm Lacour,Forward,78.0,198,,Seattle,1968,1,27.0,8.1,4.8,,39.5,,72.0,,,
Jim LaCour,Forward,78.0,198,,Seattle,1967,1,21.0,9.4,4.0,,42.6,,54.2,,,
Jim Lacour,Forward,78.0,198,,Seattle,1966,1,26.0,9.8,3.5,,48.8,,73.3,,,
O.J. Lacour,Guard,72.0,183,,Tulane,1966,1,25.0,3.9,1.7,,35.5,,73.1,,,
O.J. LaCour,Guard,72.0,183,,Tulane,1965,2,38.0,3.4,1.3,,33.3,,60.0,,,
Jimmy Lactaoen,Guard,72.0,183,,Hawaii,1990,2,20.0,1.2,,0.2,66.7,80.0,100.0,88.9,,
Javier Lacunza,Forward,81.0,215,Sagrado Corazon,Florida Atlantic,2016,4,74.0,2.4,1.4,0.1,36.9,30.9,76.9,46.2,8.0,0.9
Bill Lacy,,,,,Saint Louis,1963,1,19.0,1.9,1.4,,42.9,,48.0,,,
DaVonte Lacy,Guard,76.0,215,Curtis,Washington State,2015,4,116.0,13.3,2.9,1.9,40.9,35.9,76.7,51.8,17.5,10.1
Johnnie Lacy,Guard,72.0,183,,Providence,2010,1,22.0,1.9,0.6,0.6,27.5,9.1,78.6,29.4,6.0,0.0
Marc Lacy,Forward,77.0,196,,East Carolina,1988,1,21.0,1.8,0.7,0.3,48.6,,14.3,48.6,,
Patrick Lacy,Forward,78.0,198,,San Diego,2007,1,6.0,0.3,0.3,0.0,50.0,,0.0,50.0,,0.0
Patrick Lacy,Forward,80.0,203,,Detroit,1994,2,53.0,4.1,3.3,0.2,48.0,,51.5,48.0,,
Rudy Lacy,,,,,Duke,1954,3,70.0,6.4,3.8,,47.2,,68.0,,,
Swarn Lacy,Forward,78.0,198,,Detroit,1972,2,44.0,5.2,5.3,,36.7,,57.9,,,
_ Lacy,,,,,Southern Illinois,1966,1,,,,,,,,,,
Matt Laczkowski,,,,,UNC,2000,1,7.0,0.0,0.1,0.0,0.0,,0.0,0.0,,
Gary Ladd,Guard,72.0,183,,Seattle,1972,3,74.0,11.9,2.4,,44.8,,74.0,,,
Jim Ladd,,,,,Bowling Green State,1954,1,,,,,,,,,,
Joe Ladd,,,,,Wake Forest,1957,1,22.0,2.6,2.3,,34.5,,43.6,,,
Mychal Ladd,Guard,77.0,195,Rainer Beach,Fresno State and Washington State,2013,4,118.0,9.0,4.0,1.5,42.9,36.1,65.4,50.7,,7.8
Rod Ladd,Guard,61.0,178,,VCU,1992,2,60.0,7.4,1.8,2.8,35.8,35.9,66.4,49.7,,
Jerry Lademan,Guard,72.0,183,,Fairfield,1973,1,24.0,1.8,1.4,1.1,30.6,,93.3,,,
Ed Ladley,Forward,,,,Niagara,1961,2,39.0,3.7,,,,,,,,
_ Ladley,,,,,Niagara,1962,1,24.0,11.7,,,,,,,,
Berlin Ladner,Forward,76.0,193,,Southern Miss,1968,2,50.0,14.9,5.6,,51.7,,68.5,,,
Clint Ladner,Forward,76.0,193,,Armstrong,1987,1,25.0,1.4,1.3,0.2,25.5,0.0,63.2,25.5,,
Dale Ladner,,,,,Kansas,1975,1,1.0,,1.0,1.0,,,,,,
Dennis Ladner,Forward,,,,Mississippi State,1950,1,10.0,1.8,,,,,75.0,,,
Jay Ladner,Guard,73.0,185,,Southern Miss,1988,3,28.0,0.8,,,44.4,,,,,
Wendell Ladner,Forward,77.0,196,,Southern Miss,1969,2,50.0,21.9,16.4,,48.8,,66.7,,,
Mogga Lado,Forward,80.0,215,Columbia High School,Campbell,2017,1,37.0,3.6,3.9,0.6,59.6,,55.1,59.6,13.3,1.4
Bob Ladouceur,Forward,,,,Wyoming,1982,2,24.0,1.8,1.3,0.7,34.1,,60.0,,,
