player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Konstantin Nesterov,Forward,80.0,203,,VCU,2002,2,62.0,4.6,3.6,0.7,42.8,45.7,61.2,51.7,,3.1
Joe Nethen,Forward,,,,Marquette,1990,3,,,,,,,,,,
Dave Netherton,Center,84.0,213,,Pepperdine,1982,2,43.0,3.1,2.7,0.4,57.8,,53.4,,,
Dave Netherton,Center,81.0,206,,Colorado,1979,2,51.0,2.9,3.0,0.2,44.0,,47.5,,,
Emanuel Neto,Center,81.0,206,,Stony Brook,2008,2,52.0,5.6,6.3,0.3,43.4,,65.0,43.4,,4.6
Bob Netolicky,Center,81.0,206,,Drake,1967,4,75.0,13.3,9.6,,50.8,,58.8,,,
Kevin Netter,Center,73.0,208,,Bowling Green State,2004,4,120.0,9.3,3.2,0.5,54.0,0.0,67.6,54.0,,7.9
B.J. Netterville,Guard,61.0,178,,Northwestern State,2003,4,35.0,0.9,0.1,0.1,34.5,37.5,33.3,50.0,,0.1
Cameron Nettles,Guard,77.0,196,,Mississippi Valley State,2009,1,17.0,1.1,0.5,0.2,27.8,0.0,50.0,27.8,,-0.1
Michael Nettles,Forward,79.0,201,,Howard,1978,4,100.0,10.4,7.0,,47.8,,63.0,,,
Duan Nettleton,,,,,Minnesota,1956,1,1.0,,,,,,,,,
Mack Nettleton,Forward,78.0,198,,Minnesota,1957,2,12.0,,0.8,,,,,,,
Bill Neu,Forward,78.0,198,,Loyola Marymount,1977,2,51.0,6.1,3.8,1.7,47.5,,77.9,,,
Conor Neu,Forward,80.0,203,,Princeton,2002,3,23.0,0.4,0.5,0.2,22.2,28.6,50.0,33.3,,0.0
Cameron Neubauer,Forward,79.0,220,Choate Rosemary Hall Prep HS,San Diego,2017,3,69.0,7.0,3.2,1.3,42.4,35.2,69.8,52.9,13.2,3.2
Jeff Neubauer,Guard,76.0,193,,La Salle,1993,4,102.0,3.0,1.8,1.9,38.8,35.3,72.0,50.2,,
Jacob Neubert,Forward,77.0,205,Midway,Baylor,2013,3,32.0,0.4,0.5,0.1,30.0,0.0,50.0,30.0,7.4,0.0
Keith Neubert,Forward,77.0,196,,Nebraska,1987,3,61.0,3.2,2.1,0.3,49.4,,60.7,,,
Graham Neuburger,Guard,61.0,178,,Santa Clara,2005,2,21.0,0.1,0.2,0.3,0.0,,100.0,0.0,,0.1
Matt Neufeld,Center,73.0,220,Sunrise Christian (KS),Saint Louis,2017,2,53.0,1.3,1.0,0.1,46.7,0.0,43.8,46.7,3.5,-0.1
Eisten Neufer,Forward,,,,Northwestern,1948,1,,,,,,,,,,
Lavar Neufville,Guard,73.0,185,,Pacific,2010,2,68.0,3.9,1.6,2.0,37.6,27.8,61.1,41.9,,1.7
Arnd Neuhaus,Forward,81.0,206,,Duquesne,1989,3,76.0,10.1,4.3,0.7,50.8,,71.0,50.8,,
Jon Neuhouser,Forward,,,,Butler,1996,2,120.0,12.4,6.0,1.8,50.5,39.4,62.5,54.3,,
Jay Neukomm,Center,73.0,208,,Texas-Arlington,2005,2,40.0,0.4,0.9,0.1,13.8,0.0,42.1,13.8,,-0.4
Eric Neuman,Guard,74.0,188,,Princeton,1969,1,13.0,2.2,1.8,,40.7,,43.8,,,
Jeff Neuman,,,,,Penn,1965,1,25.0,15.5,4.4,,39.3,,86.8,,,
_ Neuman,,,,,Penn,1966,1,25.0,18.8,3.4,,41.0,,76.5,,,
_ Neuman,,,,,Penn,1964,1,24.0,13.8,4.2,,41.0,,71.2,,,
Bob Neumann,Forward,77.0,196,,Memphis,1964,3,55.0,20.3,9.4,,50.9,,80.4,,,
C.J. Neumann,Forward,79.0,230,Cretin-Derham Hall HS,Wofford,2016,4,129.0,4.0,4.2,0.6,52.5,30.0,66.7,52.9,11.9,7.3
Denny Neumann,,,,,Houston,1965,2,51.0,6.2,2.9,,47.8,,67.5,,,
John Neumann,,,,,Saint Louis,1954,2,18.0,1.4,,,34.8,,,,,
Johnny Neumann,Forward,78.0,198,,Ole Miss,1971,1,23.0,40.1,6.6,3.2,46.2,,76.4,,,
Nick Neumann,Center,84.0,213,,Florida Atlantic,2003,3,78.0,5.1,4.3,0.4,43.1,33.3,71.2,43.3,,2.6
Paul Neumann,Guard,73.0,185,,Stanford,1959,3,72.0,13.7,4.7,,42.9,,80.7,,,
Sam Neumann,Forward,79.0,200,Cretin-Durham Hall HS,Montana State,2017,2,60.0,4.5,4.1,0.9,48.8,37.5,66.7,58.5,13.3,3.0
Paul Neumayer,Center,81.0,206,,Penn State,1973,3,52.0,4.8,6.1,,48.5,,,,,
Jack Neumayr,Forward,75.0,190,,Notre Dame,1952,3,43.0,3.4,,,27.6,,59.1,,,
Ken Neun,Center,78.0,198,,San Diego State,1969,2,40.0,12.5,6.5,,46.6,,75.7,,,
Jim Neurohr,Guard,74.0,188,,American,1975,2,31.0,5.2,1.1,,51.2,,75.6,,,
_ Neurohr,,,,,American,1974,1,15.0,2.1,0.7,1.1,35.3,,66.7,,,
Carl Neuss,Forward,77.0,196,,Cornell,1974,1,22.0,2.1,1.7,,40.8,,42.9,,,
Durrell Nevels,Forward,78.0,198,,Central Arkansas,2008,2,56.0,10.7,8.1,0.6,47.4,5.6,65.9,47.5,,
Garrett Nevels,Guard,74.0,190,Mount San Antonio College,Hawaii,2015,2,63.0,12.0,3.8,1.5,44.0,37.9,76.8,52.1,15.3,6.1
Brandon Nevens,Guard,75.0,210,,Long Beach State,2011,1,16.0,1.7,1.4,0.1,47.8,16.7,66.7,50.0,10.1,0.3
Ernie Nevers,,,,,UConn,1948,1,7.0,1.6,,,,,,,,
Carlton Neverson,Guard,77.0,196,,Pitt,1981,3,89.0,11.7,3.5,,49.4,,75.1,,,
Canonchet Neves,Forward,81.0,206,,New Mexico,1994,2,62.0,10.6,4.2,1.1,42.5,40.1,78.5,54.0,,
Canonchet Neves,Forward,81.0,206,,Detroit,1991,2,49.0,7.0,3.4,0.4,39.2,38.0,67.2,49.4,,
Ernie Neves,,,,,UConn,1949,1,22.0,0.7,,,15.0,,42.9,,,
Luke Nevill,Center,86.0,218,,Utah,2007,2,125.0,15.2,7.5,1.3,57.9,,73.4,57.9,,18.3
Scott Nevill,Forward,78.0,198,,Stephen F. Austin,1987,1,11.0,1.9,1.1,1.2,35.0,66.7,62.5,40.0,,
