player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Todd Kagel,Guard,73.0,185,,Illinois State,1993,3,84.0,2.9,1.2,1.9,42.1,38.4,70.6,52.5,,
Todd Kagel,Guard,61.0,180,,Illinois State,1990,1,15.0,0.7,0.6,0.5,16.7,0.0,100.0,16.7,,
Kade Kager,Guard,75.0,200,Taft (CT),American,2014,1,3.0,0.0,0.3,0.0,,,0.0,,-15.1,0.0
Kyle Kager,Forward,80.0,195,Deerfield Academy (MA),American,2014,3,62.0,3.5,2.4,0.6,45.9,30.2,73.3,50.6,12.9,1.7
Adama Kah,Center,81.0,206,,George Washington,1994,3,50.0,0.4,0.4,,41.2,,,41.2,,
Alassane Kah,Forward,81.0,200,Walnut Ridge High School,Old Dominion,2017,1,13.0,1.5,1.1,0.1,64.3,33.3,25.0,67.9,26.4,0.2
Vincen Kahayes,,,,,St. Francis (NY),1975,1,,,,,,,,,,
Darren Kahl,Forward,78.0,198,,Western Michigan,1999,1,10.0,0.5,0.4,0.2,28.6,16.7,,35.7,,0.0
David Kahle,Guard,74.0,188,,Hardin-Simmons,1980,1,11.0,2.8,0.9,,40.0,,65.2,,,
_ Kahle,Forward,,,,South Carolina,1950,1,8.0,6.8,,,,,51.9,,,
Andy Kahn,,,,,Miami (FL),1991,1,7.0,0.6,0.3,0.1,11.1,0.0,100.0,11.1,,
Bill Kahn,,,,,Oregon State,1951,1,10.0,2.1,2.9,0.1,31.0,,25.0,,,
William Kahn,Guard,72.0,183,,Brown,1970,2,50.0,8.4,3.3,,37.7,,63.4,,,
Jack Kahriger,Guard,69.0,175,,Rider,1987,1,7.0,0.6,0.6,0.4,100.0,,40.0,100.0,,
Armend Kahrimanovic,Forward,78.0,198,,Idaho,2005,2,52.0,5.3,2.7,0.7,35.3,29.4,73.8,43.4,,1.9
Bob Kaigle,,,,,Columbia,1975,1,16.0,0.8,0.7,0.5,26.3,,100.0,,,
Sid Kain,Center,77.0,196,,Arizona,1953,3,,,,,,,,,,
Silvester Kainga,Center,73.0,211,,Loyola Marymount,1999,2,50.0,4.0,4.2,0.3,43.6,100.0,53.4,43.9,,0.7
Boyd Kaiser,Forward,77.0,196,,Samford,2000,4,117.0,5.3,3.1,1.5,56.4,36.2,62.6,58.6,,6.7
Craig Kaiser,Guard,73.0,185,,Baylor,1983,3,57.0,4.3,0.8,,43.9,,63.8,,,
Fred Kaiser,,,,,Army,1960,1,23.0,3.0,2.7,,27.3,,58.3,,,
James Kaiser,Center,81.0,206,,Oklahoma,1964,3,54.0,4.1,3.9,,38.5,,53.0,,,
Jason Kaiser,Guard,77.0,196,,Weber State,1993,2,48.0,6.2,1.9,1.5,42.7,33.9,57.1,50.0,,
Jeff Kaiser,Center,73.0,208,,Central Michigan,1979,1,6.0,0.8,0.3,0.2,50.0,,75.0,,,
Paul Kaiser,Forward,78.0,198,,Ball State,1979,4,40.0,1.5,1.1,0.3,33.9,,78.3,,,
Rick Kaiser,,,,,Saint Francis (PA),1965,1,5.0,2.2,1.4,,23.1,,80.0,,,
Roger Kaiser,Guard,,,,Georgia Tech,1961,3,80.0,20.9,6.0,,43.4,,85.9,,,
Tim Kaiser,,,,,Alabama,1988,1,1.0,2.0,,,,,,,,
Tom Kaiser,Forward,76.0,193,,Army,1982,2,26.0,0.8,1.1,,36.8,,50.0,,,
Wade Kaiser,Center,81.0,206,,Alabama,1995,2,20.0,1.4,1.4,0.1,33.3,0.0,68.2,33.3,,
