player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Younes Idrissi,Forward,80.0,203,,Georgia,2006,2,57.0,,5.1,3.0,0.3,0.6,1.1,,40.1,0.0,62.5,40.1,,1.4
Osahen Iduwe,Center,73.0,235,St. Johns NW Military,Georgia,2016,2,28.0,2.9,0.3,0.3,0.0,0.1,0.1,0.1,28.6,,50.0,28.6,1.9,0.1
Steve Idzik,,,,,St. Joseph's,1957,2,26.0,,2.0,2.1,,,,,45.7,,75.0,,,
Charles Ieans,Forward,81.0,210,Pflugerville,Coppin State,2014,2,58.0,13.3,3.4,2.1,0.4,0.2,0.4,0.7,38.7,33.9,54.9,43.7,8.2,0.6
Fred Iehle,,,,,La Salle,1953,3,,,,,,,,,,,,,,
Lou Iezzi,,,,,Duquesne,1954,2,52.0,,3.3,,,,,,26.7,,66.0,,,
Ude Ifeanyichukwu,Forward,73.0,235,Laramie CC,Southern Miss,2014,1,17.0,3.0,0.5,0.7,0.1,0.1,0.3,0.1,42.9,,60.0,42.9,12.3,0.2
Martins Igbanu,Forward,80.0,240,Covenant Christian Academy,Tulsa,2017,1,32.0,15.3,6.2,4.0,0.2,0.2,0.3,1.4,55.9,55.6,58.9,58.1,16.9,1.3
Urule Igbavboa,Forward,80.0,203,,Valparaiso,2009,4,119.0,,9.9,5.9,1.5,0.6,0.6,2.2,53.6,26.4,62.5,54.5,,11.0
Emmanuel Igbinosa,Guard,74.0,188,,Stanford,2010,2,27.0,10.0,3.6,1.2,0.3,0.2,0.1,0.6,45.6,33.3,55.6,55.1,,0.5
Mantas Ignatavicius,Guard,75.0,190,,High Point,2002,3,75.0,,7.5,4.1,2.5,1.7,0.1,,39.2,27.3,80.2,43.9,,3.3
Vince Ignatowicz,Guard,72.0,183,,Montana,1960,1,24.0,,7.5,4.7,,,,,35.2,,70.5,,,
Michal Ignerski,Forward,73.0,208,,Mississippi State,2003,2,62.0,,8.9,4.2,1.0,0.6,0.3,,45.6,33.9,71.1,51.8,,4.8
Jovan Ignjatovic,Forward,81.0,206,,UIC,2009,4,72.0,,1.8,1.4,0.1,0.3,0.2,0.4,39.8,9.5,76.3,40.7,,0.9
Obrad Ignjatovic,Forward,73.0,208,,South Carolina,1993,2,39.0,,1.3,1.0,0.3,0.3,0.3,,32.1,17.6,47.6,34.8,,
