player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Edgar Padilla,Guard,74.0,188,,UMass,1997,4,135.0,,7.2,2.4,4.4,1.8,0.3,,39.2,31.6,74.6,47.6,,
Ernest Padilla,Guard,72.0,183,,New Mexico State,1981,1,10.0,,0.6,0.3,0.3,,,,14.3,,44.4,,,
Giddel Padilla,Guard,75.0,190,,UMass,1996,2,24.0,,0.8,0.5,0.1,0.3,0.0,,40.0,0.0,66.7,40.0,,
Gil Padilla,Forward,79.0,201,,Marist,1985,3,54.0,,2.0,2.7,0.3,0.5,0.8,,38.6,,,,,
George Padovan,,,,,Oregon,1958,1,18.0,,2.8,2.8,,,,,37.5,,43.8,,,
Ruben Padro,,,,,Navy,1980,1,1.0,,,,,,,,,,,,,
Pele Paelay,Guard,76.0,193,,Coastal Carolina,2004,2,111.0,3.8,10.6,4.0,1.8,0.3,,,43.8,35.2,70.2,49.5,,8.2
Gene Paetz,Guard,61.0,178,,Iowa State,1951,2,27.0,,0.7,,,,,,,,50.0,,,
Anthony Paez,Forward,79.0,201,,Stephen F. Austin,2006,2,56.0,,11.2,4.6,1.5,0.6,0.2,,47.6,30.9,74.1,50.6,,5.6
Paul Pafford,Center,,,,Fresno State,1970,1,10.0,,6.3,4.9,,,,,44.4,,57.7,,,
Larry Paffrath,Forward,76.0,193,,William & Mary,1966,3,72.0,,7.0,5.8,,,,,41.4,,64.6,,,
Robert Paffrath,,,,,Duquesne,1948,1,,,,,,,,,,,,,,
Bryant Pagan,Forward,75.0,190,,Western Carolina,1979,1,19.0,,1.6,0.3,0.2,,0.1,,42.9,,87.5,,,
Dennis Pagan,Guard,74.0,188,,Austin Peay,1980,3,79.0,27.0,10.4,2.1,,,,,48.6,,75.0,,,
Luis Pagan,Guard,76.0,193,,Villanova,1981,1,13.0,,1.2,0.5,,,,,55.6,,55.6,,,
Luis Pagan,,,,,Saint Francis (PA),1977,1,2.0,,1.0,,,,,,,,100.0,,,
Ed Pagano,Forward,,,,Vermont,1985,4,,,,,,,,,,,,,,
Jeff Pagano,Guard,73.0,185,,Princeton,1985,4,42.0,,1.6,1.2,,0.6,0.2,,33.8,,52.0,,,
Aaron Page,Guard,77.0,196,,Murray State,2000,4,117.0,,4.8,2.7,1.1,0.6,0.1,,40.0,35.1,68.3,51.1,,4.8
Bob Page,,,,,Saint Louis,1955,1,9.0,,1.4,0.1,,,,,25.0,,90.0,,,
Chris Page,Guard,77.0,190,Plainfield,Albany (NY),2013,1,9.0,4.1,1.4,0.1,0.2,0.2,0.1,0.1,29.4,18.2,50.0,35.3,9.5,0.0
Dameon Page,Guard,77.0,196,,Colorado and St. Joseph's,1996,2,21.0,,4.5,0.8,0.7,0.2,0.0,,38.0,22.6,71.8,42.4,,
Damon Page,Guard,72.0,183,,Tennessee State,1996,3,79.0,,5.2,2.2,1.2,0.8,0.2,,36.1,24.2,64.6,40.2,,
Dave Page,,,,,New Orleans,1977,1,,,,,,,,,,,,,,
Don Page,Forward,75.0,190,,Wisconsin,1950,2,35.0,,4.7,,,,,,23.1,,79.6,,,
Dylan Page,Forward,81.0,206,,Milwaukee,2002,2,102.0,4.9,13.6,5.1,1.0,0.7,,,52.3,35.6,78.1,56.7,,12.7
George Page,Forward,75.0,190,,Wofford,1996,1,19.0,,0.9,0.7,0.3,0.1,0.0,,37.5,,66.7,37.5,,0.0
Greg Page,Forward,77.0,196,,Lehigh,2007,2,39.0,,2.4,1.1,0.6,0.4,0.1,,35.0,24.3,66.7,39.5,,0.3
Howard Page,Guard,61.0,178,,Oregon,1954,2,49.0,,3.0,0.7,,,,,36.5,,74.5,,,
