player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Joe Crawford,Guard,77.0,210,,Kentucky,2008,4,127.0,25.3,11.3,3.4,1.5,0.5,0.2,2.8,43.8,35.0,70.2,51.8,,9.1
John Crawford,,,,,Arkansas,1955,1,5.0,,1.6,,,,,,66.7,,50.0,,,
John Crawford,Forward,80.0,203,,Kansas,1981,4,98.0,,8.1,4.8,,0.6,1.6,,51.4,,73.5,,,
John Crawford,Forward,77.0,196,,Iowa State,1958,3,68.0,,13.4,9.7,,,,,37.0,,70.6,,,
Johnny Crawford,Center,79.0,201,,Arkansas,1969,1,4.0,,2.0,2.5,,,,,33.3,,66.7,,,
Jon Crawford,,,,,Arizona,1959,1,11.0,,4.0,1.2,,,,,30.4,,66.7,,,
Jordan Crawford,Guard,76.0,193,,Indiana and Xavier,2010,2,65.0,32.8,15.5,4.1,2.6,1.3,0.2,2.4,45.5,38.4,76.5,52.3,,8.2
Jordon Crawford,Guard,66.0,150,La Salle,Bowling Green State,2013,4,127.0,26.3,9.5,1.9,3.7,1.4,0.0,2.7,41.3,31.1,75.0,46.9,15.1,6.3
Josh Crawford,Center,73.0,211,,Iowa and Indiana State,2010,3,72.0,13.3,3.3,2.3,0.3,0.3,1.0,1.0,44.1,31.4,74.5,46.7,,1.6
Keith Crawford,Guard,74.0,188,,Montana,1992,3,87.0,,4.7,1.6,3.2,0.6,0.1,,44.4,23.5,63.6,46.9,,
Kelvin Crawford,Forward,73.0,185,,Texas Christian,1991,3,59.0,,6.2,3.9,2.2,1.1,0.2,,39.1,25.6,67.1,40.9,,
Kerwin Crawford,Forward,79.0,201,,Iona,1978,2,37.0,,2.5,2.1,,0.0,,,40.4,,50.0,,,
Kevin Crawford,Guard,,,,Monmouth,1998,1,22.0,,1.2,1.0,1.2,1.0,0.0,,24.1,20.0,78.6,25.9,,-0.3
Kevin Crawford,Guard,73.0,150,Blythewood HS,North Carolina Central,2016,3,31.0,4.1,1.2,0.3,1.0,0.4,0.0,0.4,60.9,0.0,83.3,60.9,22.2,0.7
Kyle Crawford,Guard,61.0,180,,North Texas,2000,1,24.0,,7.4,2.2,2.7,1.0,0.1,,34.7,31.3,70.2,42.4,,0.1
Lance Crawford,Guard,61.0,175,Sagemont,UMass-Lowell,2015,1,29.0,28.6,9.7,2.9,2.3,0.6,0.0,2.0,40.5,34.2,77.0,47.1,13.0,1.8
Larry Crawford,,,,,Purdue,1958,1,,,,,,,,,,,,,,
Laurent Crawford,Center,73.0,211,,Chicago State,1989,3,72.0,,12.2,5.9,0.3,0.5,1.0,,50.9,0.0,57.2,50.9,,
Leo Crawford,Guard,76.0,193,,Oklahoma City,1982,1,9.0,,3.3,0.3,0.2,0.2,,,47.4,,57.1,,,
Marcus Crawford,Guard,72.0,183,,Florida International,2010,2,12.0,2.5,0.8,0.6,0.0,0.1,0.0,0.6,71.4,0.0,0.0,71.4,,0.1
Mark Crawford,Guard,75.0,190,,Maryland,1977,1,16.0,,1.0,0.2,0.1,0.1,0.1,,22.2,,92.3,,,
Markel Crawford,Guard,76.0,197,Melrose HS,Memphis,2017,3,95.0,25.0,8.0,3.3,1.7,1.1,0.1,1.2,45.6,30.2,71.4,51.2,14.2,7.0
Marshall Crawford,,,,,Centenary (LA),1971,2,48.0,,12.7,3.9,,,,,46.7,,63.3,,,
Matt Crawford,Center,73.0,208,,Lehigh,2003,4,112.0,,6.3,4.9,0.4,0.4,1.6,,48.5,,71.5,48.5,,7.4
Michael Crawford,Guard,72.0,183,,Rider,2001,4,114.0,,9.0,2.1,2.6,0.9,0.0,,41.6,37.5,80.8,52.6,,8.0
Mike Crawford,Guard,76.0,200,Tipton HS,Saint Louis,2017,4,121.0,22.1,7.9,2.5,1.2,0.5,0.1,1.1,41.4,32.3,74.6,48.2,12.4,4.9
Mike Crawford,Forward,76.0,193,,Pacific,1969,1,15.0,,3.1,2.5,,,,,56.4,,16.7,,,
Paul Crawford,Forward,77.0,196,,Texas A&M,1988,4,94.0,,4.1,2.0,0.9,0.4,0.3,,56.2,,72.3,,,
Phillip Crawford,Forward,79.0,210,Pearl River CC,Alabama State,2013,2,49.0,22.9,11.8,6.0,0.5,0.7,0.7,1.9,52.0,20.0,62.5,52.1,22.2,3.7
Pierre Crawford,Center,81.0,250,Greene County,Florida A&M and Jackson State,2015,2,47.0,5.6,2.4,2.0,0.1,0.1,0.2,0.6,44.9,,42.1,44.9,9.2,0.4
Quinton Crawford,Guard,74.0,200,Old Bridge,Arizona,2013,2,9.0,1.7,0.0,0.4,0.1,0.1,0.0,0.0,0.0,0.0,,0.0,6.5,0.0
Ray Crawford,Guard,74.0,188,,Texas Southern,1982,4,82.0,,5.4,1.4,1.3,0.4,0.2,,45.2,,73.0,,,
Robert Crawford,Guard,77.0,195,Victory Christian,Central Arkansas,2013,3,60.0,22.1,10.8,3.4,1.3,0.9,0.4,1.5,44.5,43.1,67.6,57.2,,
Rodney Crawford,Forward,77.0,196,,Cincinnati,2002,2,49.0,,0.7,1.3,0.2,0.2,0.1,,35.5,0.0,52.4,35.5,,0.8
Roger Crawford,Guard,76.0,193,,Arkansas,1994,2,61.0,,7.1,1.7,2.1,1.0,0.1,,54.9,38.5,66.4,60.8,,
Sam Crawford,Guard,68.0,173,,New Mexico State,1993,2,67.0,,12.9,2.6,8.8,1.6,0.0,,40.6,35.9,77.9,50.2,,
Scott Crawford,Guard,74.0,188,,Sam Houston State,1990,1,4.0,,1.2,1.0,,,,,50.0,100.0,100.0,75.0,,
Sean Crawford,Guard,61.0,150,,Fairfield,2012,4,91.0,14.7,3.8,1.6,1.1,0.7,0.1,0.9,33.4,32.4,81.1,43.4,,3.2
Sorrell Crawford,Forward,77.0,196,,Milwaukee,1995,1,15.0,,4.0,4.4,0.3,0.1,0.1,,38.8,0.0,38.1,38.8,,
Stan Crawford,Center,79.0,201,,Samford,1975,3,69.0,,5.3,3.9,,,,,52.9,,66.9,,,
Terrence Crawford,Guard,78.0,198,,Oklahoma State,2005,4,113.0,,3.2,2.8,1.1,0.7,0.2,,44.3,25.5,60.8,46.6,,4.8
Tiko Crawford,Forward,76.0,193,,Houston Baptist,1988,2,47.0,,2.1,3.2,1.2,0.3,0.1,,40.7,,55.6,41.3,,
Tim Crawford,Guard,76.0,193,,Notre Dame,1990,2,19.0,,2.1,0.2,,0.4,,,50.0,50.0,85.7,55.0,,
Tom Crawford,Guard,72.0,183,,Stanford,1959,2,22.0,,,0.5,,,,,,,,,,
Tristan Crawford,Forward,76.0,193,,Cleveland State,2007,1,26.0,,1.6,1.3,0.3,0.5,0.0,,41.0,13.3,53.8,43.6,,0.3
Tyler Crawford,Guard,75.0,190,,Georgetown,2008,4,102.0,,1.5,1.1,0.3,0.2,0.0,0.3,38.3,28.6,52.4,47.0,,1.0
Tyrhon Crawford,Guard,72.0,183,,Bethune-Cookman,2000,1,13.0,,1.5,0.5,0.5,0.4,0.0,,32.0,0.0,30.0,32.0,,-0.1
Vic Crawford,Forward,76.0,193,,Pacific,1969,1,10.0,,2.1,1.4,,,,,31.8,,53.8,,,
Xavier Crawford,Center,84.0,213,,Cal State Northridge,2009,1,25.0,,1.5,1.4,0.1,0.2,0.2,0.5,42.9,,80.0,42.9,,0.3
_ Crawford,,,,,Baldwin-Wallace,1948,1,,,,,,,,,,,,,,
J.J. Crawl,Guard,73.0,185,,West Virginia,1987,4,107.0,,6.1,1.9,2.2,1.0,0.1,,41.2,,71.2,,,
Ira Crawley,Forward,79.0,201,,Morgan State,1997,4,60.0,,2.2,1.9,0.3,0.5,0.5,,42.7,,50.0,42.7,,
_ Crawley,,,,,Tulsa,1964,1,,,,,,,,,,,,,,
Caleb Crayton,Guard,75.0,205,Northeast Academy,Houston Baptist,2016,4,110.0,18.9,5.8,3.4,0.9,0.4,0.1,1.6,41.1,26.8,66.7,45.6,9.4,2.5
Damien Crayton,Guard,72.0,183,,Alabama A&M,2001,2,30.0,,8.2,2.4,1.7,1.8,0.3,,44.2,30.8,52.9,48.8,,2.2
Derrick Crayton,Forward,78.0,198,,Arkansas-Little Rock,1997,2,52.0,,2.3,2.5,0.6,0.1,0.2,,54.5,0.0,44.8,54.5,,1.5
Jarrell Crayton,Forward,79.0,212,,Boise State,2012,1,22.0,5.8,1.5,1.5,0.1,0.2,0.2,0.4,57.1,0.0,50.0,57.1,14.5,0.3
Leroy Crayton,,,,,Centenary (LA),1977,1,4.0,,1.0,,,,,,40.0,,,,,
Bill Creagan,,,,,Loyola (IL),1955,1,10.0,,1.9,0.7,,,,,27.8,,64.3,,,
Eddie Creamer,Guard,74.0,188,,Louisville,1965,3,61.0,,8.5,2.6,,,,,44.3,,,,,
Howard Creamer,,,,,UTEP,1952,1,25.0,,0.4,,,,,,33.3,,50.0,,,
Tyler Creammer,Forward,73.0,245,The Miller school of Albermarle,Virginia Military Institute,2017,1,26.0,6.6,1.2,1.3,0.1,0.1,0.1,0.4,36.1,,57.1,36.1,3.1,-0.2
Peter Crean,Guard,74.0,188,,Tennessee,1975,1,7.0,,0.3,0.7,0.1,,,,,,66.7,,,
Chris Crease,Guard,75.0,190,,Louisiana-Monroe,1991,2,54.0,,5.1,2.5,0.6,0.7,0.1,,62.4,50.0,72.3,63.0,,
Chris Crease,Guard,75.0,190,,Houston,1988,1,15.0,,1.7,0.6,0.1,0.1,0.1,,61.5,,69.2,61.5,,
Aaron Creasman,Center,81.0,206,,North Carolina-Asheville,2004,2,40.0,,1.0,1.0,0.2,0.1,0.2,,44.4,,66.7,44.4,,0.2
Bill Creason,Guard,74.0,188,,Virginia,1969,1,13.0,,0.6,0.2,,,,,20.0,,75.0,,,
Brandon Creason,Guard,61.0,180,,Western Illinois,1999,4,100.0,,8.5,1.7,2.6,0.7,0.0,,39.5,39.2,79.5,52.7,,5.8
Stuart Creason,Center,84.0,213,,Colorado State,2008,4,103.0,,8.4,4.5,1.0,0.3,1.5,1.6,60.2,,71.8,60.2,,8.1
Kirk Crecco,Guard,75.0,195,,Dartmouth,2012,4,90.0,10.5,2.7,1.3,0.3,0.2,0.0,0.5,38.9,20.0,71.8,41.5,,0.6
Mario Credit,Center,81.0,206,,Arkansas,1990,4,127.0,21.7,9.1,4.0,1.4,0.8,0.5,1.2,59.3,,67.5,59.3,,
David Credle,Center,79.0,201,,Loyola (MD),1995,3,75.0,,7.4,3.5,0.5,0.4,0.4,,43.5,14.3,68.2,43.6,,
David Credle,Forward,79.0,201,,Loyola (MD),1992,1,18.0,,3.3,2.4,0.6,0.5,0.2,,43.1,,56.3,43.1,,
George Credle,Guard,73.0,185,,Western Illinois,1993,1,1.0,,0.0,,0.0,1.0,0.0,,,,,,,
Hobart Cree,Forward,77.0,196,,Fairleigh Dickinson,1968,3,63.0,,3.1,2.8,,,,,36.5,,66.7,,,
Bo Creech,Guard,,,,Tennessee Tech,1985,2,,,,,,,,,,,,,,
Carter Creech,,,,,SMU,1960,2,38.0,,3.7,2.0,,,,,38.4,,80.0,,,
Dennis Creech,Forward,77.0,196,,Citadel,1971,2,15.0,,0.8,3.7,,,,,,,54.5,,,
Floyd Creed,Guard,72.0,183,,Furman,1984,4,108.0,,6.4,2.1,1.3,0.6,0.1,,48.3,,71.1,,,
Bob Creeden,Forward,77.0,196,,Army,1973,1,16.0,,3.8,2.6,,,,,29.6,,50.0,,,
Maurice Creek,Guard,77.0,195,Hargrave Military Academy,Indiana and George Washington,2014,4,86.0,29.4,9.8,2.5,1.3,1.1,0.2,2.2,42.2,38.2,75.8,53.2,17.8,6.1
Will Creekmore,Forward,81.0,248,,Boston University and Missouri State,2011,4,98.0,22.4,9.1,5.5,0.9,0.3,0.5,1.4,52.6,37.8,62.7,54.0,,8.1
Chanse Creekmur,Guard,77.0,216,,Arizona State,2012,2,57.0,18.5,4.0,1.8,0.5,0.4,0.2,0.6,37.6,35.1,75.0,52.8,9.3,1.5
Dwayn Creggart,,,,,Grambling,1988,1,4.0,,,0.2,0.2,,,,,,,,,
Grant Creighton,Guard,75.0,190,,Denver,2004,1,6.0,,0.0,0.2,0.2,0.3,0.0,,0.0,0.0,,0.0,,-0.1
Jim Creighton,Center,79.0,201,,Colorado,1972,3,78.0,,13.2,8.4,,,,,48.2,,64.7,,,
Mark Creighton,Guard,75.0,190,,University of California,1977,1,15.0,,2.5,0.8,0.5,,,,41.0,,55.6,,,
Bob Cremins,Guard,74.0,188,,South Carolina,1970,3,77.0,,7.6,6.8,,,,,42.8,,56.6,,,
Joe Cremo,Guard,76.0,190,Scotia-Glenville HS,Albany (NY),2017,2,68.0,28.3,13.2,4.5,2.6,0.9,0.2,2.0,47.3,38.1,86.5,52.9,21.8,8.9
Ben Crenca,Forward,73.0,260,Exeter-West Greenwich/Worcester Academy,Vermont,2013,4,100.0,9.0,2.8,2.0,0.1,0.1,0.3,0.6,50.7,,60.2,50.7,13.2,2.4
Ander Crenshaw,Forward,76.0,193,,Georgia,1964,1,1.0,,,,,,,,,,,,,
Andre Crenshaw,Guard,74.0,188,,South Florida,1990,2,51.0,,8.9,1.6,1.5,0.6,0.1,,40.2,38.4,74.4,46.5,,
Andre Crenshaw,Guard,74.0,188,,Louisiana-Lafayette,1987,1,10.0,,10.0,2.1,2.4,0.8,,,37.3,28.6,69.6,41.2,,
Clifford Crenshaw,Guard,76.0,193,,Oral Roberts,1997,4,107.0,,10.7,4.0,2.3,1.0,0.3,,48.9,39.2,72.1,57.2,,
Don Crenshaw,Forward,,,,USC,1970,2,50.0,,8.3,4.9,,,,,45.8,,64.8,,,
Mack Crenshaw,Center,79.0,201,,Georgia,1965,3,77.0,,5.3,5.1,,,,,48.9,,70.9,,,
Marcus Crenshaw,Guard,61.0,178,,Kent State and Cal State Fullerton,2008,3,95.0,,8.1,1.2,1.8,0.5,0.0,1.0,41.0,40.0,61.1,54.4,,4.3
Matt Crenshaw,Guard,75.0,190,,IUPUI,2004,4,123.0,,7.6,3.4,4.1,1.3,0.1,,49.3,34.6,73.2,50.8,,9.5
McCarthy Crenshaw,Center,,,,Wofford,1998,3,79.0,,2.7,2.8,0.3,0.4,0.2,,38.9,38.9,57.7,40.8,,1.3
Na'im Crenshaw,Guard,77.0,196,,St. Joseph's,2002,4,111.0,,11.9,3.5,2.4,0.5,0.1,,39.2,37.3,69.8,47.4,,6.4
Raymond Crenshaw,Forward,79.0,201,,Oklahoma State,1984,4,108.0,,10.6,5.6,0.9,0.9,0.4,,54.6,,70.7,,,
Reggie Crenshaw,Forward,,,,Austin Peay,1998,4,118.0,,9.4,6.6,1.1,1.4,1.4,,47.3,35.0,68.8,52.3,,
Sam Crenshaw,,,,,Penn State,2002,1,9.0,,0.4,0.7,0.0,0.0,0.0,,20.0,0.0,,20.0,,-0.1
Sam Crenshaw,Guard,,,,Penn State,1998,1,5.0,,0.4,0.2,0.0,0.2,0.0,,0.0,,100.0,0.0,,0.0
Solomon Crenshaw,,,,,Fairfield,1967,2,32.0,,3.4,6.3,,,,,29.9,,50.0,,,
Tim Crenshaw,Guard,76.0,193,,UTEP,1981,4,107.0,,4.3,1.7,,0.1,,,39.5,,70.6,,,
Erik Crep,Forward,79.0,201,,Columbia,1999,4,89.0,,7.5,2.7,1.1,0.4,0.2,,38.7,35.1,74.2,52.2,,3.7
Kevan Creppy,Forward,76.0,193,,Bethune-Cookman,2009,4,95.0,,2.9,3.0,0.3,0.5,0.2,0.7,50.0,0.0,47.6,50.0,,2.8
Michael Creppy,Guard,75.0,190,,UC-Riverside,2008,2,42.0,,1.1,0.7,0.4,0.2,0.0,0.6,27.7,17.6,60.7,30.9,,-0.2
Mike Creppy,Guard,73.0,185,,Coppin State,2006,2,10.0,,1.0,0.1,0.3,0.3,0.0,,80.0,0.0,50.0,80.0,,0.2
Rafael Crescencio,Center,81.0,206,,San Diego,2010,1,21.0,5.2,0.6,0.8,0.1,0.1,0.1,0.7,19.0,,80.0,19.0,-3.5,-0.3
Ed Crescenze,Forward,64.0,163,,Maryland,1949,2,,,,,,,,,,,,,,
Kevin Crescenzi,Guard,75.0,190,Benjamin School/Tilton Academy,Dartmouth,2016,4,107.0,16.2,3.9,2.3,0.9,0.7,0.1,0.8,34.5,32.5,69.0,42.2,9.6,2.7
Matej Cresnik,Forward,81.0,206,,American,2005,4,91.0,,8.0,3.8,0.9,0.5,0.2,,41.8,41.3,81.3,51.3,,6.2
Javier Crespo,Forward,80.0,203,,Bowling Green State,1999,4,73.0,,1.0,1.3,0.3,0.2,0.1,,30.3,40.0,52.9,36.4,,0.2
Gary Cress,Forward,75.0,190,,Morehead State,1971,1,13.0,,6.2,2.8,,,0.6,,43.5,,,,,
Terry Cress,Guard,,,,Northern Iowa,1999,3,69.0,,3.4,2.0,2.2,1.0,0.1,,32.4,26.2,59.7,39.0,,1.0
Wade Cress,Guard,73.0,185,,Utica,1982,1,11.0,,1.8,0.8,,,,,50.0,,,,,
Ray Cressap,Guard,68.0,173,,Washington,1955,1,3.0,,,0.3,,,,,,,,,,
