player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Tom Zaliagiris,Guard,77.0,196,,UNC,1978,4,100.0,,4.7,1.3,0.9,0.8,0.1,,48.7,,58.7,,,
George Zalucki,Center,78.0,198,,Providence,1962,2,44.0,,4.6,6.0,,,,,47.2,,51.6,,,
Paulius Zalys,Forward,79.0,200,The Perkiomen School (PA),Lafayette,2017,2,60.0,23.2,8.3,3.9,1.4,0.4,0.3,2.2,47.0,33.1,66.1,53.9,11.9,1.1
Mark Zamat,Forward,75.0,190,,Colgate,1966,2,38.0,,10.3,3.2,,,,,44.7,,76.0,,,
_ Zamat,,,,,Colgate,1964,1,,,,,,,,,,,,,,
George Zambetti,Forward,77.0,196,,Fordham,1972,2,52.0,,8.9,4.7,1.2,,,,45.5,,60.6,,,
Steve Zambo,Forward,,,,Lehigh,1976,3,,,,,,,,,,,,,,
Joe Zamborsky,Guard,73.0,185,,Manhattan,1962,1,3.0,,1.3,0.3,,,,,14.3,,100.0,,,
Rod Zamor,Guard,77.0,196,,Iona,1996,2,55.0,,7.4,2.7,1.7,1.3,0.3,,47.4,18.4,64.5,48.8,,
Adrian Zamora,Center,81.0,206,,Montana State,2008,2,60.0,,2.9,3.2,0.7,0.5,1.0,0.6,42.4,30.8,57.6,43.7,,1.7
JoJo Zamora,Guard,74.0,170,Newark Memorial High School,Utah,2017,1,32.0,20.0,6.9,1.4,1.1,0.6,0.3,1.2,45.5,36.0,81.1,54.5,12.5,1.8
Robert Zamora,Forward,75.0,190,,Baylor,1963,1,5.0,,1.8,1.0,,,,,60.0,,60.0,,,
Paolo Zamorano,Forward,75.0,190,,San Francisco,2008,2,14.0,,0.6,0.0,0.1,0.1,0.0,0.0,33.3,37.5,,50.0,,0.0
Brian Zamore,Forward,80.0,203,,Florida A&M,2005,4,103.0,,1.2,2.0,0.2,0.3,0.2,,33.3,0.0,50.5,33.3,,0.7
Alex Zampier,Guard,75.0,190,,Yale,2010,4,108.0,30.9,10.6,2.3,1.8,1.5,0.2,2.4,39.7,32.0,81.6,47.0,,7.0
Davide Zanbon,Forward,,,,American,1999,1,27.0,,2.7,2.2,0.3,0.1,0.1,,33.8,16.1,62.5,36.9,,0.1
Allyn Zanchi,Forward,81.0,206,,Maine,1986,1,12.0,,0.9,1.0,0.1,0.2,0.2,,66.7,,42.9,,,
Dan Zanderson,Forward,76.0,193,,Northern Illinois,1997,1,3.0,,0.0,0.3,0.7,0.0,0.0,,,,,,,0.0
Len Zandy,Forward,78.0,198,,Fordham,1966,3,72.0,,13.2,6.8,,,,,42.0,,77.8,,,
Stewart Zane,,,,,Clemson,1979,2,12.0,,,1.3,,,0.2,,,,,,,
Stewart Zane,,,,,Charlotte,1975,1,3.0,,1.3,1.0,,,,,40.0,,,,,
Matt Zaney,Forward,78.0,198,,Texas-Rio Grande Valley,2009,1,8.0,,0.4,0.6,0.0,0.1,0.0,0.4,50.0,,25.0,50.0,,0.0
