player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Robert Threadgill,Forward,76.0,193,,Texas A&M,1971,2,40.0,,3.3,2.2,,,,,34.0,,69.8,,,
LeVert Threats,Forward,78.0,198,,Chattanooga,1992,2,56.0,,13.4,7.0,1.0,0.6,0.4,,45.6,39.5,64.3,55.6,,
DeMarcus Threatt,Guard,61.0,175,Thompson,Fairfield,2015,1,4.0,5.3,2.8,0.2,0.8,0.0,0.0,0.3,60.0,100.0,57.1,70.0,26.5,0.1
Jarvis Threatt,Guard,74.0,170,Highland Springs,Delaware,2014,3,87.0,31.2,13.7,5.1,3.5,1.8,0.2,2.2,38.9,28.0,75.4,42.0,21.5,9.8
Jay Threatt,Guard,61.0,175,,George Mason and Delaware State,2012,4,89.0,35.4,8.4,3.4,5.2,3.0,0.2,2.0,39.7,29.2,74.3,44.7,,9.9
Lafayette Threatt,Forward,79.0,201,,Oklahoma State,1976,4,98.0,,5.9,5.7,,0.7,0.1,,44.5,,56.6,,,
Chuck Threeths,Center,78.0,198,,Tennessee,1980,4,91.0,,4.6,3.5,0.2,0.3,0.3,,55.3,,40.0,,,
Dennis Threkleld,Forward,76.0,193,,Robert Morris,1977,1,19.0,,4.9,2.4,,,,,49.4,,29.2,,,
Jordan Threloff,Center,81.0,255,DeKalb,Illinois State and Northern Illinois,2015,4,113.0,24.7,6.1,5.2,0.4,0.5,0.9,1.6,52.1,,68.7,52.1,20.0,7.8
Marc Throop,Center,73.0,208,,Western Michigan,1978,4,74.0,,4.7,4.1,,,,,40.9,,65.0,,,
Deshaun Thrower,Guard,74.0,200,Muskegon HS,Stony Brook,2016,2,62.0,14.5,3.3,1.2,0.9,0.4,0.0,0.6,29.0,24.2,78.0,33.8,6.2,1.4
Shawn Thrower,Forward,79.0,201,,Northern Illinois,1981,4,110.0,,8.7,5.3,0.6,,1.5,,48.2,,63.3,,,
Bob Thruston,,,,,Canisius,1956,1,12.0,,2.8,0.5,,,,,43.5,,73.7,,,
Felix Thruston,Forward,78.0,198,,Trinity (TX),1970,1,24.0,,14.4,10.5,,,,,44.9,,73.7,,,
Jerry Thruston,Forward,79.0,201,,Mercer,1977,3,76.0,,14.5,7.8,,,,,54.1,,67.0,,,
Jo Jo Thruston,Forward,77.0,196,,Milwaukee,1979,4,100.0,,4.5,2.8,,0.7,0.7,,46.3,,51.1,,,
Bob Thuemmel,,,,,Duke,1955,1,18.0,,0.7,0.3,,,,,24.0,,11.1,,,
James Thues,Guard,61.0,178,,Syracuse and Detroit,2005,4,120.0,,6.7,2.1,3.3,2.0,0.1,,40.8,33.2,62.8,48.1,,8.3
Gerry Thuesen,Forward,79.0,201,,Stanford,1960,3,55.0,,5.2,3.2,,,,,41.4,,88.7,,,
Chris Thunell,Forward,81.0,206,,Florida International and Southern Illinois,2000,4,118.0,,10.3,6.8,1.9,0.8,0.3,,40.6,35.1,83.1,48.1,,9.8
Carlos Thunm,Center,81.0,206,,College of Charleston,1992,1,27.0,,6.0,3.0,0.7,0.4,0.7,,55.8,100.0,76.9,56.3,,
David Thurber,,,,,Boise State,1985,1,4.0,3.5,0.5,,0.5,,,0.5,50.0,,,,,
Spence Thurgood,,,,,Utah,1964,2,36.0,,9.2,4.4,,,,,43.7,,76.8,,,
