player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Pooh Davis,Guard,74.0,188,,North Texas and Northwestern State,2001,4,99.0,,3.5,1.4,1.1,0.5,0.1,,35.1,32.7,65.7,42.7,,1.4
Preston Davis,Guard,74.0,188,,Stephen F. Austin,2009,2,35.0,,1.4,0.4,0.5,0.1,0.0,0.4,33.3,29.4,65.0,38.9,,0.2
Prileu Davis,Guard,75.0,190,,Louisville,2003,1,10.0,,0.4,0.4,0.1,0.0,0.0,,16.7,0.0,100.0,16.7,,0.0
Qiydar Davis,Guard,78.0,200,Indian Hills CC,Louisiana Tech,2017,3,41.0,13.9,4.7,3.0,0.4,0.6,0.3,0.8,41.7,32.4,71.7,44.9,14.5,1.7
Quincy Davis,Center,81.0,206,,Tulane,2006,4,105.0,,10.6,5.3,0.6,0.5,1.6,,57.7,50.0,66.3,58.1,,11.2
Quron Davis,Center,73.0,235,Simeon,Chicago State,2016,3,60.0,12.7,2.8,2.7,0.3,0.2,0.5,0.8,44.4,,53.9,44.4,8.9,0.6
Raasean Davis,Forward,80.0,270,Paulding County,Kent State,2016,2,46.0,6.4,2.0,1.5,0.0,0.1,0.2,0.5,55.2,,69.0,55.2,14.2,0.7
Ralph Davis,Forward,78.0,198,,UTEP,1994,4,122.0,,10.8,5.2,1.1,0.8,0.9,,46.4,30.7,64.6,48.4,,
Ralph Davis,Guard,74.0,188,,Tulane,1983,2,23.0,,1.2,0.6,,0.4,,,60.0,,75.0,,,
Ralph Davis,Guard,76.0,193,,Cincinnati,1960,3,88.0,,12.4,2.4,,,,,46.1,,61.1,,,
Ramond Davis,Guard,75.0,190,,Middle Tennessee,1992,2,54.0,,4.8,2.4,1.7,0.6,0.0,,37.4,34.4,75.0,43.5,,
Randal Davis,,,,,Centenary (LA),1986,2,,,,,,,,,,,,,,
Randy Davis,Guard,61.0,180,,Ball State,2012,4,117.0,29.4,7.9,2.9,3.8,1.0,0.1,1.9,37.7,34.1,82.4,48.4,,10.9
Randy Davis,Center,81.0,206,,Oklahoma State,1992,1,36.0,,7.5,3.9,0.2,0.3,1.2,,54.4,0.0,58.0,54.4,,
Randy Davis,Guard,74.0,188,,Charlotte,1984,2,55.0,,11.3,2.3,4.3,1.1,0.1,,51.0,,77.9,,,
Randy Davis,Guard,73.0,185,,George Washington,1981,2,52.0,,8.8,1.6,2.9,1.1,0.0,,45.8,,74.2,,,
