player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Mike Ringer,,,,,Duquesne,1953,3,,,,,,,,,,,,,,
Mike Ringgold,Forward,79.0,215,,Rider,2011,4,133.0,31.8,10.4,5.9,1.9,1.0,0.7,2.5,51.7,0.0,35.6,51.7,,8.4
James Ringholt,Center,73.0,215,Brisbane Boys' College,UTSA,2017,3,65.0,9.5,1.4,1.4,0.3,0.1,0.3,0.3,32.9,28.8,56.5,45.3,5.9,0.3
Henrik Ringmar,Center,81.0,206,,Oregon State,1991,1,18.0,,0.9,0.5,0.5,0.3,0.1,,46.7,0.0,50.0,46.7,,
Greg Ringo,Center,80.0,203,,VCU,1980,3,50.0,,2.8,1.7,0.3,0.2,0.1,,46.9,,58.2,,,
Robert Ringo,Guard,73.0,185,,San Diego State,1993,2,46.0,,3.4,1.3,1.5,0.7,0.2,,29.9,30.8,63.0,38.3,,
Scott Ringquist,Forward,77.0,196,,Hartford,1989,1,5.0,,0.4,0.2,,,,,,,100.0,,,
Don Ringstaff,Forward,74.0,188,,Vanderbilt,1961,1,24.0,,11.5,5.2,,,,,45.9,,75.6,,,
Dan Rinicella,Forward,76.0,193,,Bowling Green State,1967,3,64.0,,3.0,3.3,,,,,37.7,,52.6,,,
Domas Rinksalis,Forward,81.0,220,,Wofford,2012,2,38.0,7.1,1.4,1.4,0.1,0.1,0.2,0.3,41.7,,57.1,41.7,7.8,0.5
Michael Riordan,Forward,76.0,193,,Providence,1967,3,81.0,,11.2,8.2,,,,,45.7,,70.5,,,
Tim Riordan,Forward,78.0,198,,George Washington,1971,1,14.0,,1.4,1.5,,,,,40.0,,72.7,,,
Tom Riordan,Guard,74.0,188,,Loyola (IL),1981,1,16.0,,3.6,0.6,0.7,0.4,,,47.9,,84.6,,,
Christyan Rios,Forward,77.0,196,,Liberty,1999,1,22.0,,3.7,2.3,1.9,1.3,0.2,,47.0,33.3,68.2,50.8,,0.2
Eddie Rios,Guard,72.0,190,,Miami (FL) and Texas State,2012,4,100.0,22.6,6.8,1.6,2.0,1.1,0.0,1.8,37.9,36.1,68.2,47.2,,3.6
Ezau Rios,Guard,,,,New Mexico State,1998,1,7.0,,0.0,0.3,0.0,0.0,0.0,,0.0,,,0.0,,-0.1
John Rios,Guard,74.0,188,,Temple,1997,2,14.0,,0.4,0.3,0.4,0.0,0.0,,16.7,25.0,,25.0,,0.0
John Rios,Guard,72.0,183,,Western Illinois,1982,1,6.0,,1.0,0.2,0.2,,,,50.0,,100.0,,,
Lalo Rios,Guard,61.0,178,,Texas-Rio Grande Valley,1999,4,108.0,,8.0,3.2,4.1,2.1,0.0,,34.1,31.8,66.2,46.8,,3.1
Mike Rios,Guard,72.0,183,,Niagara,1988,1,30.0,,6.2,1.8,4.2,1.0,0.0,,35.8,32.3,76.2,48.7,,
_ Rios,,,,,Niagara,1989,1,20.0,,10.0,2.0,5.5,1.1,0.1,,39.7,41.9,66.0,56.0,,
Chris Riouse,Guard,74.0,188,,Oral Roberts,2006,2,48.0,,6.1,0.9,0.6,0.3,0.0,,47.8,47.2,75.9,66.3,,3.0
Ron Ripetoe,,,,,Murray State,1969,1,8.0,,1.5,0.2,,,,,37.5,,,,,
Terry Ripka,Forward,77.0,196,,Louisiana-Lafayette,1976,1,19.0,,6.3,2.8,,,,,42.7,,72.7,,,
Rod Ripley,Forward,80.0,203,,Wisconsin,1987,4,89.0,,5.4,4.5,,0.9,0.3,,,,69.6,,,
Roger Ripley,Center,80.0,203,,Green Bay,1989,4,113.0,,4.2,2.8,0.3,0.4,0.4,,54.3,,66.9,,,
Greg Ripp,,,,,Marquette,1960,2,,,,,,,,,,,,,,
Vic Ripp,,,,,Cornell,1960,1,7.0,,1.1,0.6,,,,,33.3,,,,,
JIm Rippe,Guard,74.0,188,,Xavier,1975,1,26.0,,10.2,1.3,2.2,0.8,0.1,,46.9,,79.6,,,
Jim Rippe,Guard,74.0,188,,Xavier,1974,2,51.0,,7.2,1.9,,,,,41.6,,66.2,,,
Russell Rippe,Guard,,,,Wisconsin,1948,1,12.0,,1.0,,,,,,17.2,,33.3,,,
Steve Rippe,Forward,77.0,196,,UCSB,1969,3,77.0,,11.9,5.9,,,,,49.4,,69.6,,,
_ Rippe,,,,,Xavier,1976,1,,,,,,,,,,,,,,
Eric Rippetoe,Forward,78.0,215,Lincoln County,Southern Utah,2015,2,23.0,8.0,2.9,0.8,0.2,0.2,0.0,0.5,42.6,40.0,61.5,53.7,10.9,0.1
Deron Rippey,Guard,74.0,188,,East Carolina,1996,1,27.0,,6.8,2.9,2.2,0.5,0.1,,48.1,16.7,62.2,49.6,,1.4
_ Rische,,,,,St. Francis (NY),1964,1,,,,,,,,,,,,,,
Cliff Risell,Forward,75.0,190,,Drexel,1969,3,58.0,,8.4,6.8,,,,,44.0,,66.8,,,
Chris Risenhoover,Guard,72.0,183,,Texas Christian,1988,2,19.0,,0.5,,,0.1,0.3,,18.2,25.0,71.4,22.7,,
Bill Riser,Center,79.0,201,,Clemson,1956,3,65.0,,3.0,5.8,,,,,33.0,,57.4,,,
John Riser,,,,,Pitt,1957,3,78.0,,14.9,9.9,,,,,37.7,,66.4,,,
Chris Risey,Forward,80.0,203,,South Florida,1991,4,94.0,,2.0,1.5,0.4,0.2,0.1,,40.7,15.4,64.6,41.2,,
_ Rishe,,,,,St. Francis (NY),1963,1,17.0,,3.1,1.0,,,,,50.0,,72.7,,,
_ Rishe,,,,,St. Francis (NY),1962,1,,,,,,,,,,,,,,
Evan Risher,Guard,72.0,183,,Liberty,2006,2,57.0,,4.6,1.7,1.7,0.5,0.0,,35.6,33.6,57.3,44.3,,0.7
Evans Risher,,,,,Texas-Arlington,1977,1,3.0,,2.0,0.7,0.3,,,,100.0,,40.0,,,
Ben Rishwain,Guard,61.0,178,,Pacific,1994,3,78.0,,4.3,0.9,1.5,0.6,0.0,,37.2,36.5,80.4,49.6,,
Ben Rishwain,Guard,61.0,178,,UC-Irvine,1990,1,15.0,10.4,1.2,0.9,1.6,0.6,,1.9,20.7,0.0,54.5,20.7,,
Jim Risinger,Guard,75.0,190,,North Carolina State,1971,3,59.0,,3.2,1.5,,,,,37.9,,76.1,,,
John Risinger,Guard,77.0,196,,Evansville and North Carolina-Asheville,2000,4,79.0,,6.3,2.8,2.4,1.4,0.1,,42.4,37.1,70.3,49.2,,2.2
Mark Risinger,Forward,79.0,201,,William & Mary,1979,4,64.0,,1.8,1.2,,0.1,0.1,,42.6,,77.8,,,
Rick Risinger,Guard,76.0,193,,Purdue,1973,3,36.0,,2.9,1.0,0.8,,,,39.4,,69.0,,,
Bob Risk,Guard,61.0,180,,Tulane,1959,3,36.0,,3.1,1.1,,,,,35.2,,66.1,,,
Ed Riska,Guard,74.0,188,,Houston,1975,3,60.0,,4.0,0.9,1.8,1.0,0.0,,48.3,,57.8,,,
John Risley,Guard,61.0,178,,UConn,1960,3,53.0,,2.2,0.9,,,,,36.2,,56.1,,,
Steve Risley,Forward,80.0,203,,Indiana,1981,4,118.0,,4.4,2.9,0.5,0.4,0.1,,47.9,,64.7,,,
Daniel Risner,Guard,73.0,185,,Morehead State,2001,2,,,,,,0.1,0.0,,,,,,,
Darrell Risner,,,,,Arizona State,1962,1,15.0,,1.7,1.4,,,,,34.3,,50.0,,,
_ Risner,Forward,72.0,183,,Tulane,1949,1,28.0,,12.1,,,,,,34.0,,54.7,,,
_ Risner,Guard,,,,Tulane,1948,1,,,,,,,,,,,,,,
Andre Rison,Guard,61.0,180,,Michigan State,1988,2,24.0,,,0.8,1.9,0.4,0.1,,,,,,,
Bryan Rison,Guard,61.0,180,,Washington State,1980,2,55.0,,12.3,2.3,3.4,2.2,0.1,,46.8,,80.5,,,
Derek Risper,Forward,80.0,203,,Eastern Washington,2007,2,56.0,,3.9,3.9,0.6,0.5,0.1,,48.9,,52.2,48.9,,0.8
Thad Rispone,Guard,72.0,183,,Nicholls State,1993,2,22.0,,1.0,0.3,0.4,0.2,0.0,,26.9,16.7,,30.8,,
Matt Risse,Guard,77.0,195,Paul VI HS,James Madison,2016,1,8.0,2.4,0.9,0.2,0.0,0.0,0.0,0.0,100.0,100.0,,116.7,18.8,0.1
Bob Risser,Guard,73.0,185,,Tennessee,1959,3,60.0,,5.4,2.0,,,,,37.3,,66.7,,,
Dusan Ristic,Center,84.0,240,Sunrise Christian Academy,Arizona,2017,3,106.0,16.0,7.1,3.8,0.4,0.2,0.5,0.8,56.3,53.3,66.2,57.0,20.3,7.4
John Ritch,Center,79.0,201,,Army,1965,3,55.0,,11.4,6.2,,,,,51.7,,66.7,,,
John Ritch,,,,,Providence,1957,3,66.0,,12.3,,,,,,43.0,,58.1,,,
Josh Ritchart,Guard,81.0,235,Forest Lake Christian,UC-Davis,2014,4,130.0,23.2,10.3,4.0,0.9,0.5,0.5,1.3,47.2,41.2,68.3,58.8,19.0,8.8
Jerry Ritchey,,,,,Mississippi State,1956,2,42.0,,8.0,2.7,,,,,37.0,,68.6,,,
Bob Ritchie,Guard,77.0,196,,Virginia Tech,2006,3,18.0,,0.7,0.2,0.2,0.2,0.0,,28.6,0.0,72.7,28.6,,0.1
George Ritchie,Guard,72.0,183,,Wake Forest,1960,3,75.0,,11.7,3.6,,,,,38.9,,79.1,,,
James Ritchie,Forward,,,,West Virginia,1961,3,92.0,,8.6,6.1,,,,,44.2,,64.7,,,
John Ritchie,Center,81.0,206,,University of California,1983,4,81.0,6.6,2.0,1.2,0.3,0.2,0.2,0.6,43.8,,,,,
John Ritchie,,,,,University of California,1979,1,,,,,,,,,,,,,,
Kelan Ritchie,Forward,73.0,211,,Detroit,1990,1,18.0,,2.1,1.1,0.4,0.3,0.1,,30.0,28.6,37.5,35.0,,
Max Ritchie,Guard,76.0,168,Nebraska City,Nebraska,2013,1,5.0,1.4,0.4,0.2,0.0,0.2,0.0,0.0,,,100.0,,34.4,0.1
Mike Ritchie,Guard,,,,North Texas,2001,1,14.0,,0.8,0.4,0.4,0.1,0.0,,17.6,15.4,100.0,23.5,,-0.2
Nate Ritchie,Forward,79.0,215,Northridge,Indiana,2015,1,6.0,2.5,0.3,1.0,0.3,0.2,0.0,0.0,0.0,,100.0,0.0,25.7,0.1
Curtis Ritchwood,Forward,78.0,198,,Ole Miss,1986,2,53.0,,13.8,7.5,0.8,0.7,0.4,,51.6,,50.5,,,
Al Ritter,Guard,75.0,190,,UConn,1964,3,65.0,,7.0,1.5,,,,,44.0,,77.1,,,
Bob Ritter,Guard,75.0,190,,Indiana State,1980,2,21.0,,1.1,0.5,0.3,0.1,,,37.9,,,,,
Chris Ritter,Guard,72.0,183,,North Carolina State,1991,1,8.0,,0.1,0.6,,0.1,,,,,50.0,,,
Clayton Ritter,Forward,79.0,201,,James Madison,1994,4,109.0,,8.5,3.7,1.3,0.7,0.6,,61.6,,75.6,62.2,,
Don Ritter,Forward,61.0,178,,Indiana,1949,2,42.0,,9.3,,,,,,26.1,,67.1,,,
George Ritter,Center,73.0,208,,Hawaii,1977,3,35.0,,1.5,1.4,,,,,36.7,,70.8,,,
Greg Ritter,Center,89.0,226,,Portland,1991,2,8.0,,1.9,1.1,,,0.2,,85.7,,37.5,,,
James Ritter,Forward,,,,Purdue,1951,2,15.0,,1.5,,,,,,24.1,,64.3,,,
Jared Ritter,,,,,Southeast Missouri State,2006,1,3.0,,0.0,0.7,0.0,0.0,0.0,,0.0,0.0,,0.0,,-0.1
Jeff Ritter,Forward,77.0,196,,Yale,1975,3,63.0,,2.8,2.7,0.6,,,,43.8,,35.4,,,
John Ritter,Forward,77.0,196,,Indiana,1973,3,77.0,,12.1,4.4,2.4,,,,49.7,,86.2,,,
Julius Ritter,Forward,,,,Purdue,1949,2,,,,,,,,,,,,,,
Kameron Ritter,Forward,75.0,164,Christian Boys Academy,Saint Francis (PA),2013,3,69.0,21.2,3.7,1.8,1.5,1.0,0.3,1.3,44.8,32.4,50.0,50.2,8.9,0.8
Mark Ritter,Forward,78.0,198,,William & Mary,1974,3,81.0,,7.9,4.4,,,,,48.6,,75.0,,,
Paul Ritter,,,,,Dartmouth,1978,1,5.0,,0.4,,0.4,,,,,,100.0,,,
Paulius Ritter,Forward,80.0,203,,SMU,2008,4,73.0,,1.4,1.9,0.2,0.2,0.2,1.3,47.1,0.0,47.7,47.1,,0.6
Rob Ritter,Forward,78.0,198,,Florida Atlantic,1996,3,79.0,,6.6,2.2,0.6,0.3,0.0,,31.7,32.2,71.7,41.0,,
Ronald Ritter,Forward,75.0,190,,UConn,1967,3,71.0,,8.6,4.2,,,,,46.1,,74.6,,,
_ Ritter,,,,,Eastern Kentucky,1948,1,,,,,,,,,,,,,,
Dick Rittman,,,,,Arkansas,1958,2,41.0,,3.1,2.5,,,,,28.5,,73.7,,,
Perrin Rittner,,,,,LSU,1951,1,2.0,,,,,,,,,,,,,
Travis Ritz,,,,,Jacksonville,1996,1,5.0,,0.0,0.4,0.0,0.2,0.0,,,,,,,-0.1
David Ritzema,Center,73.0,208,,Oakland,2006,3,57.0,,1.1,1.2,0.1,0.1,0.3,,45.0,,42.1,45.0,,0.6
Pete Ritzema,Center,86.0,218,,Cleveland State,2004,3,44.0,,1.6,1.5,0.1,0.1,0.3,,50.0,,45.9,50.0,,0.4
Jordan Riullano,Guard,69.0,185,Victory Rock Prep HS,VCU,2016,1,8.0,1.5,0.2,0.1,0.1,0.1,0.0,0.3,0.0,0.0,100.0,0.0,-11.3,0.0
Blake Riva,,,,,Washington,1983,1,9.0,,0.4,0.7,,0.1,,,40.0,,,,,
Jerry Riva,,,,,Illinois,1958,1,,,,,,,,,,,,,,
Laurent Rivard,Guard,77.0,215,Northfield Mount Hermon (MA),Harvard,2014,4,123.0,30.0,10.3,3.0,0.8,0.8,0.1,0.9,43.2,41.0,83.0,59.7,16.0,14.4
Mark Rivard,,,,,Kansas,1951,1,3.0,,,,,,,,,,,,,
Tom Rivard,Forward,79.0,200,Worcester Academy,James Madison and Colgate,2017,3,77.0,22.0,7.1,3.5,0.9,0.5,0.5,1.6,47.3,33.3,58.6,53.1,14.8,2.8
Alex Rivas,Center,73.0,208,,South Florida,2010,2,47.0,5.7,2.9,3.5,0.1,0.4,0.4,0.9,53.0,,56.9,53.0,,2.0
Billy Rivas,Guard,73.0,185,,Texas-Rio Grande Valley,1970,2,44.0,,3.8,1.7,,,,,42.4,,58.7,,,
Juan Ramon Rivas,Forward,80.0,200,Olympia,UMKC,2015,1,8.0,7.1,1.5,0.8,0.2,0.3,0.0,0.5,21.1,14.3,100.0,23.7,1.9,-0.1
Luis Rivas,Forward,79.0,201,,Arkansas State and Western Illinois,2003,4,69.0,,7.6,4.1,0.4,0.6,0.8,,52.9,0.0,52.1,52.9,,2.5
Pablo Rivas,Forward,78.0,210,Cesar Chavez High School,North Carolina Central,2017,1,34.0,18.4,7.0,4.4,0.4,0.4,0.7,0.7,64.7,40.7,70.7,68.3,21.0,3.4
Ramon Rivas,Center,73.0,260,,Temple,1988,3,94.0,25.4,6.9,6.1,0.2,0.5,0.4,,45.1,,71.5,,,
Tyson Rivels,Guard,,,,Mississippi Valley State,1998,1,24.0,,6.2,2.4,0.7,0.6,0.0,,27.4,34.6,70.0,38.1,,-0.3
Angel Rivera,Forward,80.0,203,,Mount St. Mary's,2003,4,102.0,,5.3,4.8,0.6,0.8,1.2,,39.3,50.0,56.7,39.4,,2.3
Angel Rivera,Guard,68.0,160,IMG Academy,Stetson,2017,3,95.0,26.1,7.3,2.5,4.5,0.9,0.0,1.6,42.9,33.0,73.0,50.2,14.6,5.5
Carlos Rivera,Guard,74.0,188,,Hofstra,2007,4,111.0,,11.0,3.8,3.2,1.4,0.2,,40.5,36.5,78.5,51.1,,10.7
Chris Rivera,Guard,75.0,195,,Manhattan,2016,1,3.0,2.0,0.0,0.3,0.3,0.0,0.0,0.0,,,,,4.0,0.0
D.J. Rivera,Forward,76.0,193,,St. Joseph's and Binghamton,2009,3,77.0,,11.5,4.0,1.0,1.8,0.4,1.8,44.2,30.0,64.2,48.2,,5.5
Dana Rivera,Guard,75.0,190,,Robert Morris,1992,2,7.0,,0.6,,,0.4,,,50.0,,,,,
Eddie Rivera,Guard,68.0,173,,UTEP,1993,2,68.0,,13.6,2.9,4.8,1.2,0.1,,44.5,40.2,75.6,49.0,,
Felix Rivera,Center,80.0,203,,St. Peter's,1981,1,23.0,,5.1,3.7,0.9,0.7,0.6,,43.5,,61.5,,,
Filiberto Rivera,Guard,74.0,188,,UTEP,2005,2,64.0,,12.3,2.9,6.0,1.5,0.1,,45.2,36.0,81.5,53.3,,8.4
Gerrick Rivera,Guard,75.0,190,,UTSA,2001,1,23.0,,4.3,1.9,1.1,0.5,0.0,,34.4,30.0,64.5,42.5,,0.4
James Rivera,,,,,Delaware,1986,1,1.0,,,1.0,,,,,,,,,,
Jose Rivera,Guard,75.0,185,,Pacific,2011,1,31.0,22.9,5.5,1.4,1.7,0.3,0.0,0.9,39.3,39.8,76.5,56.8,11.1,1.6
Lonnie Rivera,Forward,78.0,195,Don Bosco Prep (NJ),American,2017,2,43.0,13.7,3.5,1.8,0.5,0.2,0.1,1.0,44.6,36.1,83.8,50.0,8.7,0.5
Marlon Rivera,Guard,74.0,180,,Florida Gulf Coast,2011,1,30.0,31.8,6.4,5.7,5.4,1.6,0.1,3.8,31.8,0.0,47.1,31.8,8.7,0.0
