player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Brett Vroman,Center,84.0,220,,UCLA and UNLV,1978,4,,24.0,,,,0.7,,,,,,,,
Jackson Vroman,Forward,73.0,220,,Iowa State,2004,2,63.0,30.6,13.2,9.5,2.1,1.2,1.1,,55.8,7.7,51.2,55.9,,8.7
Nick Vrotsos,Guard,74.0,188,,Alabama,1951,4,,,,,,,,,,,,,,
Maurice Vrumans,,,,,Syracuse,1959,1,,,,,,,,,,,,,,
Igor Vrzina,Forward,80.0,203,,Idaho,2006,1,26.0,,4.3,2.8,0.5,0.4,0.1,,37.4,20.0,63.6,38.8,,-0.1
Marko Vucajnk,Center,73.0,211,,Marist,2006,1,8.0,,0.5,0.0,0.0,0.0,0.0,,33.3,,100.0,33.3,,0.0
Sergej Vucetic,Center,85.0,238,AIM Prep,Nebraska,2014,2,18.0,1.9,0.7,0.3,0.0,0.0,0.1,0.0,75.0,,0.0,75.0,19.6,0.1
Sergej Vucetic,Center,85.0,238,AIM Prep (MI),Evansville,2017,2,35.0,8.8,2.3,1.5,0.2,0.0,0.5,0.8,45.9,,68.4,45.9,7.7,0.3
Nikola Vucevic,Forward,73.0,220,,USC,2011,3,87.0,27.7,11.1,8.0,1.1,0.5,1.1,1.5,50.9,30.3,74.6,53.5,,12.0
Hrvoje Vucic,Center,85.0,245,,Valparaiso,2012,2,33.0,6.5,1.3,1.4,0.2,0.1,0.3,0.5,38.6,0.0,69.2,38.6,7.5,0.2
Jere Vucica,Forward,81.0,204,,Miami (OH),2016,1,8.0,10.8,5.1,2.6,0.1,0.1,0.0,0.4,46.9,16.7,62.5,48.4,21.0,0.3
Lolly Vuckchevkin,Forward,75.0,190,,Arizona State,1957,1,2.0,,1.0,4.0,,,,,33.3,,,,,
Ivan Vujic,Center,73.0,211,,Valparaiso,2000,2,64.0,,10.6,5.7,1.9,0.4,1.0,,56.3,0.0,49.8,56.3,,6.9
Vukasin Vujovic,Forward,81.0,220,Republic of Serbia Sport HS,Boise State,2013,1,9.0,4.0,1.2,0.4,0.0,0.0,0.1,0.3,23.1,20.0,100.0,26.9,3.4,0.0
Fred Vukas,Guard,61.0,178,,Idaho State,1968,2,38.0,,3.7,0.8,,,,,37.8,,79.3,,,
John Vukasevich,,,,,Appalachian State,1974,1,24.0,,6.0,4.1,,,,,41.8,,67.6,,,
John Vukasovich,Center,,,,Appalachian State,1976,3,60.0,,3.5,,,,,,46.2,,60.3,,,
Tony Vukelich,Center,81.0,206,,Santa Clara,1985,3,47.0,,1.5,1.3,,0.1,0.2,,48.0,,,,,
_ Vukelich,,,,,Santa Clara,1982,1,,,,,,,,,,,,,,
Ohil Vukicevich,,,,,San Francisco,1953,1,23.0,,12.9,,,,,,41.7,,64.3,,,
Phil Vukievich,Guard,,,,San Francisco,1951,1,26.0,,7.8,4.6,1.8,,,,36.2,,69.6,,,
Mike Vukmanovich,Forward,78.0,198,,Duquesne,2002,1,4.0,,0.0,0.5,0.2,0.0,0.0,,0.0,0.0,,0.0,,-0.1
Tonko Vuko,Forward,80.0,230,Weatherford College (JS),Pacific,2017,2,54.0,19.4,4.9,3.7,0.7,0.3,0.1,0.8,49.0,26.5,73.2,52.3,11.7,2.5
Joe Vukovic,Center,79.0,201,,Albany (NY),2002,3,78.0,,4.2,4.2,0.5,0.8,0.5,,45.3,0.0,56.5,45.3,,1.6
M. Vukovich,,,,,Akron,1980,1,,,,,,,,,,,,,,
Mike Vukovich,Forward,81.0,206,,UCSB,2002,3,83.0,,6.3,3.5,0.5,0.3,0.6,,55.4,,68.9,55.4,,5.6
Mike Vukovich,Forward,,,,UCSB,1998,1,23.0,,2.8,2.5,0.4,0.2,0.3,,40.7,,74.1,40.7,,0.2
Pete Vukovich,Guard,,,,New Mexico State,1948,1,,,,,,,,,,,,,,
Sam Vukovich,Guard,74.0,188,,DePaul,1950,2,,,,,,,,,,,,,,
Vedran Vukusic,Forward,80.0,203,,Northwestern,2006,4,112.0,,14.1,3.5,2.1,1.1,0.6,,47.8,37.6,75.5,56.8,,15.0
Luka Vulikic,Guard,77.0,190,Svetozar Markovic Jagodina HS,Eastern Washington,2017,1,32.0,16.0,2.9,2.8,0.7,0.4,0.3,0.9,43.2,30.8,55.6,45.7,8.5,0.4
Joe Vullo,,,,,Bucknell,1981,2,19.0,3.5,1.7,0.3,0.1,0.1,0.0,,47.8,,78.6,,,
Pat Vuyancih,Forward,77.0,196,,Cleveland State,1987,2,43.0,,5.3,3.3,0.9,0.8,0.3,,47.7,,76.6,,,
Phil Vvikicevich,Guard,73.0,185,,San Francisco,1952,1,24.0,,10.5,5.3,2.2,,,,37.8,,56.8,,,
Ron Vyse,Guard,73.0,185,,Montana State,1983,1,3.0,,,,0.3,0.3,,,,,,,,
Sulskis Vytas,Guard,79.0,201,,Youngstown State,2010,3,90.0,27.4,10.2,4.1,1.9,0.9,0.4,1.6,41.4,36.0,70.3,50.4,,7.2
