player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Matt O'Brien,Guard,74,188,,Georgia State,1991,2,57,,12.1,2,2.9,0.7,0.1,,38.2,32.3,81.3,45.5,,
Mike O'Brien,,,,,Illinois,1983,1,,,,,,,,,,,,,,
Mike O'Brien,,,,,Illinois,1982,1,5,,0.8,0.4,,,,,66.7,,,,,
Mike O'Brien,Guard,74,188,,Seattle,1969,1,20,,0.6,0.9,,,,,21.4,,41.7,,,
Mike O'Brien,Forward,75,190,,Rider,1969,1,11,,0.7,0.5,,,,,28.6,,80,,,
MIke O'Brien,Guard,74,188,,Seattle,1968,1,24,,2.4,1.5,,,,,41.2,,69.6,,,
Ralph O'Brien,Guard,68,173,,Butler,1949,1,23,,15.8,,,,,,41,,78.5,,,
ROBERT O'BRIEN,,,,,UConn,1954,2,,,,,,,,,,,,,,
Sean O'Brien,Forward-Guard,78,210,Mundelein,Southern Illinois,2017,4,131,28.7,9.5,6.1,1.9,0.8,0.5,1.9,48.2,24.7,58.3,50,15.8,9.4
Sean O'Brien,Guard,74,188,Penn Charter,Colgate,2017,3,94,24,7.3,1.8,2.3,0.8,0,1.1,44.3,39.4,84.2,55.6,14.1,5.9
Steve O'Brien,Forward-Guard,76,193,,Bucknell,1980,4,77,,2.4,0.9,0.6,,,,42,,60,,,
T O'Brien,,,,,Boston College,1975,1,4,,0.5,0.2,,,,,100,,,,,
Terry O'Brien,Guard,74,188,,Santa Clara,1970,3,64,,6,2.8,,,,,43.8,,71.5,,,
Tim O'Brien,Forward,76,193,,West Chester,1976,3,51,,12,10.1,,,,,45.4,,69.5,,,
Todd O'Brien,Center,84,250,,Bucknell and St. Joseph's,2011,3,85,16.1,3.9,4.2,0.4,0.6,0.6,1,44.7,,58.5,44.7,,2.2
Tom O'Brien,Guard,73,185,,Boston College,1950,3,53,,10,,,,,,,,,,,
W.E. O'Brien,Guard,72,183,,Butler,1949,1,3,,0.7,,,,,,,,100,,,
W.W. O'Brien,Guard,72,183,,Butler,1949,1,11,,0.8,,,,,,28.6,,33.3,,,
_ O'Brien,,,,,Butler,1948,1,,,,,,,,,,,,,,
_ O'Brien,,,,,Holy Cross,1950,1,18,,0.9,,,,,,20,,71.4,,,
_ O'Brien,,,,,Siena,1948,1,,,,,,,,,,,,,,
Derek O'Bryan,Forward,80,203,,East Carolina,2009,1,9,,0.2,0.4,0,0,0.2,0.1,50,,,50,,0
Lee O'Bryan,,,,,Richmond,1961,2,47,,10,9.7,,,,2,37.7,,71,,,
Michael O'Bryan,,,,,Virginia,1958,3,15,,,,,,,,,,,,,
Robbie O'Bryan,Guard,73,185,,Morehead State,1993,1,3,,0,,0,0,0,,0,0,,0,,
Darrin O'Bryant,Guard,74,188,,Eastern Kentucky,1989,2,56,,12.9,4,1.7,0.6,0.3,,44.6,29.6,73.7,46.4,,
Eathan O'Bryant,Guard,61,180,,Nevada,1995,2,57,,11.2,3.7,7.8,2.5,0,,40.8,29.4,69.8,44.2,,
Johnny O'Bryant,Forward,81,256,East Side,LSU,2014,3,91,27.1,12.7,7.7,1.3,0.5,0.8,2.9,46.7,22.2,61.9,47,17.7,5.8
Orin O'Bryant,Forward,73,215,,Hampton,2012,1,30,9.1,1.4,1.6,0.3,0.2,0.6,0.7,50,,33.3,50,6.9,0.2
Patrick O'Bryant,Center,84,260,,Bradley,2006,2,52,24.3,11.6,7.8,0.7,0.9,2.8,,55.4,,68.7,55.4,,8.6
Andrew O'Connell,,,,,Niagara,1963,3,61,,12.6,,,,,,,,,,,
Andy O'Connell,Forward,,,,Rider,1989,1,3,,1.3,1,0.3,,,,25,,100,25,,
Bob O'Connell,,,,,Loyola Marymount,1954,1,,,,,,,,,,,,,,
Brian O'Connell,Guard,,,,Illinois,1990,2,,,,,,,,,,,,,,
Buzz O'Connell,Guard,69,175,,Stetson,1977,4,102,,7.9,1.7,,,,,47.9,,80,,,
Dave O'Connell,Forward,76,193,,Duke,1976,3,64,,2.9,1.2,0.4,,,,43.8,,52.2,,,
Dermott O'Connell,Forward,,,,Holy Cross,1948,1,30,,7.5,,,,,,,,40.4,,,
Dick O'Connell,Forward,76,193,,Boston University,1961,3,71,,10.9,6.7,,,,,39.2,,,,,
