Player,Team,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
Udonis Haslem,MIA,"$2,328,652 ",,,,,,Minimum Salary,"$2,328,652 "
Jordan Mickey,MIA,"$1,471,382 ","$1,600,520 ",,,,,Minimum Salary,"$1,471,382 "
Josh Richardson,MIA,"$1,471,382 ",,,,,,Minimum Salary,"$1,471,382 "
Okaro White,MIA,"$1,312,611 ",,,,,,Minimum Salary,"$452,624 "
A.J. Hammons,MIA,"$1,312,611 ","$1,544,951 ",,,,,Cap Space,"$2,857,562 "
Rodney McGruder,MIA,"$1,312,611 ","$1,544,951 ",,,,,Minimum Salary,"$452,625 "
Matt Williams,MIA,"$815,615 ",,,,,,Minimum Salary,
Chris Bosh,MIA,"$25,289,390 ","$26,837,720 ",,,,,,"$52,127,110 "
Otto Porter,WAS,"$24,773,250 ","$26,011,913 ","$27,250,576 ","$28,489,239 ",,,Bird Rights,"$78,035,739 "
Bradley Beal,WAS,"$23,775,506 ","$25,434,263 ","$27,093,019 ","$28,751,775 ",,,Cap Space,"$105,054,563 "
John Wall,WAS,"$18,063,850 ","$19,169,800 ","$37,800,000 ","$40,824,000 ","$43,848,000 ","$46,872,000 ",Bird Rights,"$159,705,650 "
Ian Mahinmi,WAS,"$16,661,641 ","$15,944,154 ","$15,450,051 ",,,,Cap Space,"$48,055,846 "
Marcin Gortat,WAS,"$12,782,609 ","$13,565,218 ",,,,,Bird Rights,"$26,347,827 "
Markieff Morris,WAS,"$8,000,000 ","$8,600,000 ",,,,,Bird Rights,"$16,600,000 "
Jason Smith,WAS,"$5,225,000 ","$5,450,000 ",,,,,Cap Space,"$5,225,000 "
Jodie Meeks,WAS,"$3,290,000 ","$3,454,500 ",,,,,Bi-annual Exception,"$3,290,000 "
Tomas Satoransky,WAS,"$3,000,000 ","$3,129,187 ",,,,,Cap Space,"$6,129,187 "
