Player,Team,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
Jayson Tatum,BOS,"$5,645,400 ","$6,700,800 ","$7,830,000 ","$9,897,120 ",,,1st Round Pick,"$12,346,200 "
Marcus Morris,BOS,"$5,000,000 ","$5,375,000 ",,,,,Bird Rights,"$10,375,000 "
Jaylen Brown,BOS,"$4,956,480 ","$5,169,960 ","$6,534,829 ",,,,1st Rd pick,"$4,956,480 "
Marcus Smart,BOS,"$4,538,020 ",,,,,,1st Round Pick,"$4,538,020 "
Aron Baynes,BOS,"$4,328,000 ",,,,,,Room Exception,"$4,328,000 "
Guerschon Yabusele,BOS,"$2,247,480 ","$2,667,600 ","$3,117,240 ","$4,781,846 ",,,1st Round Pick,"$4,915,080 "
Terry Rozier,BOS,"$1,988,520 ","$3,050,390 ",,,,,1st round pick,"$1,988,520 "
Shane Larkin,BOS,"$1,524,305 ",,,,,,Minimum Salary,"$1,524,305 "
Semi Ojeleye,BOS,"$1,291,892 ","$1,378,242 ","$1,618,520 ","$1,752,950 ",,,,"$2,193,857 "
Abdel Nader,BOS,"$1,167,333 ","$1,378,242 ","$1,618,520 ","$1,752,950 ",,,,"$1,617,333 "
Daniel Theis,BOS,"$815,615 ","$1,378,242 ",,,,,Minimum Salary,"$815,615 "
L.J. Peak,BOS,"$815,615 ",,,,,,Minimum Salary,
Andrew White,BOS,"$815,615 ",,,,,,Minimum Salary,
Demetrius Jackson,BOS,"$92,858 ","$92,857 ","$92,857 ","$92,857 ","$92,857 ","$92,857 ",,"$650,000 "
Rudy Gobert,UTA,"$21,974,719 ","$23,491,573 ","$25,008,427 ","$26,525,281 ",,,1st Round Pick,"$97,000,000 "
Ricky Rubio,UTA,"$14,275,000 ","$14,975,000 ",,,,,1st Round Pick,"$29,250,000 "
Joe Ingles,UTA,"$14,136,364 ","$13,045,455 ","$11,954,546 ","$10,863,637 ",,,Bird Rights,"$50,000,002 "
Derrick Favors,UTA,"$12,000,000 ",,,,,,1st Round Pick,"$12,000,000 "
Alec Burks,UTA,"$10,845,506 ","$11,536,515 ",,,,,1st Round Pick,"$22,382,021 "
Joe Johnson,UTA,"$10,505,000 ",,,,,,Cap Space,"$10,505,000 "
Thabo Sefolosha,UTA,"$5,250,000 ","$5,250,000 ",,,,,Cap space,"$5,250,000 "
Dante Exum,UTA,"$4,992,385 ",,,,,,1st Round Pick,"$4,992,385 "
Jonas Jerebko,UTA,"$4,000,000 ","$4,200,000 ",,,,,Cap space,"$4,000,000 "
Ekpe Udoh,UTA,"$3,200,000 ","$3,360,000 ",,,,,Room Exception,"$3,200,000 "
Donovan Mitchell,UTA,"$2,621,280 ","$3,111,480 ","$3,635,760 ","$5,195,501 ",,,1st Round Pick,"$5,732,760 "
Rodney Hood,UTA,"$2,386,864 ",,,,,,1st Round Pick,"$2,386,864 "
Raul Neto,UTA,"$1,471,382 ",,,,,,,
Tony Bradley,UTA,"$1,414,920 ","$1,679,520 ","$1,962,360 ","$3,542,060 ",,,1st Round Pick,"$3,094,440 "
Joel Bolomboy,UTA,"$1,312,611 ","$1,544,951 ",,,,,Cap Space,"$1,312,611 "
Royce O'Neale,UTA,"$815,615 ","$1,378,242 ","$1,618,520 ",,,,Cap space,"$815,615 "
Carmelo Anthony,NYK,"$26,243,760 ","$27,928,140 ",,,,,Bird Rights,"$26,243,760 "
Joakim Noah,NYK,"$17,765,000 ","$18,530,000 ","$19,295,000 ",,,,Cap Space,"$55,590,000 "
Tim Hardaway,NYK,"$16,500,000 ","$17,325,000 ","$18,150,000 ","$18,975,000 ",,,Cap space,"$51,975,000 "
Courtney Lee,NYK,"$11,747,890 ","$12,253,780 ","$12,759,670 ",,,,Cap Space,"$36,761,340 "
Lance Thomas,NYK,"$6,655,325 ","$7,119,650 ","$7,583,975 ",,,,Cap Space,"$13,774,975 "
Kristaps Porzingis,NYK,"$4,503,600 ","$5,697,054 ",,,,,1st round pick,"$10,200,654 "
Ron Baker,NYK,"$4,328,000 ","$4,544,400 ",,,,,Room Exception,"$4,328,000 "
Kyle O'Quinn,NYK,"$4,087,500 ","$4,256,250 ",,,,,Bird Rights,"$4,087,500 "
Frank Ntilikina,NYK,"$3,501,120 ","$4,155,720 ","$4,855,800 ","$6,176,578 ",,,1st Round Pick,"$7,656,840 "
Mindaugas Kuzminskas,NYK,"$3,025,035 ",,,,,,Room Exception,"$3,025,035 "
Ramon Sessions,NYK,"$2,328,652 ",,,,,,Minimum Salary,"$2,328,652 "
Michael Beasley,NYK,"$2,116,955 ",,,,,,Minimum Salary,"$2,116,955 "
Willy Hernangomez,NYK,"$1,435,750 ","$1,544,951 ","$1,701,735 ",,,,Cap Space,"$2,980,701 "
Chasson Randle,NYK,"$1,312,611 ",,,,,,Minimum Salary,
Damyean Dotson,NYK,"$1,100,000 ","$1,378,242 ","$1,618,520 ",,,,Minimum Salary,"$2,478,242 "
Xavier Rathan-Mayes,NYK,"$815,615 ",,,,,,Minimum Salary,
Nigel Hayes,NYK,"$815,615 ",,,,,,Minimum Salary,"$50,000 "
Jamel Artis,NYK,"$815,615 ",,,,,,Minimum Salary,
Marshall Plumlee,NYK,"$100,000 ",,,,,,,"$100,000 "
Mike Conley,MEM,"$28,530,608 ","$30,521,115 ","$32,511,623 ","$34,504,132 ",,,Cap Space,"$113,989,729 "
Chandler Parsons,MEM,"$23,112,004 ","$24,107,258 ","$25,102,511 ",,,,Cap Space,"$72,321,773 "
Marc Gasol,MEM,"$22,642,350 ","$24,119,025 ","$25,595,700 ",,,,Bird Rights,"$46,761,375 "
Brandan Wright,MEM,"$5,955,760 ",,,,,,MLE,"$5,955,760 "
Ben McLemore,MEM,"$5,200,000 ","$5,460,000 ",,,,,MLE,"$10,660,000 "
Troy Daniels,MEM,"$3,408,520 ","$3,258,540 ",,,,,Cap Space,"$6,667,060 "
Tyreke Evans,MEM,"$3,290,000 ",,,,,,Bi-annual Exception,"$3,290,000 "
James Ennis,MEM,"$3,028,410 ",,,,,,Room exception,"$3,028,410 "
Mario Chalmers,MEM,"$2,106,407 ",,,,,,Minimum Salary,"$25,000 "
Wade Baldwin,MEM,"$1,874,400 ","$1,955,160 ","$3,003,126 ",,,,1st Round pick,"$1,874,400 "
Jarell Martin,MEM,"$1,471,382 ","$2,416,222 ",,,,,1st Round pick,"$1,471,382 "
Andrew Harrison,MEM,"$1,312,611 ","$1,544,951 ",,,,,Cap Space,"$1,312,611 "
Deyonta Davis,MEM,"$1,312,611 ","$1,544,951 ",,,,,Cap Space,"$2,857,562 "
Wayne Selden,MEM,"$1,312,611 ","$1,544,951 ",,,,,,"$2,085,087 "
Rade Zagorac,MEM,"$950,000 ","$1,378,242 ","$1,618,520 ",,,,MLE,"$2,328,242 "
Jeremy Morgan,MEM,"$815,615 ",,,,,,Minimum Salary,
Dillon Brooks,MEM,"$815,615 ","$1,378,242 ","$1,618,520 ",,,,MLE,"$2,193,857 "
Brook Lopez,LAL,"$22,642,350 ",,,,,,Bird Rights,"$22,642,350 "
Kentavious Caldwell-Pope,LAL,"$17,745,894 ",,,,,,Cap space,"$17,745,894 "
Luol Deng,LAL,"$17,190,000 ","$18,000,000 ","$18,810,000 ",,,,Cap Space,"$54,000,000 "
Jordan Clarkson,LAL,"$11,562,500 ","$12,500,000 ","$13,437,500 ",,,,Cap Space,"$37,500,000 "
Corey Brewer,LAL,"$7,579,366 ",,,,,,Cap Space,"$7,579,366 "
Lonzo Ball,LAL,"$6,286,560 ","$7,461,960 ","$8,719,320 ","$11,003,782 ",,,1st Round Pick,"$13,748,520 "
Brandon Ingram,LAL,"$5,519,400 ","$5,757,120 ","$7,265,485 ",,,,1st Round pick,"$5,519,400 "
Julius Randle,LAL,"$4,149,242 ",,,,,,1st Round Pick,"$4,149,242 "
Tyler Ennis,LAL,"$1,524,305 ","$1,656,092 ",,,,,Minimum Salary,"$1,524,305 "
Vander Blue,LAL,"$1,471,382 ",,,,,,Minimum Salary,"$50,000 "
Larry Nance Jr.,LAL,"$1,471,382 ","$2,272,391 ",,,,,1st Round pick,"$1,471,382 "
Briante Weber,LAL,"$1,471,382 ",,,,,,Minimum Salary,"$50,000 "
Kyle Kuzma,LAL,"$1,423,560 ","$1,689,840 ","$1,974,600 ","$3,562,178 ",,,1st Round Pick,"$3,113,400 "
Josh Hart,LAL,"$1,394,520 ","$1,655,160 ","$1,934,160 ","$3,491,159 ",,,1st Round Pick,"$3,049,680 "
Stephen Zimmerman,LAL,"$1,312,611 ",,,,,,Minimum Salary,
Ivica Zubac,LAL,"$1,312,611 ","$1,544,951 ",,,,,Cap Space,"$1,312,611 "
Thomas Bryant,LAL,"$815,615 ","$1,378,242 ",,,,,Minimum Salary,"$815,615 "
V.J. Beachem,LAL,"$815,615 ",,,,,,Minimum Salary,"$50,000 "
Bismack Biyombo,ORL,"$17,000,000 ","$17,000,000 ","$17,000,000 ",,,,Cap Space,"$34,000,000 "
Evan Fournier,ORL,"$17,000,000 ","$17,000,000 ","$17,000,000 ","$17,000,000 ",,,Cap Space,"$51,000,000 "
Nikola Vucevic,ORL,"$12,250,000 ","$12,750,000 ",,,,,Bird Rights,"$25,000,000 "
Terrence Ross,ORL,"$10,500,000 ","$10,500,000 ",,,,,Rookie scale extension,"$21,000,000 "
D.J. Augustin,ORL,"$7,250,000 ","$7,250,000 ","$7,250,000 ",,,,Cap Space,"$21,750,000 "
Jonathon Simmons,ORL,"$6,300,000 ","$6,000,000 ","$5,700,000 ",,,,Cap space,"$13,300,000 "
Shelvin Mack,ORL,"$6,000,000 ","$6,000,000 ",,,,,Cap space,"$6,000,000 "
Aaron Gordon,ORL,"$5,504,420 ",,,,,,1st Round Pick,"$5,504,420 "
Jonathan Isaac,ORL,"$4,186,320 ","$4,969,080 ","$5,806,440 ","$7,362,566 ",,,1st Round Pick,"$9,155,400 "
Mario Hezonja,ORL,"$4,078,320 ","$5,167,231 ",,,,,1st round pick,"$4,078,320 "
Elfrid Payton,ORL,"$3,332,340 ",,,,,,1st Round Pick,"$3,332,340 "
Arron Afflalo,ORL,"$2,328,652 ",,,,,,Minimum Salary,"$2,328,652 "
Marreese Speights,ORL,"$2,116,955 ",,,,,,Minimum Salary,"$2,116,955 "
Wesley Iwundu,ORL,"$1,050,000 ","$1,378,242 ","$1,618,520 ",,,,,"$2,428,242 "
Troy Caupain,ORL,"$815,615 ",,,,,,Minimum Salary,
Khem Birch,ORL,"$815,615 ","$1,378,242 ",,,,,Minimum Salary,"$25,000 "
C.J. Watson,ORL,"$333,334 ","$333,333 ","$333,333 ",,,,,"$1,000,000 "
Allen Crabbe,BRK,"$19,332,500 ","$18,500,000 ","$18,500,000 ",,,,Cap Space,"$37,832,500 "
Timofey Mozgov,BRK,"$15,280,000 ","$16,000,000 ","$16,720,000 ",,,,Cap Space,"$48,000,000 "
DeMarre Carroll,BRK,"$14,800,000 ","$15,400,000 ",,,,,Cap Space,"$30,200,000 "
Jeremy Lin,BRK,"$12,000,000 ","$12,516,746 ",,,,,Cap Space,"$12,000,000 "
Trevor Booker,BRK,"$9,125,000 ",,,,,,Cap Space,"$9,125,000 "
D'Angelo Russell,BRK,"$5,562,360 ","$7,019,698 ",,,,,1st round pick,"$5,562,360 "
Jarrett Allen,BRK,"$1,713,720 ","$2,034,120 ","$2,376,840 ","$3,909,902 ",,,1st Round Pick,"$3,747,840 "
Quincy Acy,BRK,"$1,709,538 ",,,,,,Cap space,
Caris LeVert,BRK,"$1,632,480 ","$1,702,800 ","$2,625,718 ",,,,1st Round pick,"$1,632,480 "
Sean Kilpatrick,BRK,"$1,524,305 ",,,,,,Minimum Salary,"$1,524,305 "
Joe Harris,BRK,"$1,524,305 ",,,,,,Minimum Salary,"$1,524,305 "
Spencer Dinwiddie,BRK,"$1,524,305 ","$1,656,092 ",,,,,Minimum Salary,"$50,000 "
Rondae Hollis-Jefferson,BRK,"$1,471,382 ","$2,470,357 ",,,,,1st Round pick,"$1,471,382 "
Isaiah Whitehead,BRK,"$1,312,611 ","$1,544,951 ","$1,676,735 ",,,,Cap Space,"$1,312,611 "
Milton Doyle,BRK,"$815,615 ",,,,,,Minimum Salary,
Jeremy Senglin,BRK,"$815,615 ",,,,,,Minimum Salary,
Deron Williams,BRK,"$5,500,000 ","$5,500,000 ","$5,500,000 ",,,,,"$16,500,000 "
Kent Bazemore,ATL,"$16,910,113 ","$18,089,887 ","$19,269,662 ",,,,Cap Space,"$35,000,000 "
Dennis Schroder,ATL,"$15,500,000 ","$15,500,000 ","$15,500,000 ","$15,500,000 ",,,1st Round Pick,"$62,000,000 "
Miles Plumlee,ATL,"$12,500,000 ","$12,500,000 ","$12,500,000 ",,,,Bird Rights,"$37,500,000 "
Marco Belinelli,ATL,"$6,606,060 ",,,,,,Cap Space,"$6,606,060 "
Dewayne Dedmon,ATL,"$6,000,000 ","$6,300,000 ",,,,,Cap space,"$6,000,000 "
Ersan Ilyasova,ATL,"$6,000,000 ",,,,,,Cap space,"$6,000,000 "
Mike Muscala,ATL,"$5,000,000 ","$5,000,000 ",,,,,Cap space,"$5,000,000 "
Malcolm Delaney,ATL,"$2,500,000 ",,,,,,Room Exception,"$2,500,000 "
Taurean Waller-Prince,ATL,"$2,422,560 ","$2,526,840 ","$3,481,986 ",,,,1st Round pick,"$2,422,560 "
Luke Babbitt,ATL,"$1,974,159 ",,,,,,Minimum Salary,"$987,080 "
John Collins,ATL,"$1,936,920 ","$2,299,080 ","$2,686,560 ","$4,137,302 ",,,1st Round Pick,"$4,236,000 "
DeAndre' Bembry,ATL,"$1,567,200 ","$1,634,640 ","$2,603,982 ",,,,1st Round pick,"$1,567,200 "
Nicolas Brussino,ATL,"$1,312,611 ","$1,544,951 ",,,,,Minimum Salary,"$1,312,611 "
Tyler Dorsey,ATL,"$815,615 ","$1,378,242 ",,,,,Minimum Salary,"$2,193,857 "
Jamal Crawford,ATL,"$10,942,762 ","$2,304,226 ",,,,,,"$13,246,988 "
Mike Dunleavy,ATL,"$1,662,500 ",,,,,,,"$1,662,500 "
Diamond Stone,ATL,"$1,312,611 ",,,,,,,"$1,312,611 "
George Hill,SAC,"$20,000,000 ","$19,000,000 ","$18,000,000 ",,,,Cap space,"$40,000,000 "
Zach Randolph,SAC,"$12,307,692 ","$11,692,308 ",,,,,Cap space,"$24,000,000 "
Bogdan Bogdanovic,SAC,"$9,470,614 ","$9,000,000 ","$8,529,386 ",,,,Cap space,"$27,000,000 "
Kosta Koufos,SAC,"$8,393,000 ","$8,739,500 ",,,,,Cap Space,"$8,393,000 "
Vince Carter,SAC,"$8,000,000 ",,,,,,Cap space,"$8,000,000 "
Garrett Temple,SAC,"$8,000,000 ","$8,000,000 ",,,,,Cap Space,"$8,000,000 "
De'Aaron Fox,SAC,"$4,609,200 ","$5,407,920 ","$6,392,760 ","$8,099,627 ",,,1st Round Pick,"$10,017,120 "
Willie Cauley-Stein,SAC,"$3,704,160 ","$4,696,875 ",,,,,1st round pick,"$3,704,160 "
Buddy Hield,SAC,"$3,675,480 ","$3,833,760 ","$4,861,208 ",,,,1st Round pick,"$3,675,480 "
Justin Jackson,SAC,"$2,365,560 ","$2,807,880 ","$3,280,920 ","$5,029,650 ",,,1st Round Pick,"$5,173,440 "
Georgios Papagiannis,SAC,"$2,301,360 ","$2,400,480 ","$3,430,288 ",,,,1st Round pick,"$2,301,360 "
Harry Giles,SAC,"$1,859,400 ","$2,207,040 ","$2,578,800 ","$3,976,510 ",,,1st Round Pick,"$4,066,440 "
Malachi Richardson,SAC,"$1,504,560 ","$1,569,360 ","$2,581,597 ",,,,1st Round pick,"$1,504,560 "
Skal Labissiere,SAC,"$1,312,611 ","$1,544,951 ","$2,338,847 ",,,,1st Round pick,"$1,312,611 "
Frank Mason,SAC,"$1,184,385 ","$1,378,242 ","$1,618,520 ",,,,,"$2,562,627 "
Matt Barnes,SAC,"$2,133,542 ","$2,133,542 ","$2,133,541 ",,,,,"$6,400,625 "
Anthony Tolliver,SAC,"$2,000,000 ",,,,,,,"$2,000,000 "
Arron Afflalo,SAC,"$1,500,000 ",,,,,,,"$1,500,000 "
Caron Butler,SAC,"$517,220 ","$517,220 ",,,,,,"$1,034,440 "
Victor Oladipo,IND,"$21,000,000 ","$21,000,000 ","$21,000,000 ","$21,000,000 ",,,1st Round Pick,"$84,000,000 "
Thaddeus Young,IND,"$14,796,348 ","$13,764,045 ",,,,,Bird Rights,"$14,796,348 "
Bojan Bogdanovic,IND,"$10,500,000 ","$10,500,000 ",,,,,Cap space,"$12,000,000 "
Darren Collison,IND,"$10,000,000 ","$10,000,000 ",,,,,Cap space,"$12,000,000 "
Al Jefferson,IND,"$9,769,821 ","$10,000,000 ",,,,,Cap Space,"$13,769,821 "
Cory Joseph,IND,"$7,630,000 ","$7,945,000 ",,,,,Cap Space,"$7,630,000 "
Lance Stephenson,IND,"$4,180,000 ","$4,360,000 ",,,,,Cap space,"$4,180,000 "
Myles Turner,IND,"$2,569,920 ","$3,410,284 ",,,,,1st round pick,"$5,980,204 "
Domantas Sabonis,IND,"$2,550,000 ","$2,659,800 ","$3,529,555 ",,,,1st Round pick,"$2,550,000 "
Damien Wilkins,IND,"$2,116,955 ",,,,,,Minimum Salary,"$25,000 "
T.J. Leaf,IND,"$2,028,360 ","$2,407,560 ","$2,813,280 ","$4,326,825 ",,,1st Round Pick,"$4,435,920 "
Glenn Robinson,IND,"$1,524,305 ",,,,,,Minimum Salary,
Joe Young,IND,"$1,471,382 ","$1,600,520 ",,,,,Cap Space,"$1,471,382 "
Ike Anigbogu,IND,"$950,000 ","$1,378,242 ","$1,618,520 ",,,,Cap space,"$1,640,000 "
Ben Moore,IND,"$815,615 ",,,,,,Minimum Salary,
Monta Ellis,IND,"$2,245,400 ","$2,245,400 ","$2,245,400 ","$2,245,400 ","$2,245,400 ",,,"$11,227,000 "
Rakeem Christmas,IND,"$172,552 ",,,,,,,"$172,552 "
Georges Niang,IND,"$100,000 ",,,,,,,"$100,000 "
Harrison Barnes,DAL,"$23,112,004 ","$24,107,258 ","$25,102,512 ",,,,Cap Space,"$47,219,262 "
Wesley Matthews,DAL,"$17,884,176 ","$18,622,514 ",,,,,Cap Space,"$17,884,176 "
Dwight Powell,DAL,"$9,003,125 ","$9,631,250 ","$10,259,375 ",,,,Cap Space,"$18,634,375 "
Josh McRoberts,DAL,"$6,021,175 ",,,,,,MLE,"$6,021,175 "
Dirk Nowitzki,DAL,"$5,000,000 ","$5,000,000 ",,,,,Cap space,"$5,000,000 "
Devin Harris,DAL,"$4,402,546 ",,,,,,Cap Space,"$1,339,662 "
Nerlens Noel,DAL,"$4,187,599 ",,,,,,1st Round Pick,"$4,187,599 "
J.J. Barea,DAL,"$3,903,900 ","$3,710,850 ",,,,,Cap Space,"$7,614,750 "
Dennis Smith,DAL,"$3,218,280 ","$3,819,960 ","$4,463,640 ","$5,686,677 ",,,1st Round Pick,"$7,038,240 "
Seth Curry,DAL,"$3,028,410 ",,,,,,Room exception,"$3,028,410 "
Jeff Withey,DAL,"$1,577,320 ","$1,795,015 ",,,,,Minimum Salary,"$350,000 "
Salah Mejri,DAL,"$1,471,382 ",,,,,,Minimum Salary,"$1,471,382 "
Maalik Wayns,DAL,"$1,471,382 ",,,,,,Minimum Salary,
Yogi Ferrell,DAL,"$1,312,611 ",,,,,,Minimum Salary,"$1,312,611 "
Dorian Finney-Smith,DAL,"$1,312,611 ","$1,544,951 ",,,,,Minimum Salary,
Brandon Ashley,DAL,"$815,615 ",,,,,,Minimum Salary,
Maxi Kleber,DAL,"$815,615 ","$1,378,242 ",,,,,Minimum Salary,"$815,615 "
PJ Dozier,DAL,"$815,615 ",,,,,,Minimum Salary,
Gian Clavell,DAL,"$815,615 ",,,,,,Minimum Salary,
Gal Mekel,DAL,"$315,760 ",,,,,,,"$315,760 "
Paul Millsap,DEN,"$31,269,231 ","$29,730,769 ","$30,500,000 ",,,,Cap space,"$61,000,000 "
Kenneth Faried,DEN,"$12,921,348 ","$13,764,045 ",,,,,1st Round Pick,"$26,685,393 "
Wilson Chandler,DEN,"$12,016,854 ","$12,800,562 ",,,,,,"$12,016,854 "
Darrell Arthur,DEN,"$7,464,912 ","$7,464,912 ",,,,,Cap Space,"$7,464,912 "
Jameer Nelson,DEN,"$4,736,050 ",,,,,,Cap Space,"$4,736,050 "
Will Barton,DEN,"$3,533,333 ",,,,,,Bird Rights,"$3,533,333 "
Emmanuel Mudiay,DEN,"$3,381,480 ","$4,294,480 ",,,,,1st round pick,"$3,381,480 "
Jamal Murray,DEN,"$3,355,320 ","$3,499,800 ","$4,444,746 ",,,,1st Round pick,"$3,355,320 "
Gary Harris,DEN,"$2,550,055 ",,,,,,1st Round Pick,"$2,550,055 "
Trey Lyles,DEN,"$2,441,400 ","$3,364,249 ",,,,,1st round pick,"$2,441,400 "
Juan Hernangomez,DEN,"$2,076,840 ","$2,166,360 ","$3,321,030 ",,,,1st Round pick,"$2,076,840 "
Malik Beasley,DEN,"$1,700,640 ","$1,773,840 ","$2,731,714 ",,,,1st Round pick,"$1,700,640 "
Tyler Lydon,DEN,"$1,579,440 ","$1,874,640 ","$2,190,720 ",,,,1st Round Pick,"$3,454,080 "
Nikola Jokic,DEN,"$1,417,382 ","$1,600,520 ",,,,,,"$1,417,382 "
J.J. Redick,PHI,"$23,000,000 ",,,,,,Cap space,"$23,000,000 "
Amir Johnson,PHI,"$11,000,000 ",,,,,,Cap space,"$11,000,000 "
Jerryd Bayless,PHI,"$9,000,000 ","$8,575,916 ",,,,,Cap Space,"$17,575,916 "
Markelle Fultz,PHI,"$7,026,240 ","$8,339,880 ","$9,745,200 ","$12,288,697 ",,,1st Round Pick,"$15,366,120 "
Ben Simmons,PHI,"$6,168,840 ","$6,434,520 ","$8,113,930 ",,,,1st Round pick,"$6,168,840 "
Joel Embiid,PHI,"$6,100,266 ",,,,,,1st Round Pick,"$6,100,266 "
Jahlil Okafor,PHI,"$4,995,120 ","$6,313,832 ",,,,,1st round pick,"$4,995,120 "
Nik Stauskas,PHI,"$3,807,146 ",,,,,,1st Round Pick,"$3,807,146 "
Dario Saric,PHI,"$2,422,560 ","$2,526,840 ","$3,481,986 ",,,,1st Round pick,"$2,422,560 "
Justin Anderson,PHI,"$1,579,440 ","$2,516,048 ",,,,,1st Round pick,"$1,579,440 "
Robert Covington,PHI,"$1,577,230 ",,,,,,Cap Space,
T.J. McConnell,PHI,"$1,471,382 ","$1,600,520 ",,,,,Minimum Salary,
Richaun Holmes,PHI,"$1,471,382 ","$1,600,520 ",,,,,Cap Space,
Furkan Korkmaz,PHI,"$1,465,920 ","$1,740,000 ","$2,033,160 ","$3,665,787 ",,,1st Round Pick,"$3,205,920 "
Timothe Luwawu-Cabarrot,PHI,"$1,386,600 ","$1,544,951 ","$2,529,684 ",,,,1st Round pick,"$1,386,600 "
James Blackmon,PHI,"$815,615 ",,,,,,Minimum Salary,
Gerald Henderson,PHI,"$1,000,000 ",,,,,,,"$1,000,000 "
Tibor Pleiss,PHI,"$500,000 ",,,,,,,"$500,000 "
Eric Bledsoe,PHO,"$14,500,000 ","$15,000,000 ",,,,,Bird Rights,"$29,500,000 "
Brandon Knight,PHO,"$13,618,750 ","$14,631,250 ","$15,643,750 ",,,,,"$43,893,750 "
Tyson Chandler,PHO,"$13,000,000 ","$13,585,000 ",,,,,Cap Space,"$26,585,000 "
Jared Dudley,PHO,"$10,000,000 ","$9,530,000 ",,,,,Cap Space,"$19,530,000 "
Alan Williams,PHO,"$6,000,000 ","$5,520,000 ","$5,520,000 ",,,,Cap space,"$6,000,000 "
Josh Jackson,PHO,"$5,090,040 ","$6,041,520 ","$7,059,480 ","$8,930,242 ",,,1st Round Pick,"$11,131,560 "
Dragan Bender,PHO,"$4,468,800 ","$4,661,280 ","$5,896,519 ",,,,1st Round pick,"$4,468,800 "
T.J. Warren,PHO,"$3,152,931 ",,,,,,1st Round Pick,"$3,152,931 "
Marquese Chriss,PHO,"$3,073,800 ","$3,206,160 ","$4,078,236 ",,,,1st Rd pick,"$3,073,800 "
Devin Booker,PHO,"$2,319,360 ","$3,314,365 ",,,,,1st round pick,"$2,319,360 "
Elijah Millsap,PHO,"$1,524,305 ",,,,,,Cap space,
Tyler Ulis,PHO,"$1,312,611 ","$1,544,951 ","$1,676,735 ",,,,Cap Space,"$1,312,611 "
Derrick Jones,PHO,"$1,312,611 ","$1,544,951 ",,,,,Minimum Salary,
Davon Reed,PHO,"$815,615 ","$1,378,242 ","$1,618,520 ",,,,Minimum Salary,"$1,504,736 "
Leandro Barbosa,PHO,"$500,000 ",,,,,,,"$500,000 "
Dwyane Wade,CHI,"$23,800,000 ",,,,,,Cap Space,"$23,800,000 "
Robin Lopez,CHI,"$13,788,500 ","$14,357,750 ",,,,,Cap Space,"$28,146,250 "
Cristiano Felicio,CHI,"$7,843,500 ","$8,470,980 ","$8,156,500 ","$7,529,020 ",,,Cap space,"$32,000,000 "
Justin Holiday,CHI,"$4,615,385 ","$4,384,616 ",,,,,MLE,"$9,000,001 "
Kris Dunn,CHI,"$4,046,760 ","$4,221,000 ","$5,348,007 ",,,,1st Round pick,"$4,046,760 "
Quincy Pondexter,CHI,"$3,853,931 ",,,,,,1st Round Pick,"$3,853,931 "
Lauri Markkanen,CHI,"$3,821,640 ","$4,536,120 ","$5,300,400 ","$6,731,508 ",,,1st Round Pick,"$8,357,760 "
Zach LaVine,CHI,"$3,202,217 ",,,,,,1st Round Pick,"$3,202,217 "
Cameron Payne,CHI,"$2,203,440 ","$3,263,295 ",,,,,1st round pick,"$2,203,440 "
Denzel Valentine,CHI,"$2,186,400 ","$2,280,600 ","$3,377,569 ",,,,1st Round pick,"$2,186,400 "
Jerian Grant,CHI,"$1,713,840 ","$2,639,314 ",,,,,1st Round pick,"$1,713,840 "
Bobby Portis,CHI,"$1,516,320 ","$2,494,346 ",,,,,1st Round pick,"$1,516,320 "
Paul Zipser,CHI,"$1,312,611 ","$1,544,951 ","$1,676,735 ",,,,Cap Space,"$1,312,611 "
David Nwaba,CHI,"$1,312,611 ",,,,,,Minimum Salary,
Rajon Rondo,CHI,"$3,000,000 ",,,,,,,"$3,000,000 "
Isaiah Canaan,CHI,"$200,000 ",,,,,,,"$200,000 "
