player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Jules Buddy Quertinmont,Guard,75.0,190,,West Virginia,1965,3,68.0,10.1,2.6,,45.9,,73.3,,,
Dario Quesada,Center,81.0,206,,Texas A&M,1997,3,80.0,7.0,4.9,1.5,42.8,28.6,73.9,45.1,,
Marc Quesenberry,Guard,73.0,185,,ETSU,1983,4,110.0,5.4,1.5,,47.7,,81.0,,,
B.J. Quesinberry,Guard,73.0,185,,Virginia Tech,1963,3,61.0,4.0,1.5,,43.2,,84.8,,,
Mike Quesnal,,,,,Maine,1978,1,2.0,0.5,,,,,50.0,,,
Matt Quest,Forward,78.0,198,,Wisconsin,1997,1,10.0,0.1,1.0,0.0,0.0,,16.7,0.0,,0.0
Manny Quezada,Guard,74.0,188,,Rutgers and San Francisco,2009,4,111.0,10.5,2.7,2.9,42.6,35.6,80.2,49.3,,6.6
Imad Quhwash,Guard,74.0,188,,Central Arkansas,2010,3,79.0,3.8,2.6,1.5,39.9,13.3,66.2,40.9,,
Adam Quick,Guard,74.0,188,,Portland,2004,4,114.0,8.1,2.7,4.6,40.0,34.6,82.6,50.5,,6.0
Austin Quick,Guard,75.0,180,Murrieta Valley,UC-Riverside,2015,4,119.0,4.0,1.8,1.7,35.9,30.4,68.6,44.9,9.3,2.1
Bob Quick,Forward,77.0,196,,Xavier,1968,3,78.0,21.0,12.0,,47.6,,71.3,,,
David Quick,Forward,80.0,203,,Air Force,1991,4,65.0,0.9,1.3,,40.4,,,,,
Dillard Quick,Forward,79.0,201,,Ole Miss,1993,2,51.0,4.0,3.1,0.8,47.4,,59.6,47.4,,
Dillard Quick,Forward,80.0,203,,Samford,1990,1,8.0,2.4,2.0,0.8,39.1,100.0,,41.3,,
Gregory Quick,Forward,80.0,203,,Norfolk State,2001,1,27.0,2.3,1.6,0.1,62.9,,48.6,62.9,,0.6
Landon Quick,Guard,73.0,185,,High Point,2007,4,122.0,5.5,2.4,3.1,45.1,28.4,66.3,47.3,,5.9
Melvin Quick,,,,,South Carolina,1960,2,27.0,4.3,2.4,,26.8,,63.0,,,
Mike Quick,Guard,75.0,190,,San Francisco,1973,3,81.0,12.6,2.3,,40.0,,78.1,,,
Nick Quick,Guard,72.0,183,,UCSB,2009,2,23.0,0.9,0.2,0.1,31.8,33.3,66.7,43.2,,0.0
Ronnie Quick,Center,77.0,196,,Auburn,1967,3,,,,,,,,,,
Bill Quigg,Center,80.0,203,,Gonzaga,1971,3,77.0,11.3,8.2,,46.7,,49.1,,,
Joe Quigg,,,,,UNC,1957,2,54.0,11.0,8.8,,41.9,,68.4,,,
John Quigg,Center,79.0,201,,Washington,1973,3,54.0,1.5,2.2,,41.0,,43.2,,,
Jack Quiggle,Guard,75.0,190,,Michigan State,1958,3,69.0,11.6,5.5,,39.2,,68.6,,,
Daniel Quigley,Forward,79.0,201,,Furman,1999,4,109.0,8.3,6.6,0.7,47.8,34.2,64.9,51.3,,6.7
