Player,Pos,Shooting_hand,Height_inches,Weight_lbs,College,Draft_year,Draft_position,Season_count,Age,G,GS,MP,FG,FGA,FG_PERC,THREE_P,THREE_PA,THREE_PERC,TWO_P,TWO_PA,TWO_PERC,EFG_PERC,FT,FTA,FT_PERC,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ALL_STAR,PER,WS,SALARY
Raul Neto,PG,Right,73,179,no_college,2013,47,2,24,40,0,346,41,91,0.451,10,31,0.323,31,60,0.517,0.505,8,9,0.889,4,26,30,34,21,5,15,48,100,0,10.7,0.7,937800
Raymond Felton,PG,Right,73,205,University of North Carolina,2005,5,14,32,80,11,1700,221,514,0.43,46,144,0.319,175,370,0.473,0.475,50,64,0.781,33,185,218,191,66,22,83,125,538,0,10.9,1.9,1551659
Reggie Bullock,SF,Right,79,205,University of North Carolina,2013,25,6,25,31,5,467,54,128,0.422,28,73,0.384,26,55,0.473,0.531,5,7,0.714,13,51,64,29,18,3,10,22,141,0,11.7,1,2255644
Reggie Jackson,PG,Right,75,208,no_college,2011,24,8,26,52,50,1424,284,677,0.419,66,184,0.359,218,493,0.442,0.468,118,136,0.868,21,93,114,270,35,5,114,129,752,0,14.9,1.9,14956522
Reggie Williams,SF,Left,78,205,Virginia Military Institute,0,0,7,30,6,0,79,8,23,0.348,5,11,0.455,3,12,0.25,0.457,6,7,0.857,2,4,6,4,3,0,0,2,27,0,11.7,0.2,50000
Richard Jefferson,SF,Right,79,233,University of Arizona,2001,13,18,36,79,13,1614,153,343,0.446,62,186,0.333,91,157,0.58,0.536,80,108,0.741,28,175,203,78,26,10,52,153,448,0,8.3,2.1,2500000
Richaun Holmes,C,Right,82,245,Bowling Green State University,2015,37,2,23,57,17,1193,230,412,0.558,27,77,0.351,203,335,0.606,0.591,72,103,0.699,94,217,311,58,42,55,55,136,559,0,18.6,3.8,1025831
Ricky Rubio,PG,Right,76,194,no_college,2009,5,6,26,75,75,2469,261,650,0.402,60,196,0.306,201,454,0.443,0.448,254,285,0.891,68,237,305,682,128,10,195,202,836,0,16.8,6.1,12365000
Robert Covington,SF,Right,81,215,Tennessee State University,0,0,4,26,67,67,2119,292,732,0.399,137,412,0.333,155,320,0.484,0.492,143,174,0.822,92,344,436,102,127,69,131,203,864,0,13.2,3.1,1015696
Robin Lopez,C,Right,84,255,Stanford University,2008,15,9,28,81,81,2271,382,775,0.493,0,2,0,382,773,0.494,0.493,75,104,0.721,244,276,520,80,18,117,91,151,839,0,14.4,4.3,13219250
Rodney Hood,SG,Left,80,206,Duke University,2014,23,3,24,59,55,1593,272,666,0.408,114,307,0.371,158,359,0.44,0.494,90,115,0.783,16,186,202,96,38,11,65,132,748,0,12.4,2.6,1406520
Rodney McGruder,SG,Right,76,205,Kansas State University,0,0,1,25,78,65,1966,190,460,0.413,73,220,0.332,117,240,0.488,0.492,44,71,0.62,94,162,256,124,46,18,56,140,497,0,9.1,2.9,1543471
Rodney Stuckey,PG,Right,77,210,Eastern Washington University,2007,15,10,30,39,0,696,91,244,0.373,19,60,0.317,72,184,0.391,0.412,80,107,0.748,6,78,84,84,16,0,53,44,281,0,9.5,0.1,7000000
Ron Baker,SG,Right,76,220,Wichita State University,0,0,1,23,52,13,857,82,217,0.378,23,86,0.267,59,131,0.45,0.431,28,43,0.651,12,86,98,107,34,8,56,74,215,0,7.5,0.1,1543471
Rondae Hollis-Jefferson,SF,Left,79,220,University of Arizona,2015,23,2,22,78,50,1761,235,542,0.434,15,67,0.224,220,475,0.463,0.447,190,253,0.751,96,356,452,154,82,44,116,177,675,0,13.7,2.6,1395600
Ronnie Price,PG,Right,74,190,Utah Valley State College,0,0,12,33,14,0,134,4,24,0.167,3,17,0.176,1,7,0.143,0.229,3,4,0.75,3,8,11,18,11,1,3,14,14,0,5.9,0,3465143
Roy Hibbert,C,Right,86,270,Georgetown University,2008,17,11,30,96,26,1364,160,294,0.584333333,0,0,,160,294,0.584333333,0.584333333,122,150,0.813,108,196,304,42,16,92,64,200,442,1,13.5,1.8,5000000
Rudy Gay,SF,Right,80,230,University of Connecticut,2006,8,15,30,30,30,1013,201,442,0.455,42,113,0.372,159,329,0.483,0.502,118,138,0.855,35,155,190,83,44,26,74,79,562,0,17.9,1.8,13333333
Rudy Gobert,C,Right,85,245,no_college,2013,27,4,24,81,81,2744,413,625,0.661,0,1,0,413,624,0.662,0.661,311,476,0.653,314,721,1035,97,49,214,147,246,1137,0,23.3,14.3,2121288
Russell Westbrook,PG,Right,75,200,"University of California, Los Angeles",2008,4,9,28,81,81,2802,824,1941,0.425,200,583,0.343,624,1358,0.459,0.476,710,840,0.845,137,727,864,840,132,31,438,190,2558,1,30.6,13.1,26540100
Ryan Anderson,PF,Right,82,240,University of California,2008,21,9,28,72,72,2116,323,773,0.418,204,506,0.403,119,267,0.446,0.55,129,150,0.86,112,218,330,68,31,14,55,142,979,0,13.5,5.2,18735364
Ryan Kelly,PF,Right,83,230,Duke University,2013,48,4,25,16,0,110,8,28,0.286,4,10,0.4,4,18,0.222,0.357,5,6,0.833,1,17,18,8,4,5,4,5,25,0,7.8,0.1,8418228
Salah Mejri,C,Right,85,245,no_college,0,0,2,30,73,11,905,88,137,0.642,1,3,0.333,87,134,0.649,0.646,36,61,0.59,97,211,308,14,32,61,40,152,213,0,14.8,3,6874636
Sam Dekker,SF,Right,81,230,University of Wisconsin,2015,18,2,22,77,2,1419,203,429,0.473,60,187,0.321,143,242,0.591,0.543,38,68,0.559,94,190,284,76,38,21,41,83,504,0,13.1,3.1,1646400
Sasha Vujacic,SG,Right,79,195,no_college,2004,27,12,32,42,4,408,42,136,0.309,23,74,0.311,19,62,0.306,0.393,17,24,0.708,12,47,59,52,13,2,16,38,124,0,8.6,0.1,1410598
Sean Kilpatrick,SG,Right,76,210,University of Cincinnati,0,0,5,27,70,24,1754,305,735,0.415,105,308,0.341,200,427,0.468,0.486,204,242,0.843,22,258,280,157,45,6,135,118,919,0,13.1,1.4,1980431
Semaj Christon,PG,Right,75,190,Xavier University,2014,55,1,24,64,1,973,77,223,0.345,12,63,0.19,65,160,0.406,0.372,17,31,0.548,19,68,87,130,28,7,43,79,183,0,5.7,0.1,1543471
Serge Ibaka,PF,Right,82,235,no_college,2008,24,10,27,158,158,4844,942,1964,0.475666667,248,634,0.392333333,694,1330,0.516,0.540666667,214,250,0.861333333,258,818,1076,150,82,248,210,430,2346,0,16.4,5.1,12250000
Sergio Rodriguez,PG,Right,75,176,no_college,2006,27,7,30,68,30,1518,210,536,0.392,92,252,0.365,118,284,0.415,0.478,18,27,0.667,21,136,157,344,49,4,128,95,530,0,11.1,0.7,8000000
Seth Curry,PG,Right,74,185,Duke University,0,0,6,26,70,42,2029,338,703,0.481,137,322,0.425,201,381,0.528,0.578,85,100,0.85,25,154,179,189,79,7,92,126,898,0,15.5,4.6,2898000
Shabazz Muhammad,SF,Left,78,223,"University of California, Los Angeles",2013,14,4,24,78,1,1516,288,598,0.482,49,145,0.338,239,453,0.528,0.523,147,190,0.774,84,136,220,35,22,6,56,86,772,0,14.9,2.7,3046299
Shabazz Napier,PG,Right,73,175,University of Connecticut,2014,24,3,25,53,2,512,73,183,0.399,34,92,0.37,39,91,0.429,0.492,38,49,0.776,8,53,61,67,32,2,41,38,218,0,13.6,0.6,1350120
Shaun Livingston,PG,Right,79,192,no_college,2004,4,18,31,76,3,1345,173,316,0.547,1,3,0.333,172,313,0.55,0.549,42,60,0.7,28,123,151,139,38,20,62,120,389,0,10.1,2.6,5782450
Shawn Long,C,Right,81,255,University of Louisiana at Lafayette,0,0,1,24,18,0,234,61,109,0.56,7,19,0.368,54,90,0.6,0.592,19,35,0.543,41,44,85,13,9,9,13,49,148,0,24.1,0.9,6996969
Sheldon McClellan,SG,Right,77,200,University of Miami,0,0,1,24,30,3,287,30,75,0.4,7,30,0.233,23,45,0.511,0.447,23,27,0.852,4,30,34,15,8,2,5,17,90,0,10.1,0.5,1543471
Shelvin Mack,PG,Right,75,203,Butler University,2011,34,11,26,55,9,1205,170,381,0.446,37,120,0.308,133,261,0.51,0.495,53,77,0.688,20,105,125,154,42,3,90,100,430,0,10.9,1.4,2433334
Skal Labissiere,PF,Right,83,225,no_college,2016,28,1,20,33,12,612,117,218,0.537,3,8,0.375,114,210,0.543,0.544,52,74,0.703,51,111,162,27,16,13,37,64,289,0,16.8,1.3,1188840
Solomon Hill,SF,Right,79,225,University of Arizona,2013,23,4,25,80,71,2374,183,478,0.383,94,270,0.348,89,208,0.428,0.481,103,128,0.805,51,256,307,141,72,32,82,182,563,0,8,2.7,11241218
Spencer Dinwiddie,PG,Right,78,200,University of Colorado,2014,38,3,23,59,18,1334,134,302,0.444,38,101,0.376,96,201,0.478,0.507,126,159,0.792,27,137,164,185,44,23,66,119,432,0,12.7,2.8,2726672
Spencer Hawes,PF,Right,85,245,University of Washington,2007,10,14,28,108,2,1594,268,554,0.489666667,50,162,0.315333333,218,392,0.577333333,0.542666667,88,104,0.835333333,76,306,382,162,30,60,98,154,674,0,15.6,1.7,6348759
Stanley Johnson,SF,Right,79,245,University of Arizona,2015,8,2,20,77,1,1371,129,365,0.353,45,154,0.292,84,211,0.398,0.415,36,53,0.679,36,153,189,105,56,24,71,121,339,0,7.2,0.4,2969880
Stephen Curry,PG,Right,75,190,Davidson College,2009,7,8,28,79,79,2638,675,1443,0.468,324,789,0.411,351,654,0.537,0.58,325,362,0.898,61,292,353,524,142,17,239,183,1999,1,24.6,12.6,12112359
Stephen Zimmerman,C,Left,84,240,"University of Nevada, Las Vegas",2016,41,1,20,19,0,108,10,31,0.323,0,0,,10,31,0.323,0.323,3,5,0.6,11,24,35,4,2,5,3,17,23,0,7.3,0,950000
Steve Novak,PF,Right,82,225,Marquette University,2006,32,11,33,8,0,22,2,7,0.286,1,6,0.167,1,1,1,0.357,0,0,,0,3,3,0,0,0,0,1,5,0,1.3,0,1551659
Steven Adams,C,Right,84,255,no_college,2013,12,4,23,80,80,2389,374,655,0.571,0,1,0,374,654,0.572,0.571,157,257,0.611,281,332,613,86,89,78,146,195,905,0,16.5,6.5,3140517
T.J. McConnell,PG,Right,74,200,University of Arizona,0,0,2,24,81,51,2133,236,512,0.461,11,55,0.2,225,457,0.492,0.472,73,90,0.811,39,212,251,534,134,10,159,139,556,0,13.7,3.8,6874636
T.J. Warren,SF,Right,80,230,North Carolina State University,2014,14,3,23,66,59,2048,403,814,0.495,26,98,0.265,377,716,0.527,0.511,119,154,0.773,125,214,339,75,76,39,57,175,951,0,15.6,4.1,2128920
Taj Gibson,PF,Right,81,225,University of Southern California,2009,26,10,31,156,142,3978,730,1418,0.511,6,26,0.466,724,1392,0.514333333,0.513333333,226,316,0.715666667,316,654,970,146,82,130,210,326,1692,0,15,4,8950000
Tarik Black,C,Right,81,250,University of Kansas,0,0,5,25,67,16,1091,150,294,0.51,1,2,0.5,149,292,0.51,0.512,82,109,0.752,144,199,343,39,29,44,58,173,383,0,15,2.4,6191000
Taurean Waller-Prince,SF,Right,80,220,Baylor University,2016,12,1,22,59,10,981,114,285,0.4,33,102,0.324,81,183,0.443,0.458,74,94,0.787,25,132,157,55,43,27,61,96,335,0,9.8,1.1,2318280
Terrence Jones,PF,Left,81,252,University of Kentucky,2012,18,7,25,108,24,2540,462,984,0.314,38,150,0.253,424,834,0.34,0.327,206,340,0.606,130,482,612,118,80,108,96,134,1168,0,16.1,2.3,7236457
Terrence Ross,SF,Right,79,206,University of Washington,2012,8,7,25,156,48,3910,652,1492,0.436333333,284,782,0.359666667,368,710,0.519,0.53,128,154,0.834333333,36,376,412,176,174,66,136,286,1716,0,13.4,3.5,10000000
Terry Rozier,PG,Right,74,190,University of Louisville,2015,16,2,22,74,0,1263,151,411,0.367,57,179,0.318,94,232,0.405,0.437,51,66,0.773,40,187,227,131,46,11,47,69,410,0,10.9,1.4,1906440
Thabo Sefolosha,SF,Right,79,220,no_college,2006,13,13,32,62,42,1596,174,395,0.441,41,120,0.342,133,275,0.484,0.492,55,75,0.733,54,216,270,107,96,31,58,97,444,0,11.9,3.3,3850000
Thaddeus Young,PF,Left,80,221,Georgia Institute of Technology,2007,12,12,28,74,74,2237,362,687,0.527,45,118,0.381,317,569,0.557,0.56,45,86,0.523,131,317,448,122,113,29,95,135,814,0,14.9,4.6,14153652
Thomas Robinson,PF,Right,82,237,University of Kansas,2012,5,9,25,48,1,560,105,196,0.536,0,1,0,105,195,0.538,0.536,31,66,0.47,84,139,223,31,26,9,46,76,241,0,17.3,0.9,1050961
Thon Maker,C,Right,85,216,no_college,2016,10,1,19,57,34,562,83,181,0.459,28,74,0.378,55,107,0.514,0.536,32,49,0.653,40,74,114,23,10,26,17,84,226,0,14,1.3,2568600
Tiago Splitter,C,Right,83,245,no_college,2007,28,7,32,8,0,76,14,31,0.452,2,6,0.333,12,25,0.48,0.484,9,11,0.818,8,14,22,4,1,1,6,8,39,0,15,0.1,8550000
Tim Frazier,PG,Right,73,170,Pennsylvania State University,0,0,7,26,65,35,1525,163,404,0.403,40,128,0.313,123,276,0.446,0.453,98,129,0.76,34,139,173,335,56,6,101,133,464,0,12.4,2.4,7144157
Tim Hardaway,SG,Right,78,205,University of Michigan,2013,24,4,24,79,30,2154,415,912,0.455,149,417,0.357,266,495,0.537,0.537,164,214,0.766,35,189,224,182,55,15,106,103,1143,0,15.2,4.8,2281605
Tim Quarterman,SG,Right,78,195,Louisiana State University,0,0,1,22,16,0,80,13,29,0.448,5,13,0.385,8,16,0.5,0.534,0,3,0,4,10,14,11,2,3,11,6,31,0,10.2,0.1,1300000
Timofey Mozgov,C,Right,85,275,no_college,0,0,11,30,54,52,1104,169,328,0.515,0,1,0,169,327,0.517,0.515,63,78,0.808,104,160,264,43,16,31,72,133,401,0,12.3,1.1,16000000
Timothe Luwawu-Cabarrot,SF,Right,78,205,no_college,2016,24,1,21,69,19,1190,145,361,0.402,50,161,0.311,95,200,0.475,0.471,105,123,0.854,25,124,149,75,32,10,73,154,445,0,8.5,0.8,1326960
Tobias Harris,PF,Right,81,235,University of Tennessee,2011,19,10,24,82,48,2567,511,1063,0.481,109,314,0.347,402,749,0.537,0.532,190,226,0.841,63,353,416,142,60,39,96,133,1321,0,16.9,6.8,17200000
Tomas Satoransky,SG,Right,79,210,no_college,2012,32,1,25,57,3,719,61,147,0.415,9,37,0.243,52,110,0.473,0.446,23,33,0.697,25,58,83,92,26,6,38,60,154,0,8.5,0.6,2870813
Toney Douglas,PG,Right,74,195,Florida State University,2009,29,12,30,24,0,394,43,117,0.368,7,42,0.167,36,75,0.48,0.397,24,29,0.828,13,48,61,56,18,5,21,50,117,0,10.6,0.5,8603558
Tony Allen,SG,Right,76,213,Oklahoma State University,2004,25,13,35,71,66,1914,274,595,0.461,15,54,0.278,259,541,0.479,0.473,80,130,0.615,166,225,391,98,115,29,100,178,643,0,13.3,3.1,5505618
Tony Parker,PG,Right,74,185,no_college,2001,28,16,34,63,63,1587,265,569,0.466,23,69,0.333,242,500,0.484,0.486,85,117,0.726,9,104,113,285,34,2,89,92,638,1,13,3,14445313
Tony Snell,SG,Right,79,200,University of New Mexico,2013,20,4,25,80,80,2336,246,541,0.455,144,355,0.406,102,186,0.548,0.588,47,58,0.81,22,226,248,96,55,14,55,125,683,0,9.7,3.4,2368327
Treveon Graham,SG,Right,78,220,Virginia Commonwealth University,0,0,1,23,27,1,189,19,40,0.475,9,15,0.6,10,25,0.4,0.588,10,15,0.667,5,17,22,6,6,1,3,18,57,0,10.6,0.4,1543471
Trevor Ariza,SF,Right,80,215,"University of California, Los Angeles",2004,43,17,31,80,80,2773,326,798,0.409,191,555,0.344,135,243,0.556,0.528,93,126,0.738,54,404,458,175,147,20,73,133,936,0,12.4,6,7806971
Trevor Booker,PF,Left,80,228,Clemson University,2010,23,7,29,71,43,1754,305,591,0.516,25,78,0.321,280,513,0.546,0.537,74,110,0.673,143,428,571,138,75,28,127,152,709,0,15.7,3.1,9250000
Trey Burke,PG,Right,73,191,University of Michigan,2013,9,4,24,57,0,703,116,255,0.455,31,70,0.443,85,185,0.459,0.516,22,29,0.759,7,40,47,100,11,5,48,54,285,0,10.8,0.5,3386598
Trey Lyles,PF,Right,82,234,no_college,2015,12,2,21,71,4,1158,159,439,0.362,65,204,0.319,94,235,0.4,0.436,57,79,0.722,48,187,235,69,26,20,64,97,440,0,9.9,0.8,2340600
Tristan Thompson,C,Left Right,81,238,no_college,2011,4,6,25,78,78,2336,262,437,0.6,0,3,0,262,434,0.604,0.6,106,213,0.498,286,429,715,77,39,84,64,176,630,0,15.3,7.3,15330435
Troy Daniels,SG,Right,76,205,Virginia Commonwealth University,0,0,7,25,67,3,1183,185,495,0.374,138,355,0.389,47,140,0.336,0.513,43,54,0.796,22,78,100,46,20,4,45,90,551,0,10.4,1.3,3332940
Troy Williams,SF,Right,79,218,Indiana University,0,0,3,22,60,32,1114,146,334,0.450666667,36,124,0.305,110,210,0.544333333,0.512333333,42,64,0.704333333,30,108,138,50,54,20,64,120,370,0,9,0.4,9181969
Ty Lawson,PG,Right,71,195,University of North Carolina,2009,18,10,29,69,24,1732,237,522,0.454,34,118,0.288,203,404,0.502,0.487,173,217,0.797,44,135,179,334,74,6,129,119,681,0,15.4,3.2,1315448
Tyler Ennis,PG,Right,75,194,no_college,2014,18,7,22,106,4,1176,180,416,0.425,54,140,0.383333333,126,276,0.447333333,0.486666667,42,50,0.790333333,18,72,90,172,50,4,90,116,456,0,10.9,0.4,1733880
Tyler Johnson,PG,Left,76,186,"California State University, Fresno",0,0,3,24,73,0,2178,357,824,0.433,93,250,0.372,264,574,0.46,0.49,195,254,0.768,50,243,293,233,84,44,90,176,1002,0,15.9,5.8,5628000
Tyler Ulis,PG,Right,70,150,University of Kentucky,2016,34,1,21,61,15,1123,184,437,0.421,21,79,0.266,163,358,0.455,0.445,55,71,0.775,20,75,95,226,48,5,77,73,444,0,13,0.7,9918369
Tyler Zeller,C,Right,84,253,University of North Carolina,2012,17,5,27,51,5,525,78,158,0.494,0,1,0,78,157,0.497,0.494,22,39,0.564,43,81,124,42,7,21,20,61,178,0,13,1,8000000
Tyreke Evans,SF,Right,78,220,University of Memphis,2009,4,10,27,80,12,1576,300,740,0.406333333,84,236,0.364666667,216,504,0.425,0.465,138,184,0.744,26,248,274,248,70,18,122,120,822,0,15.5,0.7,10661286
Tyson Chandler,C,Right,85,240,no_college,2001,2,16,34,47,46,1298,153,228,0.671,0,0,,153,228,0.671,0.671,91,124,0.734,153,386,539,30,33,24,65,126,397,1,16.6,4.1,12415000
Tyus Jones,PG,Right,74,195,Duke University,2015,24,2,20,60,0,774,75,181,0.414,26,73,0.356,49,108,0.454,0.486,33,43,0.767,10,57,67,156,48,5,38,50,209,0,13.8,1.5,1339680
Udonis Haslem,C,Right,80,235,University of Florida,0,0,14,36,16,0,130,11,23,0.478,0,3,0,11,20,0.55,0.478,9,15,0.6,8,28,36,6,6,1,8,22,31,0,8.8,0.2,4000000
Victor Oladipo,SG,Right,76,210,Indiana University,2013,2,4,24,67,67,2222,412,932,0.442,127,352,0.361,285,580,0.491,0.51,116,154,0.753,39,252,291,176,78,21,119,155,1067,0,13.6,4,6552960
Vince Carter,SF,Right,78,220,University of North Carolina,1998,5,23,40,73,15,1799,193,490,0.394,112,296,0.378,81,194,0.418,0.508,88,115,0.765,36,191,227,133,60,36,50,163,586,1,11.7,4,4264057
Wade Baldwin,PG,Right,76,202,Vanderbilt University,2016,17,1,20,33,1,405,36,115,0.313,3,22,0.136,33,93,0.355,0.326,31,37,0.838,11,35,46,61,18,7,39,40,106,0,6.5,0.3,1793760
Wayne Ellington,SG,Right,76,200,University of North Carolina,2009,28,10,29,62,13,1500,231,555,0.416,149,394,0.378,82,161,0.509,0.55,37,43,0.86,18,114,132,70,35,4,30,70,648,0,12.6,3.3,923670
Wayne Selden,SG,Right,77,230,University of Kansas,0,0,3,22,28,10,472,50,116,0.485333333,14,56,0.321333333,36,60,0.728666667,0.598666667,28,44,0.601,2,30,32,26,12,2,24,36,142,0,6.9,0.1,6931969
Wesley Johnson,SF,Right,79,215,Syracuse University,2010,4,7,29,68,3,810,73,200,0.365,29,118,0.246,44,82,0.537,0.438,11,17,0.647,26,155,181,23,29,30,18,83,186,0,8.4,0.9,5628000
Wesley Matthews,SG,Right,77,220,Marquette University,0,0,8,30,73,73,2495,333,847,0.393,174,479,0.363,159,368,0.432,0.496,146,179,0.816,18,241,259,210,77,15,102,161,986,0,11.9,3.1,17100000
Will Barton,SG,Right,78,175,University of Memphis,2012,40,7,26,60,19,1705,295,666,0.443,87,235,0.37,208,431,0.483,0.508,143,190,0.753,58,201,259,206,48,28,97,110,820,0,15.5,3.3,3533333
Willie Cauley-Stein,C,Right,84,240,University of Kentucky,2015,6,2,23,75,21,1421,255,481,0.53,0,2,0,255,479,0.532,0.53,101,151,0.669,85,254,339,80,53,44,69,147,611,0,16.3,2.9,3551160
Willie Reed,C,Right,82,220,Saint Louis University,0,0,2,26,71,5,1031,162,285,0.568,1,4,0.25,161,281,0.573,0.57,49,88,0.557,129,203,332,26,18,47,31,137,374,0,17.1,3.6,1015696
Willy Hernangomez,C,Right,83,240,no_college,2015,35,1,22,72,22,1324,246,465,0.529,4,15,0.267,242,450,0.538,0.533,91,125,0.728,170,332,502,96,41,36,100,150,587,0,19,3.4,1375000
Wilson Chandler,SF,Right,80,225,DePaul University,2007,23,11,29,71,33,2197,433,939,0.461,110,326,0.337,323,613,0.527,0.52,141,194,0.727,103,357,460,141,51,30,114,172,1117,0,14.9,3.5,11200000
Yogi Ferrell,PG,Right,72,180,Indiana University,0,0,3,23,92,58,2394,320,788,0.395,136,352,0.361666667,184,436,0.431666667,0.48,148,178,0.777666667,40,182,222,344,84,18,140,180,924,0,13.1,1.8,202300
Zach LaVine,SG,Right,77,189,"University of California, Los Angeles",2014,13,3,21,47,47,1749,326,710,0.459,120,310,0.387,206,400,0.515,0.544,117,140,0.836,19,141,160,139,41,10,85,104,889,0,14.6,3,2240880
Zach Randolph,PF,Left,81,260,Michigan State University,2001,19,18,35,73,5,1786,433,964,0.449,21,94,0.223,412,870,0.474,0.46,141,193,0.731,182,416,598,122,38,10,99,136,1028,1,18.5,3.2,10361445
Zaza Pachulia,C,Right,83,270,no_college,2003,42,14,32,70,70,1268,164,307,0.534,0,2,0,164,305,0.538,0.534,98,126,0.778,140,270,410,132,59,33,87,166,426,0,16.1,4.7,2898000
