Player,Pos,Shooting_hand,Height_inches,Weight_lbs,College,Draft_year,Draft_position,Season_count,Age,G,GS,MP,FG,FGA,FG_PERC,THREE_P,THREE_PA,THREE_PERC,TWO_P,TWO_PA,TWO_PERC,EFG_PERC,FT,FTA,FT_PERC,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ALL_STAR,PER,WS,SALARY
Pau Gasol,C,Right,84,250,no_college,2001,3,18,36,64,39,1627,303,604,0.502,56,104,0.538,247,500,0.494,0.548,130,184,0.707,107,394,501,150,24,70,81,110,792,1,20.2,6.4,15500000
Paul George,SF,Right,81,220,"California State University, Fresno",2010,10,7,26,75,75,2689,622,1348,0.461,195,496,0.393,427,852,0.501,0.534,336,374,0.898,58,434,492,251,119,27,220,206,1775,1,20.2,7.1,18314532
Paul Millsap,PF,Right,80,246,Louisiana Tech University,2006,47,11,31,69,67,2343,430,972,0.442,75,241,0.311,355,731,0.486,0.481,311,405,0.768,111,422,533,252,90,62,158,186,1246,1,17.8,6.4,20072033
Paul Pierce,SF,Right,79,235,University of Kansas,1998,10,19,39,25,7,277,28,70,0.4,15,43,0.349,13,27,0.481,0.507,10,13,0.769,1,47,48,10,4,5,16,40,81,1,5.7,0.1,3500000
Paul Zipser,SF,Right,80,215,no_college,2016,48,1,22,44,18,843,88,221,0.398,33,99,0.333,55,122,0.451,0.473,31,40,0.775,15,110,125,36,15,16,40,78,240,0,6.9,0.5,750000
Pierre Jackson,PG,Right,70,180,Baylor University,2013,42,1,25,8,1,84,13,39,0.333,3,11,0.273,10,28,0.357,0.372,6,7,0.857,1,8,9,19,2,0,3,5,35,0,13,0,8105498
Quincy Acy,PF,Right,79,240,Baylor University,2012,37,9,26,76,2,1116,140,340,0.377,74,180,0.329333333,66,160,0.409,0.462333333,90,120,0.723666667,40,190,230,36,28,30,42,134,444,0,11.8,0.9,1050961
Quinn Cook,PG,Right,74,184,Duke University,0,0,3,23,28,0,376,66,132,0.492333333,22,52,0.426666667,44,80,0.549,0.577666667,4,10,0.355666667,2,12,14,52,8,0,26,26,158,0,11.8,0.2,6931969
R.J. Hunter,SG,Right,77,185,Georgia State University,2015,28,2,23,3,0,9,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,0,0,0,0,0,0,-3.2,0,1625420
Rajon Rondo,PG,Right,73,186,University of Kentucky,2006,21,13,30,69,42,1843,229,561,0.408,50,133,0.376,179,428,0.418,0.453,30,50,0.6,73,282,355,461,99,11,169,144,538,1,13.6,2.3,14000000
Rakeem Christmas,PF,Right,81,250,Syracuse University,2015,36,2,25,29,0,219,19,43,0.442,0,0,,19,43,0.442,0.442,21,29,0.724,26,30,56,4,3,6,8,37,59,0,10.4,0.5,1052342
Ramon Sessions,PG,Right,75,190,"University of Nevada, Reno",2007,56,16,30,50,1,811,100,263,0.38,21,62,0.339,79,201,0.393,0.42,91,118,0.771,11,62,73,129,27,3,46,43,312,0,12.4,0.9,6000000
Randy Foye,SG,Right,76,213,Villanova University,2006,7,13,33,69,40,1284,118,325,0.363,67,203,0.33,51,122,0.418,0.466,54,63,0.857,9,146,155,135,35,9,80,99,357,0,7.3,0.2,2500000
Rashad Vaughn,SG,Right,78,202,"University of Nevada, Las Vegas",2015,17,2,20,41,2,458,57,156,0.365,26,81,0.321,31,75,0.413,0.449,2,5,0.4,4,45,49,23,19,10,14,32,142,0,7.8,0,1811040
