player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Altron Jackson,Forward,78.0,198,,South Florida,2002,4,122.0,16.5,4.7,1.9,47.2,34.2,66.7,51.2,,13.3
Alvin Jackson,Guard,72.0,183,,Southern,1982,4,100.0,14.2,2.5,,49.6,,70.0,,,
Ameer Jackson,Guard,76.0,185,,Sam Houston State,2016,1,4.0,11.0,2.0,1.5,32.4,35.3,56.0,40.5,8.9,0.1
Andre Jackson,Center,73.0,285,,Cal State Bakersfield,2012,1,14.0,4.1,1.7,0.0,49.1,,45.5,49.1,15.0,0.1
Andre Jackson,Guard,73.0,185,,Louisiana Tech,1993,1,26.0,10.2,2.8,1.1,43.7,36.4,83.3,50.2,,
Andre Jackson,Guard,61.0,178,,Samford,1979,4,94.0,4.8,1.3,,42.3,,76.4,,,
Andre Jackson,,,,,West Chester,1976,1,3.0,0.7,0.7,,33.3,,,,,
Andre Jackson,Forward,75.0,190,,Canisius,1999,1,14.0,0.4,0.2,0.2,37.5,,0.0,37.5,,-0.1
Andre Jackson,Forward,,,,North Carolina A&T,2001,1,29.0,4.1,2.1,1.2,33.3,29.5,59.0,38.5,,0.5
Andrew Jackson,Guard,74.0,188,,Winston-Salem,2010,1,27.0,7.6,2.7,2.6,38.0,34.0,81.6,48.5,,
Andrew Jackson,Forward,78.0,198,,Idaho,1987,1,30.0,14.1,6.7,0.3,50.8,0.0,70.1,50.8,,
Anthony Jackson,Forward,79.0,201,,Cleveland State,2001,4,117.0,2.7,2.8,0.4,43.2,,58.6,43.2,,2.7
Anthony Jackson,Guard,74.0,188,,High Point,2000,1,27.0,9.3,3.7,2.3,41.8,29.6,59.7,46.3,,0.7
Anthony Jackson,Guard,77.0,196,,Weber State,2004,2,29.0,0.7,0.7,0.2,50.0,,70.0,50.0,,0.2
Anthony Jackson,Guard,72.0,185,Gahanna Lincoln,Stony Brook,2014,4,125.0,8.4,1.9,1.4,40.8,36.7,88.6,50.5,14.7,7.8
Anthony Jackson,Forward,77.0,196,,Mississippi Valley State,1987,1,23.0,12.5,5.8,2.3,46.8,0.0,68.0,46.8,,
Anthony Jackson,,,,,Alcorn State,1984,1,11.0,1.5,0.9,0.4,37.5,,50.0,,,
Antino Jackson,Guard,61.0,160,Cypress Springs,Akron,2017,3,105.0,8.9,2.3,2.4,38.0,33.8,76.0,47.3,13.5,5.9
Antoine Jackson,Center,80.0,203,,Long Beach State,2004,2,45.0,3.7,3.2,0.3,56.3,,45.3,56.3,,0.7
Antonio Jackson,Guard,76.0,193,,Mississippi State,2001,2,61.0,12.4,3.1,3.1,39.6,35.3,75.5,48.9,,4.6
Antonio Jackson,Guard,73.0,185,,Portland State,1999,1,5.0,0.2,0.2,0.0,,,50.0,,,0.0
Antonio Jackson,Guard,74.0,188,,Wake Forest and Alabama-Birmingham,1999,4,104.0,5.3,3.1,0.3,51.8,0.0,63.8,51.8,,
Antonio Jackson,Guard,,,,Tulane,1995,4,78.0,2.1,1.7,,40.6,,55.1,,,
Antonio Jackson,Guard,72.0,183,,Florida A&M,1990,1,2.0,2.0,0.5,,66.7,,,,,
Arthur Jackson,Forward,77.0,196,,Brown,1990,4,91.0,8.3,5.1,1.1,45.0,,70.4,52.1,,
Artice Jackson,Center,81.0,206,,North Carolina A&T,1973,1,18.0,7.2,,,50.9,,44.1,,,
Augester Jackson,,,,,Wichita State,1980,1,3.0,0.7,,,100.0,,,,,
Auguster Jackson,Forward,77.0,196,,South Carolina State,1973,1,14.0,1.2,,,43.8,,25.0,,,
Aundre Jackson,Forward,77.0,230,Kennedale High School,Loyola (IL),2017,1,32.0,14.0,4.2,1.0,66.8,45.2,68.6,69.4,26.6,4.1
B. Jackson,,,,,Southern Illinois,1968,1,,,,,,,,,,
Barry Jackson,Center,,,,Middle Tennessee,1965,1,16.0,2.6,1.8,,44.7,,46.7,,,
Bernard Jackson,Forward,78.0,198,,College of Charleston,2005,4,67.0,7.3,4.6,0.8,48.4,31.3,66.7,49.0,,4.4
Bernard Jackson,Center,81.0,206,,Cornell,1991,4,92.0,9.2,6.4,0.6,50.7,,56.0,50.7,,
Bernard Jackson,Guard,75.0,190,,Loyola (IL),1987,2,58.0,19.6,3.8,3.2,47.2,,74.9,,,
Bernard Jackson,Guard,,,,Wichita State,1984,2,,,,,,,,,,
Bill Jackson,,,,,Lamar,1972,1,21.0,4.3,3.3,,38.7,,72.4,,,
Bill Jackson,Guard,78.0,198,,Oklahoma,1962,1,4.0,0.5,0.8,,16.7,,,,,
Billy Jackson,Guard,72.0,195,Rosa Fort,Mississippi Valley State,2015,1,32.0,2.7,1.2,0.8,27.7,15.8,61.0,30.7,3.0,-0.7
Bob Jackson,Guard,61.0,178,,Yale,1968,1,16.0,1.4,0.2,,35.3,,83.3,,,
Bob Jackson,Forward,75.0,190,,Miami (OH),1966,1,25.0,9.1,3.8,,46.5,,64.5,,,
Bob Jackson,,,,,New Mexico State,1961,1,11.0,3.3,3.4,,29.3,,66.7,,,
