Player,Team,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
Justise Winslow,MIA,2705040.0,3448926.0,0.0,0.0,0.0,0.0,1st round pick,2705040.0
Bam Adebayo,MIA,2490360.0,2955840.0,3454080.0,5115492.0,0.0,0.0,1st Round Pick,5446200.0
Udonis Haslem,MIA,2328652.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2328652.0
Jordan Mickey,MIA,1471382.0,1600520.0,0.0,0.0,0.0,0.0,Minimum Salary,1471382.0
Josh Richardson,MIA,1471382.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,1471382.0
Okaro White,MIA,1312611.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,452624.0
A.J. Hammons,MIA,1312611.0,1544951.0,0.0,0.0,0.0,0.0,Cap Space,2857562.0
Rodney McGruder,MIA,1312611.0,1544951.0,0.0,0.0,0.0,0.0,Minimum Salary,452625.0
Matt Williams,MIA,815615.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,0.0
Chris Bosh,MIA,25289390.0,26837720.0,0.0,0.0,0.0,0.0,0,52127110.0
Otto Porter,WAS,24773250.0,26011913.0,27250576.0,28489239.0,0.0,0.0,Bird Rights,78035739.0
Bradley Beal,WAS,23775506.0,25434263.0,27093019.0,28751775.0,0.0,0.0,Cap Space,105054563.0
John Wall,WAS,18063850.0,19169800.0,37800000.0,40824000.0,43848000.0,46872000.0,Bird Rights,159705650.0
Ian Mahinmi,WAS,16661641.0,15944154.0,15450051.0,0.0,0.0,0.0,Cap Space,48055846.0
Marcin Gortat,WAS,12782609.0,13565218.0,0.0,0.0,0.0,0.0,Bird Rights,26347827.0
Markieff Morris,WAS,8000000.0,8600000.0,0.0,0.0,0.0,0.0,Bird Rights,16600000.0
Jason Smith,WAS,5225000.0,5450000.0,0.0,0.0,0.0,0.0,Cap Space,5225000.0
Jodie Meeks,WAS,3290000.0,3454500.0,0.0,0.0,0.0,0.0,Bi-annual Exception,3290000.0
Tomas Satoransky,WAS,3000000.0,3129187.0,0.0,0.0,0.0,0.0,Cap Space,6129187.0
Kelly Oubre,WAS,2093040.0,3208630.0,0.0,0.0,0.0,0.0,1st round pick,2093040.0
Tim Frazier,WAS,2000000.0,0.0,0.0,0.0,0.0,0.0,Room exception,2000000.0
Mike Scott,WAS,1709538.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,1709538.0
