player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Robert Pack,Guard,74.0,180,,USC,1991,2,57.0,13.4,2.8,5.6,47.6,29.5,74.2,50.6,,
Tom Pack,Forward,76.0,193,,Colorado State,1966,2,24.0,2.7,2.5,,53.2,,48.4,,,
Wayne Pack,Guard,72.0,183,,Tennessee Tech,1973,3,73.0,16.8,3.4,,46.1,,71.6,,,
_ Pack,Guard,69.0,175,,Tulane,1949,1,28.0,3.4,,,27.8,,70.0,,,
Tom Packee,Forward,77.0,196,,Marquette,1963,1,2.0,1.0,0.5,,,,50.0,,,
Billy Packer,Guard,69.0,175,,Wake Forest,1962,3,89.0,14.8,2.4,,46.6,,81.9,,,
Dick Packer,Guard,73.0,185,,Lehigh,1977,4,71.0,5.4,1.5,,39.6,,64.5,,,
George Packer,Center,73.0,208,,New Mexico State,1971,1,7.0,0.6,0.6,,16.7,,66.7,,,
Herb Packer,,,,,Penn State,1971,1,2.0,,0.5,,,,,,,
Jalen Packer,Guard,74.0,175,,Western Illinois,2012,1,19.0,1.1,0.6,1.2,50.0,0.0,88.9,50.0,10.8,0.2
Paulius Packevicius,Forward,81.0,206,,Rice,2008,4,97.0,4.2,4.0,0.5,47.1,,67.2,47.1,,3.2
Rob Pacsi,Guard,76.0,193,,Saint Francis (PA),1992,3,30.0,0.4,0.4,,62.5,,,,,
Tom Pacynski,Center,73.0,208,,Boston College,1968,2,31.0,2.9,2.0,,59.1,,,,,
Mike Padden,Forward,,,,Northern Illinois,1983,4,43.0,1.0,0.4,0.3,50.0,,51.9,,,
Gerald Paddio,Forward,79.0,205,,UNLV,1988,2,73.0,16.0,4.6,2.4,43.7,39.5,76.4,54.2,,
Chris Paddock,Center,84.0,213,,New Mexico,1997,2,15.0,0.5,0.7,0.0,46.2,,,46.2,,0.1
Scott Paddock,Center,81.0,206,,Notre Dame,1990,4,112.0,2.4,3.0,0.4,57.4,,47.6,57.4,,
John Padelford,Forward,,,,Arizona,1948,1,25.0,5.2,,,,,62.3,,,
John Padelford,,,,,Arizona,1969,1,3.0,,,,,,,,,
Jon Paden,,,,,Missouri,1958,3,,,,,,,,,,
Sam Padfield,Guard,,,,Colorado State,1950,2,,,,,,,,,,
Chris Padgett,Forward,78.0,198,,New Mexico,1982,1,5.0,2.0,2.0,0.4,42.9,,66.7,,,
David Padgett,Center,73.0,211,,Kansas and Louisville,2008,4,114.0,9.6,5.2,1.6,59.4,0.0,75.4,59.4,,17.2
Eric Padgett,Forward,77.0,196,,Centenary (LA),1988,4,71.0,1.1,1.1,0.2,45.1,,63.6,,,
Gary Padgett,,,,,Kansas,1955,2,32.0,2.6,1.5,,32.9,,51.8,,,
James Padgett,Forward,80.0,225,Lincoln,Maryland,2013,4,126.0,5.2,3.6,0.3,52.3,,52.8,52.3,17.2,5.6
Jim Padgett,Center,76.0,193,,Oregon State,1952,3,67.0,5.4,,,32.6,,63.9,,,
Mark Padgett,Guard,,,,Troy,1998,2,33.0,2.9,1.8,0.5,28.4,13.9,35.7,32.1,,-0.6
Matt Padgett,Guard,76.0,193,,Troy,1997,2,51.0,9.4,2.2,0.8,37.7,37.4,74.1,46.1,,1.7
Pete Padgett,Forward,80.0,203,,Nevada,1976,4,104.0,15.8,14.1,,45.1,,67.4,,,
Scott Padgett,Forward,81.0,240,,Kentucky,1997,2,122.0,10.3,5.3,2.0,44.9,36.4,75.9,53.0,,
Zach Padgett,Guard,77.0,185,The Dunham School,Central Arkansas,2013,1,22.0,2.0,0.9,0.1,28.8,27.8,60.0,38.5,3.5,-0.1
Edgar Padilla,Guard,74.0,188,,UMass,1997,4,135.0,7.2,2.4,4.4,39.2,31.6,74.6,47.6,,
Ernest Padilla,Guard,72.0,183,,New Mexico State,1981,1,10.0,0.6,0.3,0.3,14.3,,44.4,,,
Giddel Padilla,Guard,75.0,190,,UMass,1996,2,24.0,0.8,0.5,0.1,40.0,0.0,66.7,40.0,,
Gil Padilla,Forward,79.0,201,,Marist,1985,3,54.0,2.0,2.7,0.3,38.6,,,,,
George Padovan,,,,,Oregon,1958,1,18.0,2.8,2.8,,37.5,,43.8,,,
Ruben Padro,,,,,Navy,1980,1,1.0,,,,,,,,,
Pele Paelay,Guard,76.0,193,,Coastal Carolina,2004,2,111.0,10.6,4.0,1.8,43.8,35.2,70.2,49.5,,8.2
Gene Paetz,Guard,61.0,178,,Iowa State,1951,2,27.0,0.7,,,,,50.0,,,
Anthony Paez,Forward,79.0,201,,Stephen F. Austin,2006,2,56.0,11.2,4.6,1.5,47.6,30.9,74.1,50.6,,5.6
Paul Pafford,Center,,,,Fresno State,1970,1,10.0,6.3,4.9,,44.4,,57.7,,,
Larry Paffrath,Forward,76.0,193,,William & Mary,1966,3,72.0,7.0,5.8,,41.4,,64.6,,,
Robert Paffrath,,,,,Duquesne,1948,1,,,,,,,,,,
Bryant Pagan,Forward,75.0,190,,Western Carolina,1979,1,19.0,1.6,0.3,0.2,42.9,,87.5,,,
Dennis Pagan,Guard,74.0,188,,Austin Peay,1980,3,79.0,10.4,2.1,,48.6,,75.0,,,
Luis Pagan,Guard,76.0,193,,Villanova,1981,1,13.0,1.2,0.5,,55.6,,55.6,,,
Luis Pagan,,,,,Saint Francis (PA),1977,1,2.0,1.0,,,,,100.0,,,
Ed Pagano,Forward,,,,Vermont,1985,4,,,,,,,,,,
Jeff Pagano,Guard,73.0,185,,Princeton,1985,4,42.0,1.6,1.2,,33.8,,52.0,,,
Aaron Page,Guard,77.0,196,,Murray State,2000,4,117.0,4.8,2.7,1.1,40.0,35.1,68.3,51.1,,4.8
Bob Page,,,,,Saint Louis,1955,1,9.0,1.4,0.1,,25.0,,90.0,,,
Chris Page,Guard,77.0,190,Plainfield,Albany (NY),2013,1,9.0,1.4,0.1,0.2,29.4,18.2,50.0,35.3,9.5,0.0
Dameon Page,Guard,77.0,196,,Colorado and St. Joseph's,1996,2,21.0,4.5,0.8,0.7,38.0,22.6,71.8,42.4,,
Damon Page,Guard,72.0,183,,Tennessee State,1996,3,79.0,5.2,2.2,1.2,36.1,24.2,64.6,40.2,,
Dave Page,,,,,New Orleans,1977,1,,,,,,,,,,
Don Page,Forward,75.0,190,,Wisconsin,1950,2,35.0,4.7,,,23.1,,79.6,,,
Dylan Page,Forward,81.0,206,,Milwaukee,2002,2,102.0,13.6,5.1,1.0,52.3,35.6,78.1,56.7,,12.7
George Page,Forward,75.0,190,,Wofford,1996,1,19.0,0.9,0.7,0.3,37.5,,66.7,37.5,,0.0
Greg Page,Forward,77.0,196,,Lehigh,2007,2,39.0,2.4,1.1,0.6,35.0,24.3,66.7,39.5,,0.3
Howard Page,Guard,61.0,178,,Oregon,1954,2,49.0,3.0,0.7,,36.5,,74.5,,,
JImmy Page,,,,,Texas Christian,1956,1,20.0,3.9,1.6,,22.0,,56.9,,,
Jonas Page,Forward,79.0,185,Susquehanna Township,Florida International,2015,2,9.0,1.4,0.4,0.0,40.0,37.5,100.0,55.0,17.5,0.1
Jorden Page,Guard,73.0,180,Australian Institute of Sport,Saint Mary's (CA),2013,4,105.0,6.1,1.3,1.7,41.0,34.8,81.3,51.7,12.6,5.5
Julius Page,Guard,75.0,190,,Pitt,2004,4,136.0,11.1,3.0,1.8,43.5,33.7,71.1,51.9,,12.8
Keith Page,Forward,,,,Vanderbilt,1977,2,5.0,,,,,,,,,
Keiton Page,Guard,69.0,165,,Oklahoma State,2012,4,134.0,12.3,1.6,2.0,40.5,36.8,85.9,52.7,,13.3
Ken Page,Guard,75.0,190,,Ohio State,1978,1,26.0,12.3,5.4,1.6,44.5,,81.6,,,
Kenny Page,Forward,75.0,190,,New Mexico,1981,2,53.0,26.2,3.7,2.4,48.4,,77.2,,,
Kenny Page,Guard,76.0,193,,Lamar,1974,3,58.0,7.9,2.2,,41.5,,74.2,,,
Kolin Page,Center,81.0,206,,SMU,1983,2,14.0,0.6,0.9,,,,23.1,,,
LaShay Page,Guard,74.0,195,Dillon,Southern Miss and South Carolina,2013,3,69.0,9.5,2.9,0.7,36.6,34.4,77.9,46.9,11.8,4.8
Luther Page,Forward,78.0,220,Father Gabriel Richard,Alabama State,2015,4,124.0,5.3,4.5,0.7,45.2,0.0,54.1,45.2,11.3,4.1
Marlon Page,Forward,,,,Grambling,1985,2,49.0,4.7,3.2,0.3,48.6,,73.0,,,
Mike Page,Forward,78.0,198,,Bucknell,1981,3,79.0,5.2,3.2,0.4,43.9,,74.3,,,
MIke Page,,,,,Bucknell,1978,1,2.0,2.0,,,40.0,,,,,
Reggie Page,Center,73.0,211,,Wyoming,1991,2,60.0,5.0,5.2,0.5,52.3,,64.2,52.3,,
Rica Page,Guard,,,,Towson,1985,4,,,,,,,,,,
Robert Page,,,,,Dartmouth,1965,2,,,,,,,,,,
Terry Page,Forward,76.0,193,,Detroit,1965,3,79.0,12.3,7.3,,42.1,,54.5,,,
Victor Page,Guard,75.0,190,,Georgetown,1997,2,67.0,17.1,3.6,1.9,38.9,35.8,70.1,44.5,,6.7
Bob Pager,,,,,Oklahoma State,1951,1,,,,,,,,,,
Tom Paget,,,,,Kansas,1977,1,1.0,,,,,,,,,
Brett Pagett,Guard,72.0,183,,Washington,1993,2,55.0,3.8,2.4,2.5,30.7,27.0,83.6,40.4,,
Brett Pagett,,,,,UC-Irvine,1989,1,15.0,0.4,0.5,0.9,14.3,,66.7,14.3,,
Dana Pagett,Guard,75.0,190,,USC,1971,3,75.0,4.3,1.2,,41.0,,71.1,,,
Mike Pagliara,Guard,61.0,178,,UMass,1971,2,47.0,7.6,1.2,3.1,44.9,,74.3,,,
MIke Pagliaro,Guard,61.0,178,,UMass,1972,1,21.0,10.0,1.8,3.3,47.7,,88.2,,,
Dan Pagliotti,Guard,73.0,185,,Fresno State,1980,2,52.0,10.4,1.3,,53.5,,80.5,,,
Joe Pagliuca,Guard,74.0,188,,Duke,2007,4,14.0,0.0,0.1,0.0,0.0,0.0,,0.0,,-0.1
Nick Pagliuca,Guard,75.0,195,Milton Academy,Duke,2017,4,29.0,0.1,0.3,0.1,11.1,14.3,50.0,16.7,4.0,0.0
Blake Pagon,Guard,76.0,190,Battlefield High School,Stanford,2017,1,5.0,0.4,0.4,0.0,0.0,0.0,100.0,0.0,8.1,0.0
Jim Paguaga,Guard,72.0,183,,St. Francis (NY),1986,4,,,,,,,,,,
John Paguaga,Guard,73.0,185,,St. Francis (NY),1981,3,41.0,1.0,0.5,,26.1,,,,,
Norman Pahmeier,,,,,Rice,1954,1,14.0,0.9,1.2,,21.7,,37.5,,,
B.J. Paige,Guard,,,,Hampton,2000,1,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
Billy Paige,Guard,73.0,185,,Rider,1979,1,21.0,2.0,0.7,0.9,38.3,,58.3,,,
Brett Paige,Center,80.0,203,,Duquesne,1990,2,44.0,1.6,1.7,0.1,45.7,,52.8,45.7,,
Bruce Paige,Forward,77.0,196,,Bethune-Cookman,1996,2,20.0,0.6,0.3,0.1,60.0,,,60.0,,
Chris Paige,Center,81.0,206,,Nicholls State,2009,3,69.0,2.5,2.1,0.4,37.5,28.6,40.4,38.1,,-0.5
Jaysean Paige,Guard,74.0,200,Moberly Area CC,West Virginia,2016,2,69.0,9.7,2.7,0.9,43.9,34.8,72.3,51.1,21.2,5.9
Jeremiah Paige,Guard,75.0,155,Rangeview High School,Colorado State,2017,2,70.0,6.9,2.2,2.0,35.9,34.0,77.5,43.8,10.1,2.9
Jerrod Paige,Guard,76.0,193,,Coastal Carolina,2000,4,70.0,4.5,1.9,0.9,41.0,39.4,83.6,48.3,,1.7
Jimmy Paige,Guard,76.0,211,Cape Henry Collegiate HS,Siena,2016,2,39.0,2.0,1.7,0.2,46.2,0.0,73.8,46.2,13.5,0.7
Kevin Paige,Forward,79.0,201,,Louisiana-Monroe,2002,2,60.0,8.8,4.1,0.8,48.6,,63.5,48.6,,2.9
Kurtis Paige,Guard,76.0,193,,Mount St. Mary's,1996,2,23.0,0.6,0.3,0.1,30.0,0.0,63.6,30.0,,
Laquarious Paige,Guard,75.0,174,Stark HS,Indiana State,2017,3,63.0,3.3,1.4,0.9,44.4,31.3,79.4,50.3,6.6,0.5
Larry Paige,Center,81.0,206,,Colorado State,1978,2,52.0,11.5,7.8,0.7,53.0,,58.3,,,
Marcus Paige,Guard,73.0,175,Linn-Mar HS,UNC,2016,4,141.0,13.1,2.8,4.3,40.7,37.5,84.4,50.9,17.8,17.2
Robert Paige,Center,84.0,213,,Houston Baptist,1976,3,76.0,11.8,9.4,,45.9,,57.8,,,
Bobby Paine,,,,,Alabama,1962,2,27.0,0.5,0.6,,27.3,,,,,
Brian Paine,Forward,79.0,201,,Campbell,1999,2,26.0,1.4,0.8,0.3,30.4,28.0,10.0,38.0,,-0.2
Brian Paine,Center,73.0,208,,Washington State,1992,4,103.0,6.4,3.3,0.7,46.9,,69.0,46.9,,
Robb Painer,,,,,Ball State,1990,1,,,,,,,,,,
Jim Painten,Forward-Guard,,,,UMass,1965,2,36.0,7.1,3.6,,35.3,,61.5,,,
Paul Painten,Guard,,,,Boston University,1962,1,11.0,0.8,1.3,,22.2,,25.0,,,
Brad Painter,Forward,77.0,196,,Stetson,1990,1,12.0,1.7,0.6,0.1,,16.7,90.0,,,
DeShawn Painter,Center,81.0,235,Booker T. Washington/Hargrave Military Academy,North Carolina State and Old Dominion,2013,4,119.0,6.6,4.5,0.4,43.1,31.7,65.0,44.1,15.0,4.5
Dylan Painter,Forward,73.0,240,Hershey High School,Villanova,2017,1,22.0,0.9,1.4,0.0,42.9,0.0,66.7,42.9,7.1,0.3
Matt Painter,Guard,78.0,198,,Purdue,1993,4,109.0,4.5,1.7,2.5,44.1,35.8,65.5,51.5,,
Michael Painter,,,,,Ohio State,1971,2,11.0,,,,,,,,,
Brian Paisley,Center,80.0,203,,Houston,2002,1,2.0,0.0,0.0,0.0,,,,,,0.0
Matt Pait,,,,,Gardner-Webb,2004,1,15.0,1.4,0.9,0.5,21.9,25.0,75.0,28.1,,-0.2
Steve Pajcic,Guard,72.0,183,,Princeton,1968,2,20.0,1.6,0.3,,61.9,,,,,
Nedim Pajevic,Forward,81.0,206,,Weber State and UCSB,2008,2,59.0,6.0,3.5,1.7,50.0,18.2,78.7,50.7,,3.3
Luka Pajkovic,Guard,75.0,200,Oasis Christian Academy (FL),Mississippi Valley State and Morehead State,2014,2,65.0,4.2,1.4,0.7,35.0,26.8,62.3,42.7,7.6,0.4
David Pak,Guard,74.0,188,,Utah State,2006,2,64.0,6.8,1.9,3.8,40.6,39.0,66.7,51.4,,3.4
Chudier Pal,Center,81.0,250,Warnbro,North Carolina-Asheville,2015,3,44.0,2.4,2.6,0.6,56.3,,51.6,56.3,18.4,1.2
Tom Palace,Guard,74.0,188,,Holy Cross,1963,3,,,,,,,,,,
Carl Palacha,,,,,Duquesne,1951,2,50.0,8.9,,,35.4,,68.6,,,
David Palacio,,,,,UTEP,1967,2,43.0,5.2,2.4,,34.8,,69.7,,,
Milt Palacio,Guard,75.0,195,,Colorado State,1999,3,88.0,12.1,4.2,4.8,46.6,36.1,71.5,51.9,,10.4
Javier Palacios,Guard,73.0,185,,High Point,2004,1,28.0,5.4,1.0,1.2,39.4,35.0,61.2,47.6,,0.8
Juan Palacios,Forward,80.0,203,,Louisville,2008,4,127.0,8.9,5.7,1.3,45.5,34.2,67.9,50.6,,12.2
Keving Palacios,Center,80.0,203,,South Carolina,2006,1,17.0,1.3,1.1,0.5,43.5,,40.0,43.5,,0.2
Robert Palacios,Guard,73.0,185,,Northern Colorado,2009,2,53.0,4.5,4.6,1.8,42.2,8.3,58.0,42.4,,1.1
Jose Palafox,,,,,Houston,1955,2,32.0,3.9,2.4,,31.5,,64.2,,,
Michael Palarca,Guard,61.0,178,,South Dakota State,2010,3,88.0,3.1,1.4,2.2,33.7,28.7,68.0,38.3,,
Matt Palazzi,Guard,,,,Providence,1989,4,91.0,9.0,,,,,82.8,,,
Mike Palazzi,Forward,78.0,198,,Fairfield,1981,4,102.0,6.0,3.6,0.5,50.3,,67.4,,,
Togo Palazzi,,,,,Holy Cross,1954,3,80.0,20.4,,,43.7,,64.5,,,
_ Palcheff,,,,,Washington (MO),1948,1,,,,,,,,,,
Ken Palczewski,Forward,77.0,196,,La Salle,1988,4,65.0,0.9,0.9,,42.2,,48.7,,,
Ward Paldanius,Guard,,,,Oregon State,1948,1,20.0,2.6,,,31.0,,66.7,,,
Chris Palermo,Guard,74.0,188,,St. Francis (NY),1989,3,41.0,2.5,1.0,,48.8,,,,,
Chester Palesko,,,,,Pitt,1952,2,25.0,1.8,,,29.2,,50.0,,,
_ Paletta,,,,,Santa Clara,1948,1,,,,,,,,,,
Djole Palfi,Forward,81.0,206,,LSU,1995,1,7.0,1.3,0.6,0.0,44.4,33.3,,50.0,,
Jack Palfi,Forward,75.0,190,,Lehigh,1961,2,43.0,7.2,6.3,,34.3,,55.8,,,
Al Palfreyman,Forward,,,,Weber State,1966,2,33.0,2.8,2.1,,33.9,,68.2,,,
Bill Palka,,,,,Loyola (IL),1955,2,43.0,11.6,8.4,,40.7,,60.3,,,
Caleb Palkert,Forward,81.0,206,,South Carolina Upstate,2010,1,28.0,2.8,2.5,0.3,41.1,0.0,60.7,41.1,,
Mike Palko,Center-Forward,79.0,201,,Rutgers,1976,4,88.0,2.5,3.4,,47.4,,60.8,,,
Nick Pallas,Forward,80.0,240,Tesoro,Texas-Arlington,2016,1,35.0,3.4,2.9,0.9,42.4,0.0,61.8,42.4,10.5,1.0
Steve Pallino,Forward,77.0,196,,Columbia,1972,1,15.0,3.9,3.0,0.7,33.9,,54.8,,,
Nick Pallotta,Forward,76.0,193,,Loyola (IL),1962,1,9.0,2.6,2.6,,32.4,,33.3,,,
Anthony Palm,Guard,61.0,180,,Western Kentucky,1991,2,58.0,9.5,2.8,5.3,42.3,32.9,70.8,48.3,,
Greg Palm,Center,81.0,206,,Nevada,1982,2,54.0,15.7,11.2,0.6,61.2,,42.0,,,
Greg Palm,Forward,80.0,203,,Cal State Fullerton,1978,1,22.0,3.5,2.9,0.3,51.8,,50.0,,,
Jalen Palm,Guard,61.0,165,Butler Traditional,Monmouth,2014,2,47.0,1.3,0.5,0.4,27.9,21.6,69.6,33.8,4.0,0.0
Kent Palma,,,,,Southern Miss,1971,1,,,,,,,,,,
Mike Palma,Forward,76.0,193,,Iona,1980,2,56.0,7.5,2.6,2.0,47.6,,86.0,,,
Mike Palma,Forward,77.0,196,,Wake Forest,1977,2,43.0,3.6,1.2,0.2,41.2,,83.3,,,
Aki Palmer,Guard,61.0,178,,Colorado State,2001,2,54.0,7.7,2.0,2.9,43.5,45.0,69.3,63.9,,5.0
Asa Palmer,Center,,,,Dartmouth,1998,4,102.0,3.3,2.4,0.2,49.5,0.0,56.9,49.5,,
Austin Palmer,,,,,Missouri,1973,1,1.0,,3.0,,,,,,,
Bernie Palmer,Forward,75.0,190,,Vermont,1975,3,57.0,3.9,4.3,,46.6,,48.4,,,
Bill Palmer,Center,79.0,201,,Stanford,1970,3,58.0,8.4,8.7,,45.4,,49.8,,,
Bruce Palmer,Guard,76.0,193,,Pacific,1977,4,88.0,3.0,1.9,,38.6,,47.4,,,
Bryan Palmer,Forward,80.0,203,,American,1994,4,87.0,3.6,3.1,,40.4,,54.3,42.3,,
Bryan Palmer,Center,73.0,208,,Maryland,1985,2,24.0,0.6,1.0,0.2,,,61.9,,,
Carl Palmer,Guard,76.0,193,,St. Francis (NY),2007,1,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
Clifton Palmer,Guard,75.0,190,,Texas-Arlington,2002,1,18.0,2.1,0.5,0.5,33.3,20.0,94.4,37.0,,0.2
Crawford Palmer,Center,73.0,208,,Dartmouth,1993,1,26.0,16.6,8.0,2.6,49.1,33.3,75.6,51.0,,
Crawford Palmer,Center,,,,Duke,1991,3,82.0,2.4,1.8,0.2,59.5,,65.2,59.5,,
Dan Palmer,,,,,Detroit,1974,1,6.0,1.0,0.5,,75.0,,,,,
Darryl Palmer,Forward,80.0,210,Timberland,South Carolina State,2016,4,124.0,7.8,6.3,1.0,43.4,21.6,60.2,44.9,15.5,6.8
David Palmer,Center,81.0,206,,Seton Hall and Iowa,2009,3,60.0,2.9,1.6,0.1,44.8,37.0,64.7,48.3,,1.2
David Palmer,Forward,79.0,201,,Southern Utah,2004,2,55.0,13.5,4.1,1.1,48.6,47.6,80.4,60.4,,5.6
David Palmer,Center,81.0,206,,Alcorn State,1986,4,115.0,9.2,4.7,,56.2,,74.2,,,
David Palmer,Guard,72.0,183,,West Virginia,1967,3,36.0,6.5,2.0,,37.6,,85.2,,,
Dennis Palmer,Center,79.0,201,,Austin Peay,1981,1,7.0,4.1,2.3,,54.2,,37.5,,,
Donnie Palmer,Center,73.0,208,,Robert Morris,2006,1,18.0,1.6,1.1,0.2,45.0,,52.6,45.0,,0.2
Elijah Palmer,Forward,79.0,201,,Duquesne,2004,2,58.0,11.8,5.7,1.4,50.4,25.0,60.5,51.8,,3.7
Eric Palmer,Guard,67.0,170,,ETSU,1993,3,89.0,6.9,1.5,2.0,41.0,37.6,68.5,50.0,,
Errol Palmer,,,,,DePaul,1967,3,75.0,12.0,11.7,,40.2,,67.8,,,
Gene Palmer,Center,76.0,193,,Alabama,1950,3,,,,,,,,,,
George Palmer,Forward,74.0,188,,Temple,1960,2,30.0,4.0,4.2,,30.4,,66.0,,,
Greg Palmer,Guard,73.0,185,,Montana State,1982,3,70.0,3.2,1.3,2.0,46.8,,68.8,,,
James Palmer,Guard,77.0,200,St. John's College HS,Miami (FL) and Nebraska,2016,2,72.0,3.6,1.3,0.7,39.1,32.7,66.7,46.8,11.5,1.7
James Palmer,Forward,,,,Southern Miss,1976,4,,,,,,,,,,
Jim Palmer,,,,,Dayton,1957,2,55.0,10.6,11.5,,40.8,,57.9,,,
John Palmer,Forward,77.0,196,,Ole Miss,1954,2,39.0,4.7,4.3,,33.7,,49.2,,,
Josh Palmer,Guard,68.0,173,,Michigan,1997,1,1.0,2.0,0.0,0.0,100.0,,,100.0,,0.0
Keion Palmer,Forward,81.0,206,,Jacksonville,2011,1,23.0,3.6,1.6,0.1,55.4,,55.6,55.4,17.5,0.7
Kevin Palmer,Guard,78.0,198,,Texas A&M-Corpus Christi,2010,2,65.0,18.9,5.3,2.8,44.5,31.5,78.3,50.5,,9.9
Len Palmer,Forward,77.0,196,,Cornell,1986,4,87.0,4.8,3.6,2.7,41.2,,65.6,,,
Marc Palmer,Forward,77.0,196,,USC,1975,3,52.0,2.3,1.7,0.7,39.7,,62.2,,,
Marcus Palmer,Forward,78.0,198,,Central Connecticut,2009,2,58.0,9.0,5.4,1.0,47.6,37.5,77.5,52.3,,4.0
Melvin Palmer,Center,73.0,208,,North Carolina A&T,1978,2,45.0,2.7,2.9,,40.5,,48.8,,,
Michael Palmer,Center,,,,Southern Miss,2000,1,2.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
Nabe Palmer,Guard,61.0,180,,Florida,1983,2,49.0,3.9,1.3,1.3,43.1,,73.3,,,
Nicholas Palmer,Forward,,,,Syracuse,1990,3,24.0,,,,,,,,,
Ralph Palmer,Center,80.0,203,,Texas Tech,1972,1,26.0,15.2,8.6,,54.2,,66.2,,,
Ralph Palmer,,,,,Colorado State,1957,1,16.0,2.5,2.7,,34.0,,66.7,,,
Rashaan Palmer,Forward,,,,St. Bonaventure,1998,4,117.0,14.2,4.8,1.4,47.3,25.2,66.3,48.5,,
Remond Palmer,,,,,Monmouth,1987,1,14.0,11.0,1.9,5.8,40.2,31.6,84.0,42.4,,
