player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Aher Uguak,Guard,79.0,206,Harry Ainlay Composite High School,New Mexico,2017,1,19.0,1.2,0.7,0.4,35.0,12.5,53.3,37.5,3.8,0.0
Henry Uhegwu,Guard,75.0,190,,Southern Utah,2006,1,29.0,13.5,3.2,1.5,47.3,43.0,74.6,58.6,,2.9
Bill Uhl,Center,81.0,206,,Dayton,1990,4,106.0,5.0,3.6,0.7,43.4,,64.3,45.8,,
Bill Uhl,,,,,Dayton,1956,3,88.0,18.5,14.6,,44.2,,63.5,,,
Bill Uhl,Center,81.0,206,,Ohio State,1952,1,2.0,5.0,,,66.7,,33.3,,,
Dom Uhl,Forward,80.0,195,Point Pleasant Beach (NJ),Iowa,2017,3,98.0,3.9,2.9,0.8,38.5,32.6,61.1,44.8,11.7,2.8
George Uhl,Guard,73.0,185,,UConn,1961,2,50.0,7.8,3.7,,41.5,,72.3,,,
Jack Uhlar,,,,,Boston College,1978,1,6.0,1.3,0.3,,66.7,,,,,
Ken Uhlar,Forward,78.0,215,Walpole High School,New Hampshire,2017,1,7.0,0.6,1.3,0.3,28.6,,0.0,28.6,8.2,0.0
Craig Uhle,Center,73.0,208,,VCU,1991,2,59.0,4.9,3.9,0.5,45.7,10.0,65.1,45.9,,
Walter Uhle,Guard,69.0,175,,Princeton,1964,1,23.0,3.2,1.6,,41.9,,70.6,,,
Reece Uhlenhopp,Forward,80.0,239,,Drake,2012,3,62.0,1.9,1.6,0.2,37.5,38.9,84.2,47.6,9.5,1.0
Decker Uhlhorn,Forward,75.0,190,,Penn,1969,3,67.0,2.4,3.8,,29.4,,67.0,,,
Jay Uhrin,Guard,74.0,188,,Maine,2008,1,5.0,1.8,0.2,0.4,66.7,100.0,,75.0,,0.1
Jeffrey Uju,Forward,79.0,220,Oak Hill Academy,Bowling Green State,2017,1,2.0,4.5,5.0,0.0,66.7,100.0,,75.0,16.0,0.1
Jermaine Ukaegbu,Forward,77.0,190,,Sacred Heart,2016,1,21.0,1.5,1.6,0.2,53.8,0.0,36.4,53.8,13.1,0.3
Okey Ukah,Forward,79.0,220,West,Iowa,2016,3,27.0,0.5,0.6,0.0,46.2,,25.0,46.2,10.4,0.1
Quincy Ukaigwe,Forward,81.0,201,Rich Central,Chicago State,2013,3,59.0,0.8,1.5,0.1,47.8,0.0,21.1,47.8,3.3,-0.1
Ike Ukawuba,Guard,75.0,190,,Wisconsin,2004,4,41.0,0.4,0.2,0.1,32.0,0.0,20.0,32.0,,-0.2
Rob Ukawuba,Guard,75.0,210,East Brunswick HS,NJIT,2017,4,102.0,7.1,3.4,1.4,47.2,34.0,65.5,52.3,14.7,5.6
Ezenwa Ukeagu,Center,80.0,203,,Washington State,2004,2,47.0,5.7,4.0,0.3,51.7,,71.5,51.7,,2.4
Bobby Ukrop,Guard,72.0,183,,Richmond,1969,3,72.0,6.1,2.6,,42.9,,65.9,,,
David Ulak,Forward,77.0,210,DePaul Catholic,Northwestern State,2013,2,16.0,0.1,0.4,0.1,0.0,0.0,25.0,0.0,-1.6,-0.1
Scott Ulaneo,Forward,73.0,215,Stella Azura Academy,Seattle,2017,1,30.0,4.3,3.2,0.9,45.5,26.7,49.2,49.5,10.1,0.8
Bob Ulasewicz,,,,,St. Bonaventure,1964,3,32.0,0.9,0.5,,25.7,,85.7,,,
Dick Ulasewicz,Guard,74.0,188,,St. Bonaventure,1968,1,13.0,0.8,0.5,,25.0,,,,,
Bill Ulbin,Guard,73.0,185,,American,1973,2,46.0,2.0,0.8,1.5,38.4,,67.6,,,
_ Ulbin,,,,,American,1974,1,18.0,2.5,1.7,3.9,37.0,,68.8,,,
Tyler Ulis,Guard,69.0,155,Marian Catholic HS,Kentucky,2016,2,72.0,11.3,2.4,5.3,42.7,37.1,84.6,49.9,20.5,11.3
Ron Ullrich,,,,,George Washington,1964,1,1.0,,,,,,,,,
Jim Ulm,,,,,Air Force,1961,2,46.0,12.8,,,39.9,,78.0,,,
Robert Ulm,Guard,,,,Purdue,1948,1,,,,,,,,,,
Carl Ulmer,Forward,78.0,198,,Saint Francis (PA),2004,4,100.0,2.0,2.1,0.5,42.0,0.0,61.3,42.0,,1.1
Jeremy Ulmer,Forward,79.0,201,,Florida,1992,2,22.0,1.0,1.1,,28.0,,61.5,28.0,,
Lamonte Ulmer,Forward,78.0,198,,Rhode Island,2010,4,136.0,8.0,5.2,0.9,50.4,22.8,71.1,51.1,,10.4
Lowell Ulmer,Forward,77.0,230,McKee/Staten Island Tech,St. Francis (NY),2015,4,100.0,2.6,1.9,0.5,40.6,24.1,51.4,43.5,9.8,2.1
Ron Ulmer,Forward,77.0,196,,Fairleigh Dickinson,1989,1,19.0,4.6,1.4,,52.3,0.0,76.9,52.3,,
Ron Ulmer,Forward,,,,Bradley,1970,3,30.0,1.3,0.8,0.1,42.9,,37.5,,,
Bill Ulrich,Guard,61.0,178,,Duke,1962,1,21.0,3.7,1.5,,39.5,,55.6,,,
Dave Ulrich,Guard,74.0,188,,Boston College,1973,2,43.0,3.9,1.1,0.4,37.6,,70.2,,,
James Ulrich,Forward,79.0,201,,Wagner,2008,4,118.0,8.7,5.2,1.3,46.3,25.4,59.6,48.3,,6.4
Sam Ulrich,Guard,73.0,185,,Saint Louis,1966,3,74.0,7.0,3.1,,41.8,,57.4,,,
Rokas Ulvydas,Forward,73.0,235,Mt. Zion Prep HS,Texas Tech and UCF,2016,1,9.0,0.2,0.2,0.0,0.0,,50.0,0.0,0.9,-0.1
Jack Ulwelling,,,,,Wisconsin,1961,2,36.0,9.2,2.7,,39.5,,71.9,,,
Jerry Umberger,Forward,77.0,196,,Morehead State,1970,3,44.0,1.7,1.4,,41.4,,48.5,,,
Kyle Umberger,Forward,79.0,201,,Morehead State,2002,4,112.0,12.3,5.5,1.5,51.5,25.0,72.0,51.6,,7.0
Jim Umbricht,Guard,76.0,193,,Georgia,1951,2,48.0,4.9,,,,,66.9,,,
Michael Umeh,Guard,74.0,188,,UNLV,2007,4,111.0,7.5,2.3,1.4,43.1,37.1,71.3,52.9,,6.1
Ifeanyi Umezurike,Center-Forward,73.0,240,Montverde Academy,Saint Francis (PA),2017,2,33.0,1.6,2.2,0.0,36.5,,53.6,36.5,4.4,0.0
Isiah Umipig,Guard,72.0,195,Federal Way,Cal State Fullerton and Seattle,2015,4,125.0,14.4,2.5,2.5,41.2,39.2,82.6,53.6,17.3,12.6
Ify Umodu,Guard,75.0,215,,Northern Arizona,2011,1,6.0,0.5,0.5,0.3,100.0,,50.0,100.0,23.8,0.1
Carl Teeter Umstead,Guard,,,,Georgia Tech,1952,3,67.0,8.3,,,,,60.4,,,
Sidney Umude,Forward,79.0,205,St. Thomas Aquinas (FL),Youngstown State,2016,2,49.0,5.4,2.6,0.6,44.6,0.0,60.0,44.6,12.7,0.6
Dick Unangst,,,,,Loyola (LA),1971,2,,,,,,,,,,
Ralph Underhill,Guard,,,,Tennessee Tech,1964,3,25.0,2.4,1.0,,,,52.2,,,
Roland Underhill,Forward,77.0,196,,UCLA,1959,3,69.0,5.6,5.2,,34.2,,65.3,,,
Jay Underman,Forward,80.0,203,,Villanova,1978,2,52.0,1.8,1.4,,50.0,,55.3,,,
Jay Underman,,,,,Bowling Green State,1975,2,20.0,1.2,1.1,0.2,35.7,,80.0,,,
Tom Underman,Forward,78.0,198,,Robert Morris,1985,4,114.0,10.6,5.1,1.2,49.5,,76.8,,,
Bert Underwood,,,,,Washington State,1954,2,47.0,1.3,,,,,41.0,,,
Brad Underwood,Guard,76.0,193,,Kansas State,1986,2,39.0,2.7,0.8,0.9,37.2,,77.8,,,
Brad Underwood,Guard,76.0,193,,Hardin-Simmons,1983,1,20.0,6.2,1.5,,37.6,,67.6,,,
Cecil Underwood,,,,,Virginia,1957,3,73.0,4.9,,,,,79.4,,,
Cory Underwood,Forward,81.0,206,,St. Francis (NY) and Wagner,2002,2,44.0,3.1,2.0,0.4,44.1,30.0,57.1,45.3,,0.9
Darrin Underwood,Center,81.0,206,,Santa Clara,1987,3,53.0,2.0,1.1,0.1,45.3,,63.2,,,
Dave Underwood,Guard,74.0,188,,Pitt,1980,1,7.0,0.4,0.1,,25.0,,50.0,,,
David Underwood,Forward,78.0,198,,East Carolina,1981,3,71.0,7.0,3.1,,43.0,,79.0,,,
David Underwood,Forward,76.0,193,,Morehead State,1980,1,14.0,2.4,0.7,0.7,56.5,,87.5,,,
Derrick Underwood,Forward,78.0,198,,Alabama-Birmingham,2000,1,3.0,1.3,0.3,0.0,50.0,,100.0,50.0,,0.0
Don Underwood,Guard,75.0,190,,USC,1952,2,39.0,2.4,,,,,47.3,,,
Doug Underwood,Guard,75.0,190,,Youngstown State,2004,3,85.0,12.4,3.1,1.0,39.6,36.4,79.7,46.8,,3.6
George Underwood,Center,79.0,201,,ETSU,1981,4,101.0,5.0,4.3,,39.6,,68.7,,,
Horace Underwood,Guard,73.0,185,,Richmond,1963,1,17.0,3.9,2.7,,48.1,,72.7,,,
Jason Underwood,Forward,81.0,206,,Centenary (LA),2006,1,23.0,4.8,2.2,0.3,52.2,0.0,55.2,52.2,,0.2
Jeremy Underwood,Guard,72.0,185,Calvin Coolidge,North Carolina A&T,2014,4,130.0,5.9,1.9,2.0,32.6,33.0,69.3,41.6,6.6,1.1
John Underwood,Forward,81.0,230,Princeton Day Academy,Missouri and Cal State Fullerton,2012,3,41.0,1.0,1.4,0.0,43.8,,45.8,43.8,7.2,0.3
John Underwood,Guard,75.0,190,,Texas A&M,1968,2,48.0,10.7,4.1,,42.1,,76.6,,,
Ned Underwood,Forward,76.0,193,,Texas Tech,1957,3,72.0,8.1,3.9,,37.6,,69.5,,,
Paul Underwood,,,,,Marshall,1956,1,22.0,20.3,6.0,,36.1,,75.3,,,
Rahmeen Underwood,Forward,81.0,206,,Texas Southern,2001,4,79.0,5.9,3.4,0.5,42.9,21.4,67.0,43.6,,3.1
Rod Underwood,Guard,74.0,188,,Northern Iowa,1981,1,26.0,13.4,3.5,,50.7,,86.6,,,
Tyler Underwood,Guard,73.0,160,Nacogdoches High School,Oklahoma State,2017,1,11.0,0.6,0.2,0.1,50.0,50.0,50.0,75.0,7.3,0.0
Brad Unger,Forward,80.0,203,,Harvard,2008,4,83.0,4.7,2.7,0.5,47.0,35.7,78.6,52.9,,2.4
