player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Marcus Macellari,Forward,79.0,201,,Coastal Carolina,2010,1,12.0,0.2,0.9,0.1,0.0,,100.0,0.0,5.8,0.1
Ernest MacFadgen,,,,,UConn,1951,1,24.0,5.8,4.4,0.4,30.8,,60.3,,,
Kenny Macfarland,Forward,78.0,198,,St. Bonaventure,1997,3,79.0,7.7,3.4,0.4,36.0,28.1,60.2,44.1,,
MIke MacFarlane,Center,80.0,203,,Western Carolina,1984,4,108.0,2.6,2.9,,48.4,,70.5,,,
Taj MacFarlane,Center,80.0,203,,Montana State,1994,1,26.0,3.4,2.6,0.3,53.6,,50.0,53.6,,
Bob MacGillivary,,,,,North Carolina State,1959,3,59.0,10.9,5.3,,43.4,,69.6,,,
Ron MacGilvray,,,,,St. John's (NY),1951,2,88.0,6.4,,,33.2,,53.7,,,
Danny MacGregor,Forward,74.0,188,,Georgia Tech,1957,4,29.0,,,,,,,,,
Gavin MacGregor,Forward,73.0,208,,BYU,2009,2,30.0,2.1,1.7,0.1,63.9,,56.7,63.9,,1.0
Matt MacGregor,Guard,73.0,185,,St. Francis (NY),1995,1,25.0,6.0,1.7,3.1,36.4,34.8,74.1,46.6,,
Enoch Mach,Forward,74.0,188,,Cal State Northridge,1992,1,1.0,,,,,,,,,
Barry Machado,,,,,Dartmouth,1964,1,12.0,3.1,1.1,,31.1,,56.3,,,
Jonathan Machado,,,,,Cal State Bakersfield,2009,1,7.0,1.3,0.6,0.1,42.9,20.0,100.0,50.0,,
Pablo Machado,Center,73.0,224,,Georgia Tech and Loyola Marymount,2001,4,99.0,5.6,4.0,0.7,45.9,50.0,56.3,46.1,,2.5
Scott Machado,Guard,73.0,180,,Iona,2010,2,132.0,12.2,3.9,6.7,42.9,34.2,74.0,47.9,,15.4
Bryan Machamer,Guard,77.0,196,,Penn State,1997,3,,,,,,,,,,
Matthew Mache,Forward,77.0,215,Glenbard West,Marquette,2015,1,3.0,0.0,0.0,0.0,,,,,0.0,0.0
Michael Mache,Forward,77.0,215,Glenbard West HS,Marquette,2016,2,8.0,0.4,0.5,0.0,33.3,,50.0,33.3,13.9,0.0
Marshall Macheledt,Forward,81.0,215,Greensboro Day,Duquesne,2016,2,7.0,0.3,0.4,0.0,50.0,,,50.0,15.1,0.0
Fred Machemer,Center,75.0,190,,Syracuse,1962,3,61.0,5.6,4.4,,34.1,,62.8,,,
John Machiaverna,Forward,76.0,193,,Fairleigh Dickinson,1974,1,21.0,8.0,4.8,1.6,45.7,,79.5,,,
Bob Machock,,,,,UCF,1985,1,11.0,0.7,0.5,0.2,33.3,,66.7,,,
Bill Machorek,,,,,Citadel,1965,1,2.0,2.5,1.5,,28.6,,50.0,,,
_ Machosek,,,,,Citadel,1963,1,13.0,1.8,0.9,,30.0,,83.3,,,
Brent Machowiak,Guard,76.0,193,,Western Michigan,1996,2,44.0,1.2,0.8,0.7,37.5,40.0,58.3,45.8,,
Carmen Maciareillo,Guard,76.0,193,,Siena,2001,1,31.0,3.5,1.6,1.0,42.2,34.9,70.8,50.6,,0.7
Carmen Maciariello,Guard,,,,New Hampshire,1999,3,77.0,8.8,2.6,1.7,36.6,34.9,70.7,47.4,,1.9
Eric Macias,,,,,Pepperdine,1968,1,5.0,0.2,0.4,,,,50.0,,,
Mario Macias,Guard,61.0,180,,Vermont,1974,2,50.0,4.2,1.5,,37.0,,69.1,,,
Genesis Maciel,Forward,81.0,250,,Hartford,2012,4,91.0,6.3,2.3,0.9,38.8,35.3,70.9,47.7,,1.8
Pedro Maciel,Guard,74.0,188,,Centenary (LA),2010,1,28.0,6.4,1.9,3.0,39.1,35.0,73.3,48.3,11.1,0.5
Pedro Maciel,Guard,73.0,180,St. Stanislaus,Nicholls State,2014,2,50.0,1.3,0.8,1.2,35.0,32.7,61.5,48.3,3.9,0.2
Al Mack,,,,,Utah,1958,1,19.0,2.2,1.3,,28.6,,68.0,,,
Al Mack,Center,81.0,206,,East Carolina,1982,1,27.0,5.6,3.1,0.6,45.2,,69.8,,,
Al Mack,Guard,61.0,178,,LIU-Brooklyn,1974,1,8.0,1.8,0.4,,70.0,,,,,
Alphonso Mack,Guard,73.0,185,,Alcorn State,1991,1,21.0,5.5,2.5,0.1,49.3,40.5,78.8,54.5,,
Andre Mack,,,,,North Carolina-Asheville,1994,1,1.0,0.0,0.0,0.0,,,,,,
Angelo Mack,,,,,Bethune-Cookman,1997,1,4.0,1.0,2.0,0.0,66.7,,,66.7,,0.1
Billy Mack,Forward,77.0,196,,LIU-Brooklyn,1989,1,15.0,0.4,2.0,0.1,15.4,0.0,50.0,15.4,,
Brant Mack,Guard,73.0,185,,Loyola (MD),2001,4,79.0,1.8,1.2,1.0,30.4,23.7,67.3,37.0,,0.0
Byron Mack,Guard,75.0,190,,Georgia Southern,1987,2,43.0,3.5,2.3,1.3,45.6,,64.0,,,
Carlton Mack,Guard,73.0,185,,Richmond,1974,3,57.0,4.4,1.4,,42.2,,73.0,,,
Charles Mack,Guard,75.0,190,,Maryland,1949,1,27.0,8.3,,,42.2,,67.3,,,
Chris Mack,Forward,77.0,196,,Evansville,1990,2,63.0,8.7,5.0,3.3,46.8,36.3,72.1,50.9,,
Chris Mack,Guard,77.0,196,,Xavier,1993,1,21.0,1.0,0.6,0.5,18.5,18.2,71.4,22.2,,
Chuck Mack,Guard,76.0,193,,Brown,1979,2,52.0,13.7,4.2,2.0,46.7,,85.7,,,
Connie Mack,Center,,,,Fordham,1998,4,102.0,4.0,3.2,0.3,47.7,0.0,55.5,47.7,,
Danny Mack,Forward,79.0,201,,Oregon,1978,3,73.0,3.1,2.4,0.5,46.5,,55.2,,,
Dave Mack,Center,78.0,198,,Miami (OH),1962,3,71.0,9.3,8.2,,42.0,,66.1,,,
Doneal Mack,Guard,77.0,196,,Memphis,2010,4,145.0,8.2,1.9,1.0,41.3,36.5,66.0,53.3,,10.8
Dorey Mack,Forward,77.0,196,,Pepperdine,1969,1,3.0,1.3,0.3,,,,80.0,,,
Edward Mack,Guard,75.0,190,,Mississippi Valley State,2004,2,57.0,11.9,3.9,2.4,38.6,35.6,65.3,44.4,,5.9
Eugene Mack,Guard,61.0,180,,Louisiana-Monroe,1996,1,15.0,2.2,0.5,0.6,41.9,0.0,77.8,41.9,,0.1
Gene Mack,Guard,73.0,185,,Iowa State,1972,3,77.0,11.9,2.2,,44.9,,76.3,,,
Geoff Mack,Guard,61.0,180,,Catholic,1981,1,24.0,9.1,2.4,,36.4,,59.3,,,
Giovanni Mack,Guard,69.0,175,Butler,Texas Southern,2015,1,24.0,1.8,0.9,0.6,38.2,41.2,64.3,48.5,9.2,0.4
Guy Mack,Center,78.0,198,,Kent State,1971,1,21.0,3.2,4.5,,57.6,,,,,
Holland Mack,Forward,77.0,196,,Bucknell,2006,4,41.0,0.4,0.6,0.1,31.6,0.0,50.0,31.6,,0.0
